"Step","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MAX"
"0","0","0","0"
"10220","0","0","0"
"10228","0","0","0"
"10238","0","0","0"
"10247","0","0","0"
"10248","0","0","0"
"10258","0","0","0"
"20234","0","0","0"
"20240","0","0","0"
"20241","0","0","0"
"20243","0","0","0"
"20247","0","0","0"
"20251","0","0","0"
"30226","0","0","0"
"30228","0","0","0"
"30251","0","0","0"
"30254","0","0","0"
"30256","0","0","0"
"30262","0","0","0"
"40225","0","0","0"
"40226","0","0","0"
"40235","0","0","0"
"40240","0","0","0"
"40251","0","0","0"
"40253","0","0","0"
"50225","0","0","0"
"50227","0","0","0"
"50235","0","0","0"
"50236","0","0","0"
"50239","0","0","0"
"50241","0","0","0"
"60220","0","0","0"
"60222","0","0","0"
"60223","0","0","0"
"60230","0","0","0"
"60246","0","0","0"
"60251","0","0","0"
"70222","0","0","0"
"70243","0","0","0"
"70250","0","0","0"
"70253","0","0","0"
"70266","0","0","0"
"70361","0","0","0"
"80230","0","0","0"
"80235","0","0","0"
"80248","0","0","0"
"80253","0","0","0"
"80257","0","0","0"
"80260","0","0","0"
"90225","0","0","0"
"90226","0","0","0"
"90233","0","0","0"
"90234","0","0","0"
"90252","0","0","0"
"90258","0","0","0"
"100230","0","0","0"
"100234","0","0","0"
"100237","0","0","0"
"100250","0","0","0"
"100251","0","0","0"
"100254","0","0","0"
"110222","0","0","0"
"110243","0","0","0"
"110255","0","0","0"
"110256","0","0","0"
"110258","0","0","0"
"110380","0","0","0"
"120227","0","0","0"
"120228","0","0","0"
"120234","0","0","0"
"120249","0","0","0"
"120251","0","0","0"
"120297","0","0","0"
"130227","0","0","0"
"130234","0","0","0"
"130239","0","0","0"
"130257","0","0","0"
"130260","0","0","0"
"130280","0","0","0"
"140232","0","0","0"
"140239","0","0","0"
"140240","0","0","0"
"140243","0","0","0"
"140251","0","0","0"
"140270","0","0","0"
"150221","0","0","0"
"150239","0","0","0"
"150259","0","0","0"
"150263","0","0","0"
"150269","0","0","0"
"150294","0","0","0"
"160223","0","0","0"
"160226","0","0","0"
"160248","0","0","0"
"160250","0","0","0"
"160262","0","0","0"
"160310","0","0","0"
"170227","0","0","0"
"170234","0","0","0"
"170237","0","0","0"
"170238","0","0","0"
"170260","0","0","0"
"170261","0","0","0"
"180222","0","0","0"
"180229","0","0","0"
"180238","0","0","0"
"180242","0","0","0"
"180258","0","0","0"
"180260","0","0","0"
"190229","0","0","0"
"190234","0","0","0"
"190249","0","0","0"
"190251","0","0","0"
"190261","0","0","0"
"190370","0","0","0"
"200235","0","0","0"
"200236","0","0","0"
"200257","0","0","0"
"200260","0","0","0"
"200265","0","0","0"
"200378","0","0","0"
"210222","0","0","0"
"210248","0","0","0"
"210271","0","0","0"
"210284","0","0","0"
"210291","0","0","0"
"210308","0","0","0"
"220220","0","0","0"
"220233","0","0","0"
"220237","0","0","0"
"220243","0","0","0"
"220263","0","0","0"
"230240","0","0","0"
"230249","0","0","0"
"230252","0","0","0"
"230255","0","0","0"
"230281","0","0","0"
"230292","0","0","0"
"240221","0","0","0"
"240224","0","0","0"
"240226","0","0","0"
"240243","0","0","0"
"240358","0","0","0"
"240375","0","0","0"
"250234","0","0","0"
"250235","0","0","0"
"250254","0","0","0"
"250256","0","0","0"
"250278","0","0","0"
"250373","0","0","0"
"260225","0","0","0"
"260231","0","0","0"
"260235","0","0","0"
"260249","0","0","0"
"260256","0","0","0"
"260260","0","0","0"
"270234","0","0","0"
"270245","0","0","0"
"270261","0","0","0"
"270271","0","0","0"
"270338","0","0","0"
"270349","0","0","0"
"280231","0","0","0"
"280245","0","0","0"
"280260","0","0","0"
"280270","0","0","0"
"280322","0","0","0"
"280378","0","0","0"
"290224","0","0","0"
"290229","0","0","0"
"290256","0","0","0"
"290286","0","0","0"
"290313","0","0","0"
