"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10224","0","0","0"
"10235","0","0","0"
"10247","0","0","0"
"10254","0","0","0"
"10255","0","0","0"
"10305","0","0","0"
"20224","0","0","0"
"20227","0","0","0"
"20239","0","0","0"
"20243","0","0","0"
"20246","0","0","0"
"20260","0","0","0"
"30230","0","0","0"
"30238","0","0","0"
"30239","0","0","0"
"30246","0","0","0"
"30248","0","0","0"
"30256","0","0","0"
"40225","0","0","0"
"40243","0","0","0"
"40249","0","0","0"
"40253","0","0","0"
"40254","0","0","0"
"40255","0","0","0"
"50228","0","0","0"
"50234","0","0","0"
"50236","0","0","0"
"50239","0","0","0"
"50247","0","0","0"
"50252","0","0","0"
"60227","0","0","0"
"60228","0","0","0"
"60234","0","0","0"
"60248","0","0","0"
"60251","0","0","0"
"70242","0","0","0"
"70245","0","0","0"
"70251","0","0","0"
"70253","0","0","0"
"70259","0","0","0"
"70266","0","0","0"
"80222","0","0","0"
"80231","0","0","0"
"80233","0","0","0"
"80235","0","0","0"
"80250","0","0","0"
"80268","0","0","0"
"90238","0","0","0"
"90240","0","0","0"
"90245","0","0","0"
"90248","0","0","0"
"90261","0","0","0"
"100225","0","0","0"
"100243","0","0","0"
"100252","0","0","0"
"100258","0","0","0"
"100264","0","0","0"
"100316","0","0","0"
"110225","0","0","0"
"110229","0","0","0"
"110242","0","0","0"
"110243","0","0","0"
"110250","0","0","0"
"110264","0","0","0"
"120223","0","0","0"
"120242","0","0","0"
"120251","0","0","0"
"120255","0","0","0"
"120257","0","0","0"
"120351","0","0","0"
"130224","0","0","0"
"130233","0","0","0"
"130242","0","0","0"
"130244","0","0","0"
"130247","0","0","0"
"130256","0","0","0"
"140229","0","0","0"
"140235","0","0","0"
"140248","0","0","0"
"140259","0","0","0"
"140261","0","0","0"
"150224","0","0","0"
"150227","0","0","0"
"150248","0","0","0"
"150261","0","0","0"
"150382","0","0","0"
"160230","0","0","0"
"160247","0","0","0"
"160251","0","0","0"
"160262","0","0","0"
"160266","0","0","0"
"170220","0","0","0"
"170243","0","0","0"
"170244","0","0","0"
"170248","0","0","0"
"170252","0","0","0"
"170280","0","0","0"
"180224","0","0","0"
"180236","0","0","0"
"180240","0","0","0"
"180270","0","0","0"
"180311","0","0","0"
"180315","0","0","0"
"190221","0","0","0"
"190227","0","0","0"
"190243","0","0","0"
"190252","0","0","0"
"190263","0","0","0"
"190342","0","0","0"
"200245","0","0","0"
"200247","0","0","0"
"200250","0","0","0"
"200256","0","0","0"
"200263","0","0","0"
"210235","0","0","0"
"210248","0","0","0"
"210252","0","0","0"
"210265","0","0","0"
"210317","0","0","0"
"210368","0","0","0"
"220228","0","0","0"
"220245","0","0","0"
"220248","0","0","0"
"220252","0","0","0"
"220270","0","0","0"
"220271","0","0","0"
"230225","0","0","0"
"230228","0","0","0"
"230233","0","0","0"
"230256","0","0","0"
"230257","0","0","0"
"230324","0","0","0"
"240224","0","0","0"
"240229","0","0","0"
"240230","0","0","0"
"240231","0","0","0"
"240241","0","0","0"
"240275","0","0","0"
"250230","0","0","0"
"250234","0","0","0"
"250243","0","0","0"
"250250","0","0","0"
"250258","0","0","0"
"250281","0","0","0"
"260240","0","0","0"
"260243","0","0","0"
"260250","0","0","0"
"260258","0","0","0"
"260261","0","0","0"
"260316","0","0","0"
"270223","0","0","0"
"270225","0","0","0"
"270250","0","0","0"
"270254","0","0","0"
"270256","0.03125","0.03125","0.03125"
"270299","0","0","0"
"280224","0","0","0"
"280232","0","0","0"
"280256","0","0","0"
"280258","0","0","0"
"280360","0","0","0"
"280376","0","0","0"
"290229","0","0","0"
"290233","0","0","0"
"290254","0","0","0"
"290257","0","0","0"
"290266","0","0","0"
"290359","0","0","0"
"300224","0","0","0"
"300238","0","0","0"
"300254","0","0","0"
"300256","0","0","0"
"300278","0","0","0"
"300389","0","0","0"
"310234","0","0","0"
"310242","0","0","0"
"310246","0","0","0"
"310254","0","0","0"
"310271","0","0","0"
"310339","0","0","0"
"320248","0","0","0"
"320254","0","0","0"
"320255","0","0","0"
"320286","0","0","0"
"320290","0","0","0"
"330256","0","0","0"
"330264","0","0","0"
"330272","0","0","0"
