"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10230","0","0","0"
"10239","0","0","0"
"10249","0","0","0"
"10256","0","0","0"
"10269","0","0","0"
"20220","0","0","0"
"20229","0","0","0"
"20230","0","0","0"
"20252","0","0","0"
"20255","0","0","0"
"30224","0","0","0"
"30230","0","0","0"
"30247","0","0","0"
"30257","0","0","0"
"30258","0","0","0"
"40238","0","0","0"
"40247","0","0","0"
"40249","0","0","0"
"40259","0","0","0"
"40282","0","0","0"
"50222","0","0","0"
"50229","0","0","0"
"50239","0","0","0"
"50245","0","0","0"
"50254","0","0","0"
"60223","0","0","0"
"60254","0","0","0"
"60256","0","0","0"
"60264","0","0","0"
"60266","0","0","0"
"70228","0","0","0"
"70235","0","0","0"
"70247","0","0","0"
"70249","0","0","0"
"80220","0","0","0"
"80247","0","0","0"
"80248","0","0","0"
"80249","0","0","0"
"80300","0","0","0"
"90231","0","0","0"
"90232","0","0","0"
"90246","0","0","0"
"90254","0","0","0"
"90264","0","0","0"
"100238","0","0","0"
"100241","0","0","0"
"100243","0","0","0"
"100289","0","0","0"
"100361","0","0","0"
"110228","0","0","0"
"110235","0","0","0"
"110244","0","0","0"
"110252","0","0","0"
"110346","0","0","0"
"120221","0","0","0"
"120224","0","0","0"
"120239","0","0","0"
"120244","0","0","0"
"120250","0","0","0"
"130222","0","0","0"
"130259","0","0","0"
"130305","0","0","0"
"130318","0","0","0"
"130369","0","0","0"
"140222","0","0","0"
"140253","0","0","0"
"140262","0","0","0"
"140267","0","0","0"
"140376","0","0","0"
"150231","0","0","0"
"150234","0","0","0"
"150237","0","0","0"
"150290","0","0","0"
"160227","0","0","0"
"160240","0","0","0"
"160248","0","0","0"
"160257","0","0","0"
"160382","0","0","0"
"170224","0","0","0"
"170239","0","0","0"
"170249","0","0","0"
"170262","0","0","0"
"170280","0","0","0"
"180223","0","0","0"
"180230","0","0","0"
"180234","0","0","0"
"180250","0","0","0"
"180271","0","0","0"
"190225","0","0","0"
"190226","0","0","0"
"190244","0","0","0"
"190253","0","0","0"
"190254","0","0","0"
"200235","0","0","0"
"200238","0","0","0"
"200239","0","0","0"
"200252","0","0","0"
"200266","0","0","0"
"210224","0","0","0"
"210234","0","0","0"
"210256","0","0","0"
"210265","0","0","0"
"210274","0","0","0"
"220243","0","0","0"
"220262","0","0","0"
"220282","0","0","0"
"220290","0","0","0"
"220320","0","0","0"
"230224","0","0","0"
"230237","0","0","0"
"230241","0","0","0"
"230252","0","0","0"
"230260","0","0","0"
"240231","0","0","0"
"240244","0","0","0"
"240249","0","0","0"
"240256","0","0","0"
"240352","0","0","0"
"250223","0","0","0"
"250236","0","0","0"
"250385","0","0","0"
"260220","0","0","0"
"260229","0","0","0"
"260234","0","0","0"
"260253","0","0","0"
"260268","0","0","0"
"270228","0","0","0"
"270239","0","0","0"
"270265","0","0","0"
"270286","0","0","0"
"270360","0","0","0"
"280235","0","0","0"
"280244","0","0","0"
"280246","0","0","0"
"280262","0","0","0"
"290224","0","0","0"
"290226","0","0","0"
"290241","0","0","0"
"290252","0","0","0"
"290264","0","0","0"
"300220","0","0","0"
"300246","0","0","0"
"300248","0","0","0"
"300256","0","0","0"
"300360","0","0","0"
"310232","0","0","0"
"310237","0","0","0"
"310238","0","0","0"
"310255","0","0","0"
"310377","0","0","0"
"320222","0","0","0"
"320250","0","0","0"
"320252","0","0","0"
"320287","0","0","0"
"320368","0","0","0"
"330235","0","0","0"
"330239","0","0","0"
"330240","0","0","0"
"330265","0","0","0"
"330373","0","0","0"
"340234","0","0","0"
"340236","0","0","0"
"340251","0","0","0"
"340268","0","0","0"
"340341","0","0","0"
"350236","0","0","0"
"350313","0","0","0"
"350328","0","0","0"
"350336","0","0","0"
"350340","0","0","0"
"360237","0","0","0"
"360238","0","0","0"
"360271","0","0","0"
"360279","0","0","0"
"360327","0","0","0"
"370221","0","0","0"
"370228","0","0","0"
"370247","0","0","0"
"370256","0","0","0"
"370386","0","0","0"
"380234","0","0","0"
"380251","0","0","0"
"380258","0","0","0"
"380285","0","0","0"
"380353","0","0","0"
"390234","0","0","0"
"390240","0","0","0"
"390245","0","0","0"
"390256","0","0","0"
"390292","0","0","0"
"400247","0","0","0"
"400281","0","0","0"
"400284","0","0","0"
"400291","0","0","0"
"400301","0","0","0"
"410234","0","0","0"
"410246","0","0","0"
"410248","0","0","0"
"410297","0.03125","0.03125","0.03125"
"410347","0","0","0"
"420227","0","0","0"
"420243","0","0","0"
"420266","0","0","0"
"420271","0","0","0"
"420334","0","0","0"
"430239","0","0","0"
"430248","0","0","0"
"430254","0","0","0"
"430292","0","0","0"
"430328","0","0","0"
"440268","0","0","0"
"440273","0","0","0"
"440308","0","0","0"
"440315","0","0","0"
"440327","0","0","0"
"450223","0.03125","0.03125","0.03125"
"450244","0","0","0"
"450341","0","0","0"
"450345","0","0","0"
"450349","0","0","0"
"460228","0","0","0"
"460238","0","0","0"
"460245","0","0","0"
"460302","0","0","0"
"460312","0","0","0"
"470226","0","0","0"
"470258","0","0","0"
"470269","0","0","0"
"470325","0","0","0"
"470381","0","0","0"
"480246","0","0","0"
"480298","0","0","0"
"480305","0","0","0"
"480354","0","0","0"
"480384","0","0","0"
"490231","0","0","0"
"490263","0","0","0"
"490270","0","0","0"
"490282","0","0","0"
"490365","0","0","0"
"500224","0","0","0"
"500238","0","0","0"
"500244","0","0","0"
"500254","0","0","0"
"500268","0","0","0"
"510246","0","0","0"
"510261","0","0","0"
"510286","0.03125","0.03125","0.03125"
"510289","0","0","0"
"510309","0","0","0"
"520226","0","0","0"
"520246","0","0","0"
"520262","0","0","0"
"520325","0","0","0"
"520339","0","0","0"
"530234","0","0","0"
"530279","0","0","0"
"530286","0.03125","0.03125","0.03125"
"530304","0.03125","0.03125","0.03125"
"530367","0","0","0"
"540251","0","0","0"
"540259","0","0","0"
"540310","0.125","0.125","0.125"
"540352","0.03125","0.03125","0.03125"
"540372","0","0","0"
"550228","0","0","0"
"550243","0","0","0"
"550288","0.03125","0.03125","0.03125"
"550341","0","0","0"
"550389","0.03125","0.03125","0.03125"
"560229","0","0","0"
"560230","0","0","0"
"560244","0","0","0"
"560257","0","0","0"
"560272","0.03125","0.03125","0.03125"
"570277","0.03125","0.03125","0.03125"
"570280","0","0","0"
"570288","0","0","0"
"570333","0.03125","0.03125","0.03125"
"570340","0","0","0"
"580237","0.03125","0.03125","0.03125"
"580243","0","0","0"
"580256","0","0","0"
"580316","0","0","0"
"580320","0","0","0"
"590244","0","0","0"
"590279","0","0","0"
"590281","0","0","0"
"590325","0","0","0"
"590383","0","0","0"
"600243","0","0","0"
"600246","0","0","0"
"600252","0","0","0"
"600280","0.03125","0.03125","0.03125"
"600289","0","0","0"
"610235","0","0","0"
"610242","0","0","0"
"610279","0","0","0"
"610315","0","0","0"
"610347","0.03125","0.03125","0.03125"
"620226","0","0","0"
"620255","0","0","0"
"620303","0","0","0"
"620343","0","0","0"
"620385","0","0","0"
"630242","0","0","0"
"630266","0","0","0"
"630267","0.03125","0.03125","0.03125"
"630332","0.03125","0.03125","0.03125"
"630365","0","0","0"
"640220","0","0","0"
"640296","0","0","0"
"640311","0.25","0.25","0.25"
"640331","0","0","0"
"640359","0.03125","0.03125","0.03125"
"650222","0.03125","0.03125","0.03125"
"650226","0","0","0"
"650240","0","0","0"
"650315","0","0","0"
"650340","0","0","0"
"660241","0","0","0"
"660268","0","0","0"
"660305","0","0","0"
"660316","0","0","0"
"670235","0","0","0"
"670262","0","0","0"
"670272","0","0","0"
"670294","0.0625","0.0625","0.0625"
"670361","0.03125","0.03125","0.03125"
"680239","0.03125","0.03125","0.03125"
"680263","0","0","0"
"680264","0.0625","0.0625","0.0625"
"680274","0","0","0"
"680363","0","0","0"
"690225","0","0","0"
"690240","0","0","0"
"690253","0","0","0"
"690273","0.1875","0.1875","0.1875"
"690290","0","0","0"
"700228","0.03125","0.03125","0.03125"
"700253","0","0","0"
"700270","0.03125","0.03125","0.03125"
"700272","0","0","0"
"700329","0","0","0"
"710233","0","0","0"
"710238","0.1875","0.1875","0.1875"
"710265","0","0","0"
"710327","0","0","0"
"710353","0.03125","0.03125","0.03125"
"720239","0.34375","0.34375","0.34375"
"720255","0","0","0"
"720281","0","0","0"
"720284","0.0625","0.0625","0.0625"
"720367","0.03125","0.03125","0.03125"
"730241","0","0","0"
"730247","0.1875","0.1875","0.1875"
"730262","0","0","0"
"730285","0.15625","0.15625","0.15625"
"730302","0","0","0"
"740255","0","0","0"
"740259","0","0","0"
"740277","0.03125","0.03125","0.03125"
"740297","0","0","0"
"740361","0.03125","0.03125","0.03125"
"750232","0.21875","0.21875","0.21875"
"750237","0.046875","0","0.09375"
"750255","0","0","0"
"750291","0.03125","0.03125","0.03125"
"760244","0.125","0.125","0.125"
"760245","0.1875","0.1875","0.1875"
"760251","0","0","0"
"760346","0","0","0"
"760368","0","0","0"
"770241","0","0","0"
"770285","0.28125","0.28125","0.28125"
"770299","0.03125","0.03125","0.03125"
"770344","0.03125","0.03125","0.03125"
"770358","0","0","0"
"780259","0.25","0.25","0.25"
"780292","0","0","0"
"780305","0.09375","0.09375","0.09375"
"780315","0","0","0"
"780329","0","0","0"
"790223","0","0","0"
"790270","0","0","0"
"790339","0.21875","0.21875","0.21875"
"790360","0.09375","0.09375","0.09375"
"790378","0","0","0"
"800228","0","0","0"
"800307","0.03125","0.03125","0.03125"
"800309","0.21875","0.21875","0.21875"
"800324","0","0","0"
"800361","0.09375","0.09375","0.09375"
"810232","0","0","0"
"810238","0","0","0"
"810249","0.375","0.375","0.375"
"810299","0","0","0"
"810304","0","0","0"
"820236","0","0","0"
"820257","0","0","0"
"820260","0.4375","0.4375","0.4375"
"820262","0.125","0.125","0.125"
"820360","0","0","0"
"830240","0","0","0"
"830252","0.4375","0.4375","0.4375"
"830269","0.03125","0.03125","0.03125"
"830295","0.21875","0.21875","0.21875"
"830376","0","0","0"
"840227","0","0","0"
"840243","0.59375","0.59375","0.59375"
"840268","0.03125","0.03125","0.03125"
"840285","0","0","0"
"840348","0.28125","0.28125","0.28125"
"850225","0","0","0"
"850253","0.34375","0.34375","0.34375"
"850266","0","0","0"
"850277","0.0625","0.0625","0.0625"
"850314","0.15625","0.15625","0.15625"
"860247","0","0","0"
"860260","0.21875","0.21875","0.21875"
"860269","0.3125","0.3125","0.3125"
"860287","0.03125","0.03125","0.03125"
"860320","0","0","0"
"870233","0.03125","0.03125","0.03125"
"870242","0","0","0"
"870245","0.28125","0.28125","0.28125"
"870287","0.53125","0.53125","0.53125"
"870337","0.0625","0.0625","0.0625"
"880222","0.34375","0.34375","0.34375"
"880231","0.03125","0.03125","0.03125"
"880251","0.09375","0.09375","0.09375"
"880295","0","0","0"
"880368","0","0","0"
"890224","0.34375","0.34375","0.34375"
"890226","0.03125","0.03125","0.03125"
"890230","0","0","0"
"890322","0","0","0"
"890336","0.03125","0.03125","0.03125"
"900234","0","0","0"
"900249","0","0","0"
"900268","0.4375","0.4375","0.4375"
"900335","0.21875","0.21875","0.21875"
"900343","0.03125","0.03125","0.03125"
"910229","0.5","0.5","0.5"
"910261","0.09375","0.09375","0.09375"
"910270","0","0","0"
"910300","0.03125","0.03125","0.03125"
"910340","0","0","0"
"920248","0","0","0"
"920257","0.03125","0.03125","0.03125"
"920258","0.21875","0.21875","0.21875"
"920264","0.71875","0.71875","0.71875"
"920387","0.0625","0.0625","0.0625"
"930228","0.40625","0.40625","0.40625"
"930231","0.03125","0.03125","0.03125"
"930276","0","0","0"
"930311","0.46875","0.46875","0.46875"
"930381","0","0","0"
"940246","0.5","0.5","0.5"
"940292","0.46875","0.46875","0.46875"
"940318","0.03125","0.03125","0.03125"
"940363","0","0","0"
"940377","0.03125","0.03125","0.03125"
"950221","0.125","0.125","0.125"
"950232","0","0","0"
"950238","0.21875","0.21875","0.21875"
"950284","0.625","0.625","0.625"
"950376","0.0625","0.0625","0.0625"
"960229","0.03125","0.03125","0.03125"
