"Step","Group: 27m_vs_30m_ACORM_WM - win_rate","Group: 27m_vs_30m_ACORM_WM - win_rate__MIN","Group: 27m_vs_30m_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10231","0","0","0"
"10758","0","0","0"
"10763","0","0","0"
"10768","0","0","0"
"20224","0","0","0"
"20755","0","0","0"
"20763","0","0","0"
"20782","0","0","0"
"30246","0","0","0"
"30758","0","0","0"
"30759","0","0","0"
"30770","0","0","0"
"40220","0","0","0"
"40752","0","0","0"
"40773","0","0","0"
"40829","0","0","0"
"50238","0","0","0"
"50774","0","0","0"
"50775","0","0","0"
"50864","0","0","0"
"60231","0","0","0"
"60750","0","0","0"
"60780","0","0","0"
"60876","0","0","0"
"70312","0","0","0"
"70770","0","0","0"
"70781","0","0","0"
"70928","0","0","0"
"80244","0","0","0"
"80765","0","0","0"
"80810","0","0","0"
"80859","0","0","0"
"90249","0","0","0"
"90751","0","0","0"
"90755","0","0","0"
"90791","0","0","0"
"100222","0","0","0"
"100761","0","0","0"
"100778","0","0","0"
"110242","0","0","0"
"110755","0.03125","0.03125","0.03125"
"110775","0","0","0"
"110885","0","0","0"
"120237","0","0","0"
"120753","0","0","0"
"120757","0","0","0"
"120815","0","0","0"
"130313","0.03125","0.03125","0.03125"
"130805","0.03125","0.03125","0.03125"
"130900","0","0","0"
"130905","0","0","0"
"140223","0.03125","0.03125","0.03125"
"140758","0","0","0"
"140793","0","0","0"
"140906","0","0","0"
"150241","0","0","0"
"150762","0","0","0"
"150777","0","0","0"
"150787","0","0","0"
"160318","0.09375","0.09375","0.09375"
"160759","0","0","0"
"160774","0","0","0"
"160818","0","0","0"
"170382","0","0","0"
"170751","0","0","0"
"170769","0.09375","0.09375","0.09375"
"170794","0.03125","0.03125","0.03125"
"180298","0","0","0"
"180764","0","0","0"
"180767","0.03125","0.03125","0.03125"
"180862","0.03125","0.03125","0.03125"
"190230","0","0","0"
"190760","0.09375","0.09375","0.09375"
"190777","0.03125","0.03125","0.03125"
"190914","0","0","0"
"200231","0.09375","0.09375","0.09375"
"200771","0","0","0"
"200780","0.0625","0.0625","0.0625"
"200841","0","0","0"
"210221","0.1875","0.1875","0.1875"
"210756","0","0","0"
"210768","0.15625","0.15625","0.15625"
"210784","0.15625","0.15625","0.15625"
"220251","0.1875","0.1875","0.1875"
"220750","0.21875","0.21875","0.21875"
"220759","0","0","0"
"220775","0.15625","0.15625","0.15625"
"230229","0.125","0.125","0.125"
"230770","0.3125","0.3125","0.3125"
"230795","0","0","0"
"230835","0.09375","0.09375","0.09375"
"240247","0.25","0.25","0.25"
"240753","0.0625","0.0625","0.0625"
"240771","0","0","0"
"240786","0.1875","0.1875","0.1875"
"250255","0.34375","0.34375","0.34375"
"250759","0.0625","0.0625","0.0625"
"250773","0.3125","0.3125","0.3125"
"250775","0","0","0"
"260250","0.65625","0.65625","0.65625"
"260763","0.375","0.375","0.375"
"260766","0.03125","0.03125","0.03125"
"260774","0","0","0"
"270220","0","0","0"
"270768","0.25","0.25","0.25"
"270772","0.1875","0.1875","0.1875"
"270780","0.15625","0.15625","0.15625"
"280313","0.53125","0.53125","0.53125"
"280763","0.375","0.375","0.375"
"280775","0.1875","0.1875","0.1875"
"280800","0.21875","0.21875","0.21875"
"290256","0.375","0.375","0.375"
"290756","0.0625","0.0625","0.0625"
"290760","0.625","0.625","0.625"
"290780","0.0625","0.0625","0.0625"
"300234","0.53125","0.53125","0.53125"
"300753","0.09375","0.09375","0.09375"
"300775","0.375","0.375","0.375"
"300783","0.65625","0.65625","0.65625"
"310279","0.71875","0.71875","0.71875"
"310764","0.03125","0.03125","0.03125"
"310778","0.46875","0.46875","0.46875"
"310791","0.375","0.375","0.375"
"320321","0.59375","0.59375","0.59375"
"320750","0.625","0.625","0.625"
"320762","0","0","0"
"320776","0.53125","0.53125","0.53125"
"330256","0.4375","0.4375","0.4375"
"330769","0.09375","0.09375","0.09375"
"330780","0.3125","0.3125","0.3125"
"330790","0.53125","0.53125","0.53125"
"340369","0.625","0.625","0.625"
"340756","0.40625","0.40625","0.40625"
"340758","0.28125","0.28125","0.28125"
"340761","0.34375","0.34375","0.34375"
"350231","0.5","0.5","0.5"
"350756","0.21875","0.21875","0.21875"
"350760","0.1875","0.1875","0.1875"
"350857","0.46875","0.46875","0.46875"
"360221","0.6875","0.6875","0.6875"
"360764","0.21875","0.21875","0.21875"
"360782","0.21875","0.21875","0.21875"
"360813","0.34375","0.34375","0.34375"
"370221","0.625","0.625","0.625"
"370756","0.21875","0.21875","0.21875"
"370777","0.6875","0.6875","0.6875"
"370783","0.46875","0.46875","0.46875"
"380237","0.40625","0.40625","0.40625"
"380764","0.09375","0.09375","0.09375"
"380777","0.28125","0.28125","0.28125"
"380785","0.53125","0.53125","0.53125"
"390237","0.59375","0.59375","0.59375"
"390759","0.5","0.5","0.5"
"390775","0.0625","0.0625","0.0625"
"390849","0.5","0.5","0.5"
"400224","0.5","0.5","0.5"
"400755","0.625","0.625","0.625"
"400757","0.59375","0.59375","0.59375"
"400783","0.34375","0.34375","0.34375"
"410263","0.59375","0.59375","0.59375"
"410753","0.78125","0.78125","0.78125"
"410771","0.65625","0.65625","0.65625"
"410774","0.40625","0.40625","0.40625"
"420265","0.53125","0.53125","0.53125"
"420766","0.40625","0.40625","0.40625"
"420780","0.1875","0.1875","0.1875"
"420866","0.40625","0.40625","0.40625"
"430272","0.53125","0.53125","0.53125"
"430753","0.40625","0.40625","0.40625"
"430762","0.65625","0.65625","0.65625"
"430785","0.28125","0.28125","0.28125"
"440264","0.625","0.625","0.625"
"440761","0.625","0.625","0.625"
"440784","0.71875","0.71875","0.71875"
"440833","0.28125","0.28125","0.28125"
"450261","0.46875","0.46875","0.46875"
"450762","0.6875","0.6875","0.6875"
"450771","0.5","0.5","0.5"
"450867","0.21875","0.21875","0.21875"
"460247","0.4375","0.4375","0.4375"
"460755","0.40625","0.40625","0.40625"
"460806","0.3125","0.3125","0.3125"
"460897","0.59375","0.59375","0.59375"
"470236","0.5625","0.5625","0.5625"
"470756","0.28125","0.28125","0.28125"
"470771","0.4375","0.4375","0.4375"
"470794","0.5","0.5","0.5"
"480220","0.375","0.375","0.375"
"480753","0.40625","0.40625","0.40625"
"480755","0.59375","0.59375","0.59375"
"480785","0.59375","0.59375","0.59375"
"490242","0.40625","0.40625","0.40625"
"490751","0.5","0.5","0.5"
"490779","0.5625","0.5625","0.5625"
"490786","0.625","0.625","0.625"
