"Step","Group: 27m_vs_30m_ACORM - win_rate","Group: 27m_vs_30m_ACORM - win_rate__MIN","Group: 27m_vs_30m_ACORM - win_rate__MAX"
"0","0","0","0"
"10601","0","0","0"
"10607","0","0","0"
"10611","0","0","0"
"10614","0","0","0"
"20609","0","0","0"
"20621","0","0","0"
"20622","0","0","0"
"30604","0","0","0"
"30616","0","0","0"
"30619","0","0","0"
"30621","0","0","0"
"40603","0","0","0"
"40604","0","0","0"
"40613","0","0","0"
"50600","0","0","0"
"50601","0","0","0"
"50609","0","0","0"
"50625","0","0","0"
"60605","0","0","0"
"60606","0","0","0"
"60612","0","0","0"
"60625","0","0","0"
"70613","0","0","0"
"70619","0","0","0"
"70625","0","0","0"
"70651","0","0","0"
"80609","0","0","0"
"80620","0","0","0"
"80671","0","0","0"
"80681","0","0","0"
"90605","0","0","0"
"90609","0","0","0"
"90625","0","0","0"
"90628","0","0","0"
"100608","0","0","0"
"100621","0","0","0"
"100624","0","0","0"
"100748","0","0","0"
"110601","0","0","0"
"110602","0","0","0"
"110623","0","0","0"
"110709","0","0","0"
"120605","0","0","0"
"120612","0","0","0"
"120708","0","0","0"
"120711","0","0","0"
"130605","0.03125","0.03125","0.03125"
"130617","0","0","0"
"130620","0","0","0"
"130735","0","0","0"
"140602","0","0","0"
"140611","0","0","0"
"140621","0","0","0"
"140622","0.03125","0.03125","0.03125"
"150600","0","0","0"
"150624","0","0","0"
"150745","0","0","0"
"150779","0","0","0"
"160618","0","0","0"
"160673","0","0","0"
"160685","0","0","0"
"160766","0","0","0"
"170611","0","0","0"
"170618","0.03125","0.03125","0.03125"
"170634","0","0","0"
"170666","0","0","0"
"180609","0.03125","0.03125","0.03125"
"180621","0.125","0.125","0.125"
"180622","0.03125","0.03125","0.03125"
"180668","0","0","0"
"190602","0","0","0"
"190608","0.0625","0","0.125"
"190609","0.125","0.125","0.125"
"200605","0","0","0"
"200621","0.09375","0.09375","0.09375"
"200634","0","0","0"
"200699","0","0","0"
"210607","0","0","0"
"210627","0.09375","0.09375","0.09375"
"210629","0","0","0"
"210748","0.125","0.125","0.125"
"220612","0","0","0"
"220685","0.0625","0.0625","0.0625"
"220710","0.25","0.25","0.25"
"220768","0.0625","0.0625","0.0625"
"230609","0.0625","0.0625","0.0625"
"230610","0","0","0"
"230612","0.15625","0.15625","0.15625"
"230732","0","0","0"
"240615","0.015625","0","0.03125"
"240690","0.09375","0.09375","0.09375"
"240736","0.09375","0.09375","0.09375"
"250603","0.125","0.125","0.125"
"250610","0.15625","0.15625","0.15625"
"250614","0.03125","0.03125","0.03125"
"250661","0","0","0"
"260601","0.1875","0.1875","0.1875"
"260606","0.03125","0.03125","0.03125"
"260624","0.125","0.125","0.125"
"260748","0","0","0"
"270604","0.3125","0.3125","0.3125"
"270617","0.25","0.25","0.25"
"270625","0.125","0.125","0.125"
"270626","0.03125","0.03125","0.03125"
"280611","0","0","0"
"280614","0.25","0.25","0.25"
"280624","0.21875","0.21875","0.21875"
"280635","0.15625","0.15625","0.15625"
"290608","0.40625","0.40625","0.40625"
"290621","0.28125","0.28125","0.28125"
"290626","0.28125","0.28125","0.28125"
"290635","0.03125","0.03125","0.03125"
"300617","0.25","0.25","0.25"
"300619","0.25","0.25","0.25"
"300637","0.15625","0.15625","0.15625"
"300699","0.0625","0.0625","0.0625"
"310605","0.09375","0.09375","0.09375"
"310611","0.34375","0.34375","0.34375"
"310621","0.34375","0.34375","0.34375"
"310628","0.09375","0.09375","0.09375"
"320604","0.5","0.5","0.5"
"320633","0.125","0.125","0.125"
"320676","0.1875","0.1875","0.1875"
"320712","0.21875","0.21875","0.21875"
"330607","0.09375","0.09375","0.09375"
"330627","0.125","0.125","0.125"
"330631","0.3125","0.3125","0.3125"
"330734","0.375","0.375","0.375"
"340605","0.5","0.5","0.5"
"340614","0.34375","0.34375","0.34375"
"340619","0.25","0.25","0.25"
"340750","0.5","0.5","0.5"
"350608","0.3125","0.3125","0.3125"
"350621","0.265625","0.21875","0.3125"
"350623","0.1875","0.1875","0.1875"
"360627","0.25","0.25","0.25"
"360696","0.40625","0.40625","0.40625"
"360727","0.03125","0.03125","0.03125"
"360772","0.03125","0.03125","0.03125"
"370600","0.5","0.5","0.5"
"370620","0.0625","0.0625","0.0625"
"370644","0.25","0.25","0.25"
"370704","0.34375","0.34375","0.34375"
"380614","0.40625","0.40625","0.40625"
"380621","0.1875","0.1875","0.1875"
"380633","0.25","0.25","0.25"
"380742","0.40625","0.40625","0.40625"
"390614","0.21875","0.21875","0.21875"
"390623","0.484375","0.46875","0.5"
"390645","0.5","0.5","0.5"
"400600","0.21875","0.21875","0.21875"
"400620","0.15625","0.15625","0.15625"
"400662","0.40625","0.40625","0.40625"
"400671","0.1875","0.1875","0.1875"
"410606","0.28125","0.28125","0.28125"
"410617","0.625","0.625","0.625"
"410628","0.03125","0.03125","0.03125"
"410695","0","0","0"
"420613","0.53125","0.53125","0.53125"
"420614","0.28125","0.28125","0.28125"
"420629","0.21875","0.21875","0.21875"
"420630","0.34375","0.34375","0.34375"
"430622","0.09375","0.09375","0.09375"
"430632","0.21875","0.09375","0.34375"
"430636","0.15625","0.15625","0.15625"
"440614","0.375","0.375","0.375"
"440615","0.625","0.625","0.625"
"440619","0.21875","0.21875","0.21875"
"440737","0.34375","0.34375","0.34375"
"450603","0.5625","0.5625","0.5625"
"450625","0.03125","0.03125","0.03125"
"450656","0.5625","0.5625","0.5625"
"450727","0.5","0.5","0.5"
"460606","0.5625","0.5625","0.5625"
"460608","0.09375","0.09375","0.09375"
"460633","0.125","0.125","0.125"
"460660","0.40625","0.40625","0.40625"
"470603","0.375","0.375","0.375"
"470622","0.46875","0.46875","0.46875"
"470634","0.09375","0.09375","0.09375"
"470710","0.15625","0.15625","0.15625"
"480603","0.5625","0.5625","0.5625"
"480613","0.40625","0.40625","0.40625"
"480616","0","0","0"
"480626","0.1875","0.1875","0.1875"
"490602","0.1875","0.1875","0.1875"
"490619","0.53125","0.53125","0.53125"
"490631","0.21875","0.21875","0.21875"
"490690","0.625","0.625","0.625"
"500608","0.375","0.375","0.375"
"500619","0.28125","0.28125","0.28125"
"500646","0.375","0.375","0.375"
"500703","0.5","0.5","0.5"
"510623","0.21875","0.21875","0.21875"
"510635","0.125","0.125","0.125"
"510721","0.53125","0.53125","0.53125"
"510732","0.34375","0.34375","0.34375"
"520626","0.53125","0.53125","0.53125"
"520627","0.375","0.375","0.375"
"520722","0.34375","0.34375","0.34375"
"520723","0.28125","0.28125","0.28125"
"530620","0.5625","0.5625","0.5625"
"530629","0.5","0.5","0.5"
"530675","0.40625","0.40625","0.40625"
"530692","0.28125","0.28125","0.28125"
"540605","0.78125","0.78125","0.78125"
"540607","0.5","0.5","0.5"
"540614","0.3125","0.3125","0.3125"
"540625","0.1875","0.1875","0.1875"
"550608","0.28125","0.28125","0.28125"
"550620","0.625","0.625","0.625"
"550622","0.15625","0.15625","0.15625"
"550698","0.65625","0.65625","0.65625"
"560624","0.3125","0.3125","0.3125"
"560635","0.40625","0.40625","0.40625"
"560645","0.625","0.625","0.625"
"560650","0.53125","0.53125","0.53125"
"570601","0.59375","0.59375","0.59375"
"570611","0.28125","0.28125","0.28125"
"570624","0.375","0.375","0.375"
"570640","0.3125","0.3125","0.3125"
"580608","0.40625","0.40625","0.40625"
"580616","0.375","0.375","0.375"
"580618","0.3125","0.3125","0.3125"
"580633","0.53125","0.53125","0.53125"
"590600","0.28125","0.28125","0.28125"
"590628","0.40625","0.40625","0.40625"
"590723","0.40625","0.40625","0.40625"
"590735","0.34375","0.34375","0.34375"
"600621","0.59375","0.59375","0.59375"
"600630","0.4375","0.4375","0.4375"
"600633","0.21875","0.21875","0.21875"
"600777","0.4375","0.4375","0.4375"
"610622","0.28125","0.28125","0.28125"
"610626","0.40625","0.40625","0.40625"
"610635","0.5","0.5","0.5"
"610696","0.03125","0.03125","0.03125"
"620605","0.34375","0.34375","0.34375"
"620610","0.5625","0.5625","0.5625"
"620627","0.53125","0.53125","0.53125"
"620712","0.5625","0.5625","0.5625"
"630600","0.4375","0.4375","0.4375"
"630602","0.625","0.625","0.625"
"630623","0.5625","0.5625","0.5625"
"630650","0.625","0.625","0.625"
"640601","0.65625","0.65625","0.65625"
"640615","0.59375","0.59375","0.59375"
"640616","0.34375","0.34375","0.34375"
"640633","0.09375","0.09375","0.09375"
"650608","0.6875","0.6875","0.6875"
"650626","0","0","0"
"650635","0.15625","0.15625","0.15625"
"650638","0.6875","0.6875","0.6875"
"660608","0.65625","0.65625","0.65625"
"660628","0.46875","0.46875","0.46875"
"660703","0.75","0.75","0.75"
"660735","0.3125","0.3125","0.3125"
"670600","0.59375","0.59375","0.59375"
"670604","0.46875","0.46875","0.46875"
"670607","0.34375","0.34375","0.34375"
"670691","0.3125","0.3125","0.3125"
"680611","0.625","0.625","0.625"
"680626","0.53125","0.53125","0.53125"
"680642","0.703125","0.5625","0.84375"
"690607","0.5","0.5","0.5"
"690616","0.28125","0.28125","0.28125"
"690635","0.46875","0.46875","0.46875"
"690654","0.28125","0.28125","0.28125"
