Wall time,Step,Value
1726499675.2364836,38,0.0
1726500047.2010596,10081,0.0
1726500399.3512585,20092,0.0
1726500750.5217876,30100,0.0
1726501100.72528,40127,0.0
1726501448.7982428,50137,0.0
1726501809.7035315,60168,0.0
1726502169.3328714,70172,0.0
1726502533.024482,80188,0.0
1726502900.1749668,90199,0.0
1726503266.2201319,100212,0.0
1726503627.749613,110232,0.0
1726503987.3623307,120242,0.0
1726504342.515502,130270,0.0
1726504686.4728673,140290,0.0
1726505034.9082603,150325,0.0
1726505380.2890937,160375,0.0
1726505723.9376342,170421,0.0
1726506058.515238,180472,0.0
1726506408.1031482,190479,0.0
1726506751.9626892,200520,0.0
1726507086.256087,210529,0.0
1726507428.1655912,220545,0.0
1726507775.7776825,230625,0.0
1726508116.0994768,240761,0.0
1726508475.753591,250779,0.0
1726508818.4228506,260787,0.0
1726509158.3396578,270844,0.0
1726509475.817783,280872,0.0
1726509796.7702978,290887,0.0
1726510108.1721432,300911,0.0
1726510430.4167838,310936,0.0
1726510743.8336546,320965,0.0
1726511041.294799,330992,0.0
1726511339.9154806,341082,0.0
1726511636.4329095,351192,0.0
1726511929.3989966,361350,0.0
1726512191.7390118,371379,0.0
1726512454.6020834,381493,0.0
1726512715.3979814,391496,0.0
1726513018.7737641,401590,0.0
1726513297.4035134,411598,0.0
1726513595.161236,421614,0.0
1726513879.0607362,431746,0.0
1726514131.1249943,441760,0.0
1726514385.2605624,451766,0.0
1726514628.1113782,461768,0.0
1726514864.7495568,471809,0.0
1726515122.338876,481946,0.0
1726515389.057388,491962,0.0
1726515638.9836664,502097,0.0
1726515891.1162052,512132,0.0
1726516133.2400951,522297,0.0
1726516381.9362586,532446,0.0
1726516630.141409,542497,0.0
1726516870.9955873,552661,0.0
1726517139.4576354,562784,0.0
1726517388.8086526,572872,0.0
1726517674.729812,582915,0.0
1726517949.773721,592971,0.0
1726518208.5364804,603014,0.0
1726518478.9193418,613139,0.0
1726518734.270497,623306,0.0
1726519011.730725,633307,0.0
1726519303.1131608,643387,0.0
1726519550.8491027,653548,0.0
1726519861.237611,663558,0.0
1726520248.5048392,673569,0.0
1726520604.1477852,683709,0.0
1726520989.7984648,693829,0.0
1726521356.662103,703834,0.0
1726521753.7266474,713837,0.0
1726522121.5129476,723882,0.0
1726522423.2631843,733886,0.0
1726522701.5584593,743938,0.0
1726522974.3080232,754035,0.0
1726523297.285674,764058,0.0
1726523596.227982,774230,0.0
1726523925.7439773,784367,0.0
1726524223.6106896,794524,0.0
1726524499.777225,804687,0.0
1726524795.8382614,814775,0.0
1726525093.3628647,824805,0.0
1726525376.415995,834852,0.0
1726525664.9466271,844856,0.006535947788506746
1726525944.0522516,854873,0.0
1726526237.1967235,864880,0.0
1726526521.7637157,874882,0.012903225608170033
1726526796.8051782,884892,0.0
1726527038.6682048,894906,0.0
1726527314.0000472,904988,0.0
1726527573.3446054,915015,0.0
1726527834.2765448,925123,0.0
1726528099.5619833,935190,0.0
1726528387.5247962,945207,0.0
1726528704.1312156,955218,0.005780346691608429
1726529022.2113147,965258,0.0
1726529346.3421397,975376,0.0
1726529678.5780778,985377,0.009852216579020023
1726529978.9286218,995404,0.005747126415371895
1726530308.5891333,1005431,0.010256410576403141
1726530633.3169503,1015441,0.009569377638399601
1726530934.5898304,1025445,0.01104972418397665
1726531236.2936652,1035454,0.016853932291269302
1726531549.5824702,1045476,0.010989011265337467
1726531852.7350602,1055477,0.0
1726532196.586073,1065487,0.01904761977493763
1726532546.0152655,1075513,0.013698630034923553
1726532883.855729,1085646,0.0
1726533196.6406982,1095730,0.005376344081014395
1726533528.4574764,1105756,0.02525252476334572
1726533879.1385694,1115766,0.023364486172795296
1726534211.1527414,1125774,0.043062202632427216
1726534520.523332,1135899,0.032967034727334976
1726534844.4883175,1145926,0.05154639109969139
1726535162.323814,1156057,0.021164020523428917
1726535488.8140037,1166074,0.014851485379040241
1726535826.918863,1176090,0.03940886631608009
1726536184.289288,1186090,0.04782608523964882
1726536537.1348305,1196126,0.013274336233735085
1726536862.1362722,1206164,0.020618556067347527
1726537164.0901084,1216177,0.046783626079559326
1726537498.1400564,1226193,0.02604166604578495
1726537804.815928,1236342,0.04545454680919647
1726538125.5122619,1246350,0.016949152573943138
1726538438.1485488,1256353,0.005681818351149559
1726538722.2599938,1266423,0.040816325694322586
1726539021.773838,1276438,0.02631578966975212
1726539323.6851141,1286457,0.0
1726539627.8999605,1296473,0.033898305147886276
1726539943.05438,1306489,0.02793296054005623
1726540254.267191,1316503,0.0057142856530845165
1726540584.7260387,1326510,0.04060913622379303
1726540914.6733127,1336517,0.04278074949979782
1726541233.4652612,1346540,0.0634920671582222
1726541580.8002458,1356564,0.0651162788271904
1726541969.1502788,1366574,0.08560311049222946
1726542366.9218597,1376579,0.05639097839593887
1726542767.4911895,1386603,0.038314174860715866
1726543137.1300914,1396637,0.029288703575730324
1726543508.062777,1406665,0.09166666865348816
