Wall time,Step,Value
1737653183.3002956,34,0.0
1737653542.6212206,10042,0.0
1737654045.6780653,20045,0.0
1737654564.62311,30059,0.0
1737655086.4061902,40079,0.0
1737655571.531322,50099,0.0
1737656037.0309389,60099,0.0
1737656550.2551754,70117,0.0
1737657066.3618011,80121,0.0
1737657558.3077128,90143,0.0
1737658063.6369655,100166,0.0
1737658570.6645792,110179,0.0
1737659051.5600033,120189,0.0
1737659555.3603868,130205,0.0
1737660039.1927526,140216,0.0
1737660482.663566,150237,0.0
1737660855.072039,160249,0.0
1737661235.7455869,170251,0.0
1737661620.8385224,180257,0.0
1737662001.0271661,190273,0.0
1737662361.6030695,200292,0.0
1737662681.5414083,210308,0.0
1737663003.996799,220328,0.0
1737663343.5192297,230355,0.0
1737663634.3072634,240370,0.0
1737663922.350641,250509,0.0
1737664238.0133297,260573,0.0
1737664505.0672753,270592,0.0
1737664720.845122,280603,0.0
1737664997.6773427,290719,0.0
1737665259.429762,300804,0.0
1737665538.2036657,310831,0.0
1737665779.491653,320957,0.0
1737666003.9840481,330982,0.0
1737666239.5260472,341017,0.0
1737666474.117614,351154,0.0
1737666684.225464,361179,0.0
1737666894.4855645,371180,0.0
1737667129.9536335,381215,0.0
1737667371.2050405,391296,0.0
1737667654.4693425,401393,0.0
1737667967.2230654,411563,0.0
1737668254.2148268,421604,0.0
1737668548.1248178,431702,0.0
1737668835.8569825,441754,0.0
1737669097.2554038,451761,0.0
1737669364.9886386,461847,0.0
1737669620.3993669,471869,0.0
1737669863.1542325,481902,0.0
1737670097.7024279,491976,0.0
1737670339.6864722,502011,0.0
1737670575.1970792,512103,0.0
1737670809.6728752,522197,0.0
1737671056.8858716,532331,0.0
1737671339.587245,542456,0.0
1737671629.9671855,552535,0.0
1737671920.6155632,562636,0.0
1737672220.6557882,572714,0.0
1737672512.5157013,582879,0.0
1737672756.195896,593043,0.0
1737672989.289456,603148,0.0
1737673226.9081137,613225,0.0
1737673470.3053203,623286,0.0
1737673705.7654054,633310,0.0
1737673961.4829211,643458,0.0
1737674220.69533,653576,0.0
1737674469.3954349,663596,0.0
1737674723.103037,673661,0.0
1737675000.949012,683729,0.0
1737675273.5386505,693776,0.0
1737675592.6158357,703832,0.0
1737675867.0616872,713997,0.0
1737676136.2370763,724078,0.0
1737676391.6357768,734123,0.0
1737676667.9262779,744296,0.0
1737676938.0298748,754457,0.0
1737677211.19378,764601,0.0
1737677481.4301567,774749,0.0
1737677749.146596,784762,0.0
1737678051.7355285,794830,0.0
1737678362.9145215,804862,0.0
1737678647.346325,814869,0.0
1737678936.876628,825011,0.0
1737679253.495056,835148,0.0
1737679542.2537675,845233,0.0
1737679826.4362693,855335,0.0
1737680106.3989587,865411,0.0
1737680402.9387753,875561,0.0
1737680709.5457668,885687,0.0
1737681008.4998138,895716,0.0
1737681295.4500747,905804,0.0
1737681603.8442483,915866,0.0
1737681924.8894048,925960,0.0
1737682238.973602,935975,0.0
1737682530.8695283,946040,0.0
1737682814.6455657,956052,0.0
1737683109.2877345,966052,0.0
1737683406.6510215,976168,0.0
1737683707.7420034,986314,0.0
1737684011.221085,996365,0.0
1737684319.755076,1006380,0.0
1737684620.59682,1016494,0.0
1737684932.1618187,1026536,0.0
1737685235.7751849,1036623,0.0
1737685545.0465102,1046645,0.0
1737685859.8282397,1056679,0.0
1737686159.1406045,1066844,0.0
1737686461.1177387,1076933,0.0
1737686767.3004868,1086961,0.0
1737687092.0428786,1097094,0.0
1737687405.800779,1107197,0.0
1737687711.2352593,1117300,0.0
1737688023.3645275,1127378,0.0
1737688333.4297082,1137398,0.0
1737688654.8312888,1147417,0.0
1737688978.020576,1157557,0.0
1737689313.8767633,1167720,0.0
1737689653.1403866,1177880,0.0
1737689969.4036686,1187992,0.0
1737690282.6192775,1198083,0.0
1737690599.4089627,1208106,0.0
1737690951.9434981,1218285,0.0
1737691280.6572037,1228343,0.0
1737691597.5247579,1238437,0.0
1737691910.2315066,1248524,0.0
1737692229.9792457,1258698,0.0
1737692540.0203285,1268837,0.0
1737692850.0590708,1278884,0.0
1737693145.5545118,1288972,0.0
1737693447.1760666,1298984,0.0
1737693753.9975169,1309074,0.0
1737694056.9660642,1319207,0.0
1737694345.7015097,1329247,0.0
1737694648.4747596,1339303,0.0
1737694947.5243177,1349308,0.0
1737695249.2693658,1359419,0.0
1737695542.0709195,1369484,0.0
1737695837.3935387,1379603,0.0
1737696134.0846686,1389651,0.0
1737696437.4260287,1399789,0.0
1737696734.391925,1409954,0.0
1737697024.8702776,1419967,0.0
1737697328.7942734,1430014,0.0
1737697636.754223,1440040,0.0
1737697950.937896,1450211,0.0
1737698257.983498,1460314,0.0
1737698546.5335011,1470318,0.0
1737698873.2908416,1480428,0.0
1737699180.1696768,1490529,0.0
1737699484.3424778,1500637,0.0
1737699777.044949,1510664,0.0
1737700097.5745735,1520677,0.0
1737700396.2624867,1530726,0.0
1737700693.4948163,1540766,0.0
1737700991.7344687,1550819,0.0
1737701302.5511165,1560880,0.0
1737701607.7475324,1570923,0.0
1737701902.269515,1581076,0.0
1737702201.2555132,1591161,0.0
1737702531.5034182,1601216,0.0
1737702857.1184154,1611226,0.0
1737703216.4874105,1621375,0.0
1737703621.2070477,1631376,0.0
1737703996.8649387,1641382,0.0
1737704342.3814855,1651488,0.0
1737704715.8991163,1661564,0.0
1737705050.1587348,1671707,0.0
1737705373.6882393,1681715,0.0
1737705703.361966,1691803,0.0
1737706021.2763703,1701857,0.0
1737706329.5556793,1712007,0.0
1737706655.7936018,1722166,0.0
1737706974.51651,1732207,0.0
1737707283.5820282,1742292,0.0
1737707592.7936144,1752321,0.0
1737707903.0742166,1762325,0.0
1737708220.5582042,1772454,0.0
1737708534.14502,1782594,0.0
1737708844.0843377,1792738,0.0
1737709154.3706417,1802886,0.0
1737709478.8604703,1813061,0.0
1737709818.3398356,1823065,0.0
1737710146.2725763,1833160,0.0
1737710488.5081153,1843186,0.0
1737710840.4768448,1853243,0.0
1737711204.8208632,1863269,0.0
1737711559.0233564,1873307,0.0
1737711993.9873734,1883429,0.0
1737712441.7927,1893578,0.0
1737712869.190763,1903733,0.0
1737713333.9649005,1913740,0.0
1737713824.47152,1923755,0.03125
1737714276.2837555,1933789,0.0
1737714823.1331058,1943955,0.0
1737715360.2566135,1953965,0.0
1737715831.2365081,1963975,0.0
1737716290.226661,1974142,0.0
1737716723.1359458,1984170,0.0
1737717182.6412838,1994203,0.0625
1737717575.7011766,2004212,0.03125
1737717977.0319045,2014303,0.0
1737718357.8558686,2024346,0.0
1737718746.4396026,2034360,0.0
1737719159.1729205,2044428,0.0
1737719562.7494123,2054489,0.0
1737720009.6432235,2064602,0.0
1737720407.815759,2074632,0.0
1737720874.6320841,2084688,0.0
1737721381.7282116,2094862,0.03125
1737721901.6260414,2104940,0.0625
1737722410.3399324,2115098,0.0
1737722971.7941315,2125215,0.0625
1737723557.9675353,2135231,0.03125
1737724200.3599231,2145267,0.15625
1737724833.3835528,2155278,0.0625
1737725364.8658342,2165281,0.1875
1737725932.9031994,2175296,0.0625
1737726417.4749055,2185328,0.25
1737726903.8666282,2195456,0.28125
1737727343.5596962,2205556,0.1875
1737727732.6178617,2215578,0.0625
1737728142.34122,2225578,0.0625
1737728595.8333528,2235581,0.125
1737729026.3591325,2245623,0.375
1737729450.7599509,2255642,0.15625
1737729868.298856,2265674,0.21875
1737730275.6974916,2275688,0.21875
1737730650.4185038,2285715,0.375
1737731048.527556,2295732,0.40625
1737731486.1455197,2305777,0.40625
1737731976.754087,2315792,0.40625
1737732434.0254028,2325811,0.625
1737732857.832279,2335959,0.34375
1737733278.7478561,2345969,0.53125
1737733651.4280853,2356027,0.53125
1737733981.6414015,2366143,0.34375
1737734306.7579372,2376232,0.53125
1737734653.0755198,2386240,0.34375
1737734995.446939,2396337,0.46875
1737735352.8026927,2406380,0.59375
1737735720.6574802,2416411,0.4375
1737736107.5173695,2426579,0.46875
1737736484.7079988,2436741,0.375
1737736822.4558842,2446745,0.25
1737737166.4386754,2456810,0.40625
1737737485.4889824,2466850,0.375
1737737853.1194816,2477023,0.3125
1737738205.5961328,2487032,0.625
1737738581.5398018,2497134,0.5
1737738923.16499,2507240,0.25
1737739247.2836518,2517246,0.6875
1737739619.6542284,2527263,0.5
1737740035.538155,2537265,0.5
1737740455.923047,2547430,0.65625
1737740886.7508848,2557511,0.4375
1737741337.3708174,2567679,0.5
1737741768.8497584,2577696,0.46875
1737742167.4123836,2587696,0.65625
1737742592.8103957,2597769,0.5
1737743010.9181674,2607863,0.5
1737743402.2008462,2617883,0.625
1737743795.2415354,2627888,0.5
1737744167.594522,2637898,0.59375
1737744562.7402446,2647900,0.71875
1737744988.647666,2658072,0.59375
1737745428.661811,2668096,0.59375
1737745903.6046941,2678120,0.75
1737746352.8210886,2688144,0.5625
1737746797.695438,2698151,0.5
1737747236.2523627,2708161,0.34375
1737747625.7432508,2718317,0.5625
1737748084.3934991,2728346,0.5
1737748480.782339,2738347,0.46875
1737748870.2226782,2748373,0.5
1737749304.836434,2758398,0.25
1737749742.427865,2768406,0.21875
1737750186.8311892,2778413,0.59375
1737750660.127128,2788443,0.75
1737751139.180914,2798453,0.59375
1737751580.5524585,2808478,0.6875
1737752032.4317806,2818493,0.65625
1737752464.1133196,2828527,0.78125
1737752895.4662988,2838545,0.6875
1737753355.0077546,2848570,0.71875
1737753792.8863204,2858581,0.71875
1737754271.319462,2868721,0.6875
1737754750.2574027,2878730,0.46875
1737755203.1598473,2888748,0.71875
1737755619.9187725,2898749,0.59375
1737756040.5656867,2908766,0.59375
1737756509.302656,2918766,0.65625
1737756995.2032697,2928775,0.6875
1737757480.789573,2938809,0.59375
1737757915.393916,2948815,0.6875
1737758393.9403987,2958831,0.78125
1737758862.3546212,2968849,0.6875
1737759328.9742272,2978946,0.6875
1737759817.7821014,2988950,0.65625
1737760281.6109476,2999042,0.84375
