"Step","Group: 27m_vs_30m_QMIX - win_rate","Group: 27m_vs_30m_QMIX - win_rate__MIN","Group: 27m_vs_30m_QMIX - win_rate__MAX"
"0","0","0","0"
"10002","0","0","0"
"10008","0","0","0"
"10020","0","0","0"
"10023","0","0","0"
"10029","0","0","0"
"10030","0","0","0"
"20000","0","0","0"
"20008","0","0","0"
"20011","0","0","0"
"20019","0","0","0"
"20022","0","0","0"
"20025","0","0","0"
"30000","0","0","0"
"30004","0","0","0"
"30008","0","0","0"
"30013","0","0","0"
"30017","0","0","0"
"30020","0","0","0"
"40002","0","0","0"
"40010","0","0","0"
"40011","0","0","0"
"40012","0","0","0"
"40013","0","0","0"
"40021","0","0","0"
"50002","0","0","0"
"50005","0","0","0"
"50010","0","0","0"
"50018","0","0","0"
"50025","0","0","0"
"60002","0","0","0"
"60005","0","0","0"
"60012","0","0","0"
"60014","0","0","0"
"60016","0","0","0"
"60022","0","0","0"
"70000","0","0","0"
"70003","0","0","0"
"70016","0","0","0"
"70019","0","0","0"
"70167","0","0","0"
"70174","0","0","0"
"80002","0","0","0"
"80013","0","0","0"
"80015","0","0","0"
"80019","0","0","0"
"80024","0","0","0"
"80025","0","0","0"
"90008","0","0","0"
"90012","0","0","0"
"90015","0","0","0"
"90020","0","0","0"
"90024","0","0","0"
"90169","0","0","0"
"100010","0","0","0"
"100016","0","0","0"
"100017","0","0","0"
"100020","0","0","0"
"100027","0","0","0"
"100036","0","0","0"
"110001","0","0","0"
"110007","0","0","0"
"110009","0","0","0"
"110011","0","0","0"
"110019","0","0","0"
"110024","0","0","0"
"120007","0","0","0"
"120012","0","0","0"
"120016","0","0","0"
"120021","0","0","0"
"120024","0","0","0"
"130006","0","0","0"
"130017","0","0","0"
"130020","0","0","0"
"130026","0","0","0"
"130029","0","0","0"
"130084","0","0","0"
"140001","0","0","0"
"140021","0","0","0"
"140022","0","0","0"
"140025","0","0","0"
"140026","0","0","0"
"140051","0","0","0"
"150000","0","0","0"
"150004","0","0","0"
"150007","0","0","0"
"150010","0","0","0"
