"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10234","0","0","0"
"10235","0","0","0"
"10237","0","0","0"
"10256","0","0","0"
"10261","0","0","0"
"10262","0","0","0"
"10640","0","0","0"
"20230","0","0","0"
"20240","0","0","0"
"20241","0","0","0"
"20242","0","0","0"
"20251","0","0","0"
"20261","0","0","0"
"20635","0","0","0"
"30221","0","0","0"
"30224","0","0","0"
"30232","0","0","0"
"30235","0","0","0"
"30236","0","0","0"
"30249","0","0","0"
"30625","0","0","0"
"40221","0","0","0"
"40234","0","0","0"
"40239","0","0","0"
"40243","0","0","0"
"40252","0","0","0"
"40602","0","0","0"
"50225","0","0","0"
"50235","0","0","0"
"50242","0","0","0"
"50246","0","0","0"
"50248","0","0","0"
"50259","0","0","0"
"50622","0","0","0"
"60224","0","0","0"
"60227","0","0","0"
"60244","0","0","0"
"60255","0","0","0"
"60257","0","0","0"
"60264","0","0","0"
"60627","0","0","0"
"70220","0","0","0"
"70224","0","0","0"
"70243","0","0","0"
"70247","0","0","0"
"70262","0","0","0"
"70347","0","0","0"
"70612","0","0","0"
"80230","0","0","0"
"80236","0","0","0"
"80241","0","0","0"
"80247","0","0","0"
"80248","0","0","0"
"80251","0","0","0"
"80638","0","0","0"
"90229","0","0","0"
"90233","0","0","0"
"90241","0","0","0"
"90249","0","0","0"
"90254","0","0","0"
"90607","0","0","0"
"100238","0","0","0"
"100246","0","0","0"
"100258","0","0","0"
"100260","0","0","0"
"100261","0","0","0"
"100322","0","0","0"
"100621","0","0","0"
"110227","0","0","0"
"110235","0","0","0"
"110255","0","0","0"
"110257","0","0","0"
"110267","0","0","0"
"110312","0","0","0"
"110615","0","0","0"
"120234","0","0","0"
"120243","0","0","0"
"120253","0","0","0"
"120255","0","0","0"
"120256","0","0","0"
"120261","0","0","0"
"120658","0","0","0"
"130226","0","0","0"
"130227","0","0","0"
"130248","0","0","0"
"130256","0","0","0"
