"Step","seed1_date2024-12-03_23-33-26 - win_rate","seed1_date2024-12-03_23-33-26 - win_rate__MIN","seed1_date2024-12-03_23-33-26 - win_rate__MAX","seed5_date2024-12-03_23-32-37 - win_rate","seed5_date2024-12-03_23-32-37 - win_rate__MIN","seed5_date2024-12-03_23-32-37 - win_rate__MAX","seed4_date2024-12-03_23-32-23 - win_rate","seed4_date2024-12-03_23-32-23 - win_rate__MIN","seed4_date2024-12-03_23-32-23 - win_rate__MAX","seed2_date2024-12-03_23-33-12 - win_rate","seed2_date2024-12-03_23-33-12 - win_rate__MIN","seed2_date2024-12-03_23-33-12 - win_rate__MAX","seed3_date2024-12-03_23-32-56 - win_rate","seed3_date2024-12-03_23-32-56 - win_rate__MIN","seed3_date2024-12-03_23-32-56 - win_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10600","","","","","","","","","","0","0","0","","",""
"10609","","","","","","","0","0","0","","","","","",""
"10612","0","0","0","","","","","","","","","","","",""
"10637","","","","","","","","","","","","","0","0","0"
"10643","","","","0","0","0","","","","","","","","",""
"20601","","","","","","","","","","0","0","0","","",""
"20604","","","","","","","0","0","0","","","","","",""
"20610","","","","0","0","0","","","","","","","","",""
"20629","","","","","","","","","","","","","0","0","0"
"20634","0","0","0","","","","","","","","","","","",""
"30607","0","0","0","","","","","","","","","","","",""
"30625","","","","0","0","0","","","","","","","","",""
"30627","","","","","","","","","","","","","0","0","0"
"30635","","","","","","","0","0","0","","","","","",""
"30642","","","","","","","","","","0","0","0","","",""
"40605","","","","","","","","","","","","","0","0","0"
"40606","0","0","0","","","","","","","","","","","",""
"40617","","","","","","","0","0","0","","","","","",""
"40639","","","","","","","","","","0","0","0","","",""
"40743","","","","0","0","0","","","","","","","","",""
"50602","","","","","","","","","","0","0","0","","",""
"50607","0","0","0","","","","","","","","","","","",""
"50629","","","","","","","","","","","","","0","0","0"
"50630","","","","","","","0","0","0","","","","","",""
"50637","","","","0","0","0","","","","","","","","",""
"60611","","","","","","","","","","0","0","0","","",""
"60614","","","","","","","0","0","0","","","","","",""
"60615","","","","0","0","0","","","","","","","","",""
"60641","","","","","","","","","","","","","0","0","0"
"60644","0","0","0","","","","","","","","","","","",""
"70609","","","","","","","","","","0","0","0","","",""
"70634","","","","","","","","","","","","","0","0","0"
"70642","","","","","","","0","0","0","","","","","",""
"70643","0","0","0","","","","","","","","","","","",""
"70651","","","","0","0","0","","","","","","","","",""
"80615","","","","","","","","","","0","0","0","","",""
"80625","","","","","","","","","","","","","0","0","0"
"80630","0","0","0","","","","0","0","0","","","","","",""
"80641","","","","0","0","0","","","","","","","","",""
"90607","","","","","","","0","0","0","","","","","",""
"90608","","","","0","0","0","","","","","","","","",""
"90613","","","","","","","","","","0","0","0","","",""
"90615","","","","","","","","","","","","","0","0","0"
"90633","0","0","0","","","","","","","","","","","",""
"100605","0","0","0","","","","","","","","","","","",""
"100612","","","","","","","0","0","0","","","","","",""
"100624","","","","","","","","","","","","","0","0","0"
"100639","","","","","","","","","","0","0","0","","",""
"100648","","","","0","0","0","","","","","","","","",""
"110612","","","","","","","","","","","","","0","0","0"
"110617","","","","","","","0","0","0","","","","","",""
"110619","0","0","0","","","","","","","","","","","",""
"110624","","","","","","","","","","0","0","0","","",""
"110648","","","","0","0","0","","","","","","","","",""
"120602","","","","","","","","","","0","0","0","","",""
"120618","","","","0","0","0","","","","","","","","",""
"120620","","","","","","","0","0","0","","","","","",""
"120642","0","0","0","","","","","","","","","","","",""
"120699","","","","","","","","","","","","","0","0","0"
"130610","","","","0","0","0","","","","","","","","",""
"130619","","","","","","","","","","","","","0","0","0"
"130625","0","0","0","","","","","","","","","","","",""
"130633","","","","","","","","","","0","0","0","","",""
