"Step","Group: 3s5z_vs_3s6z_QMIX - win_rate","Group: 3s5z_vs_3s6z_QMIX - win_rate__MIN","Group: 3s5z_vs_3s6z_QMIX - win_rate__MAX"
"0","0","0","0"
"10008","0","0","0"
"10014","0","0","0"
"10022","0","0","0"
"10027","0","0","0"
"10044","0","0","0"
"10047","0","0","0"
"20000","0","0","0"
"20001","0","0","0"
"20004","0","0","0"
"20019","0","0","0"
"20023","0","0","0"
"20035","0","0","0"
"30000","0","0","0"
"30003","0","0","0"
"30016","0","0","0"
"30019","0","0","0"
"30026","0","0","0"
"30027","0","0","0"
"40014","0","0","0"
"40026","0","0","0"
"40027","0","0","0"
"40036","0","0","0"
"40037","0","0","0"
"40040","0","0","0"
"50003","0","0","0"
"50011","0","0","0"
"50020","0","0","0"
"50023","0","0","0"
"50034","0","0","0"
"50035","0","0","0"
"60002","0","0","0"
"60018","0","0","0"
"60020","0","0","0"
"60028","0","0","0"
"60031","0","0","0"
"60041","0","0","0"
"70006","0","0","0"
"70014","0","0","0"
"70021","0","0","0"
"70028","0","0","0"
"70032","0","0","0"
"70035","0","0","0"
"80016","0","0","0"
"80022","0","0","0"
"80027","0","0","0"
"80029","0","0","0"
"80038","0","0","0"
"80039","0","0","0"
"90005","0","0","0"
"90011","0","0","0"
"90022","0","0","0"
"90027","0","0","0"
"90029","0","0","0"
"90035","0","0","0"
"100002","0","0","0"
"100006","0","0","0"
"100023","0","0","0"
"100034","0","0","0"
"100039","0","0","0"
"100096","0","0","0"
"110010","0","0","0"
"110011","0","0","0"
"110023","0","0","0"
"110028","0","0","0"
"110033","0","0","0"
"110040","0","0","0"
"120005","0","0","0"
"120013","0","0","0"
"120017","0","0","0"
"120020","0","0","0"
"120108","0","0","0"
"130011","0","0","0"
"130013","0","0","0"
"130018","0","0","0"
"130024","0","0","0"
"130030","0","0","0"
"130032","0","0","0"
"140004","0","0","0"
"140016","0","0","0"
"140021","0","0","0"
"140024","0","0","0"
"140031","0","0","0"
"140039","0","0","0"
"150005","0","0","0"
"150006","0","0","0"
"150022","0","0","0"
"150026","0","0","0"
"150028","0","0","0"
"150042","0","0","0"
"160005","0","0","0"
"160007","0","0","0"
"160026","0","0","0"
"160028","0","0","0"
"160029","0","0","0"
"160055","0","0","0"
"170022","0","0","0"
"170028","0","0","0"
"170031","0","0","0"
"170032","0","0","0"
"170036","0","0","0"
"180002","0","0","0"
"180009","0","0","0"
"180013","0","0","0"
"180020","0","0","0"
"180029","0","0","0"
"180036","0","0","0"
"190004","0","0","0"
"190007","0","0","0"
"190018","0","0","0"
"190023","0","0","0"
"190026","0","0","0"
"190044","0","0","0"
"200004","0","0","0"
"200009","0","0","0"
"200010","0","0","0"
"200019","0","0","0"
"200042","0","0","0"
"210013","0","0","0"
"210020","0","0","0"
"210023","0","0","0"
"210025","0","0","0"
"210030","0","0","0"
"210048","0","0","0"
"220001","0","0","0"
"220003","0","0","0"
"220004","0","0","0"
"220017","0","0","0"
"220035","0","0","0"
"230001","0","0","0"
"230002","0","0","0"
"230018","0","0","0"
"230019","0","0","0"
"230022","0","0","0"
"230026","0","0","0"
"240002","0","0","0"
"240022","0","0","0"
"240028","0","0","0"
"240031","0","0","0"
"240073","0","0","0"
"240167","0","0","0"
"250000","0","0","0"
"250001","0","0","0"
"250002","0","0","0"
"250032","0","0","0"
"250033","0","0","0"
"260005","0","0","0"
"260020","0","0","0"
"260021","0","0","0"
"260029","0","0","0"
"260044","0","0","0"
"270020","0","0","0"
"270021","0","0","0"
"270027","0","0","0"
"270032","0","0","0"
"270037","0","0","0"
"270041","0","0","0"
"280011","0","0","0"
"280019","0","0","0"
"280020","0","0","0"
"280026","0","0","0"
"280043","0","0","0"
"280095","0","0","0"
"290004","0","0","0"
"290005","0","0","0"
"290019","0","0","0"
"290033","0","0","0"
"290039","0","0","0"
"290042","0","0","0"
"300005","0","0","0"
"300017","0","0","0"
"300021","0","0","0"
"300023","0","0","0"
"300026","0","0","0"
"300035","0","0","0"
"310000","0","0","0"
"310014","0","0","0"
"310017","0","0","0"
"310021","0","0","0"
"310040","0","0","0"
"310042","0","0","0"
"320005","0","0","0"
"320008","0","0","0"
"320012","0","0","0"
"320014","0","0","0"
"320020","0","0","0"
"320036","0","0","0"
"330002","0","0","0"
"330007","0","0","0"
"330018","0","0","0"
"330029","0","0","0"
"330113","0","0","0"
"330134","0","0","0"
"340007","0","0","0"
"340009","0","0","0"
"340011","0","0","0"
"340022","0","0","0"
"340032","0","0","0"
"340142","0","0","0"
"350003","0","0","0"
"350005","0","0","0"
"350007","0","0","0"
"350024","0","0","0"
"350031","0","0","0"
"350042","0","0","0"
"360002","0","0","0"
"360012","0","0","0"
"360014","0","0","0"
"360022","0","0","0"
"360031","0","0","0"
"360037","0","0","0"
"370007","0","0","0"
"370013","0","0","0"
"370016","0","0","0"
"370035","0","0","0"
"370039","0","0","0"
"370054","0","0","0"
"380000","0","0","0"
"380012","0","0","0"
"380013","0","0","0"
"380026","0","0","0"
"380032","0","0","0"
"380034","0","0","0"
"390015","0","0","0"
"390024","0","0","0"
"390028","0","0","0"
"390035","0","0","0"
"390069","0","0","0"
"400017","0","0","0"
"400022","0","0","0"
"400028","0","0","0"
"400038","0","0","0"
"400040","0","0","0"
"400093","0","0","0"
"410004","0","0","0"
"410005","0","0","0"
"410026","0","0","0"
"410028","0","0","0"
"410050","0","0","0"
"420003","0","0","0"
"420007","0","0","0"
"420016","0","0","0"
"420044","0","0","0"
"420127","0","0","0"
"420163","0","0","0"
"430000","0","0","0"
"430022","0","0","0"
"430035","0","0","0"
"430083","0","0","0"
"430102","0","0","0"
"430169","0","0","0"
"440010","0","0","0"
"440023","0","0","0"
"440026","0","0","0"
"440028","0","0","0"
"440035","0","0","0"
"440048","0","0","0"
"450022","0","0","0"
"450025","0","0","0"
"450026","0","0","0"
"450034","0","0","0"
"450047","0","0","0"
"450052","0","0","0"
"460002","0","0","0"
"460009","0","0","0"
"460012","0","0","0"
"460022","0","0","0"
"460025","0","0","0"
"460035","0","0","0"
"470001","0","0","0"
"470007","0","0","0"
"470021","0","0","0"
"470029","0","0","0"
"470037","0","0","0"
"470048","0","0","0"
"480000","0","0","0"
"480016","0","0","0"
"480025","0","0","0"
"480034","0","0","0"
"480037","0","0","0"
"480040","0","0","0"
"490011","0","0","0"
"490019","0","0","0"
"490020","0","0","0"
"490047","0","0","0"
"490048","0","0","0"
"490148","0","0","0"
"500000","0","0","0"
"500002","0","0","0"
"500007","0","0","0"
"500010","0","0","0"
"500026","0","0","0"
"500043","0","0","0"
"510012","0","0","0"
"510019","0","0","0"
"510022","0","0","0"
"510040","0","0","0"
"510047","0","0","0"
"520005","0","0","0"
"520030","0","0","0"
"520033","0","0","0"
"520034","0","0","0"
"520040","0","0","0"
"520052","0","0","0"
"530006","0","0","0"
"530010","0","0","0"
"530023","0","0","0"
"530037","0","0","0"
"530141","0","0","0"
"540000","0","0","0"
"540008","0","0","0"
"540011","0","0","0"
"540022","0","0","0"
"540043","0","0","0"
"540118","0","0","0"
"550016","0","0","0"
"550025","0","0","0"
"550028","0","0","0"
"550032","0","0","0"
"550035","0","0","0"
"550075","0","0","0"
"560005","0","0","0"
"560008","0","0","0"
"560033","0","0","0"
"560050","0","0","0"
"560092","0","0","0"
"570006","0","0","0"
"570007","0","0","0"
"570024","0","0","0"
"570036","0","0","0"
"570044","0","0","0"
"570045","0","0","0"
"580010","0","0","0"
"580016","0","0","0"
"580024","0","0","0"
"580051","0","0","0"
"580085","0","0","0"
"580161","0","0","0"
"590005","0","0","0"
"590012","0","0","0"
"590019","0","0","0"
"590035","0","0","0"
"590045","0","0","0"
"600005","0","0","0"
"600006","0","0","0"
"600016","0","0","0"
"600022","0","0","0"
"600047","0","0","0"
"600083","0","0","0"
"610005","0","0","0"
"610007","0","0","0"
"610009","0","0","0"
"610014","0","0","0"
"610029","0","0","0"
"610163","0","0","0"
"620002","0","0","0"
"620003","0","0","0"
"620010","0","0","0"
"620014","0","0","0"
"620028","0","0","0"
"620041","0","0","0"
"630008","0","0","0"
"630010","0","0","0"
"630017","0","0","0"
"630018","0","0","0"
"630028","0","0","0"
"630046","0","0","0"
"640000","0","0","0"
"640003","0","0","0"
"640015","0","0","0"
"640103","0","0","0"
"640128","0","0","0"
"640163","0","0","0"
"650000","0","0","0"
"650001","0","0","0"
"650006","0","0","0"
"650016","0","0","0"
"650048","0","0","0"
"650061","0","0","0"
"660001","0","0","0"
"660007","0","0","0"
"660020","0","0","0"
"660022","0","0","0"
"660032","0","0","0"
"660052","0","0","0"
"670006","0","0","0"
"670017","0","0","0"
"670029","0","0","0"
"670038","0","0","0"
"670043","0","0","0"
"680021","0","0","0"
"680025","0","0","0"
"680028","0","0","0"
"680051","0","0","0"
"680157","0","0","0"
"690002","0","0","0"
"690011","0","0","0"
"690040","0","0","0"
"690041","0","0","0"
"690100","0","0","0"
"690147","0","0","0"
"700041","0","0","0"
"700042","0","0","0"
"700044","0","0","0"
"700111","0","0","0"
"700153","0","0","0"
"710002","0","0","0"
"710008","0","0","0"
"710010","0","0","0"
"710018","0","0","0"
"710019","0","0","0"
"710047","0","0","0"
"720011","0","0","0"
"720013","0","0","0"
"720026","0","0","0"
"720044","0","0","0"
"720059","0","0","0"
"730001","0","0","0"
"730024","0","0","0"
"730025","0","0","0"
"730027","0","0","0"
"730032","0","0","0"
"730041","0","0","0"
"740002","0","0","0"
"740007","0","0","0"
"740040","0","0","0"
"740047","0","0","0"
"740076","0","0","0"
"750000","0","0","0"
"750017","0","0","0"
"750027","0","0","0"
"750031","0","0","0"
"750039","0","0","0"
"750063","0","0","0"
"760000","0","0","0"
"760003","0","0","0"
"760013","0","0","0"
"760027","0","0","0"
"760028","0","0","0"
"760131","0","0","0"
"770002","0","0","0"
"770025","0","0","0"
"770026","0","0","0"
"770041","0","0","0"
"770042","0","0","0"
"770043","0","0","0"
"780000","0","0","0"
"780001","0","0","0"
"780013","0","0","0"
"780033","0","0","0"
"780092","0","0","0"
"780149","0","0","0"
"790027","0","0","0"
"790029","0","0","0"
"790036","0","0","0"
"790071","0","0","0"
"800004","0","0","0"
"800006","0","0","0"
"800011","0","0","0"
"800012","0","0","0"
"800037","0","0","0"
"800061","0","0","0"
"810009","0","0","0"
"810021","0","0","0"
"810032","0","0","0"
"810044","0","0","0"
"810070","0","0","0"
"810099","0","0","0"
"820015","0","0","0"
"820027","0","0","0"
"820032","0","0","0"
"820042","0","0","0"
"820053","0","0","0"
