"Step","Group: 5m_vs_6m_ACORM_WM - win_rate","Group: 5m_vs_6m_ACORM_WM - win_rate__MIN","Group: 5m_vs_6m_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10600","0","0","0"
"10605","0","0","0"
"10612","0","0","0"
"10613","0","0","0"
"10616","0","0","0"
"10618","0","0","0"
"20602","0","0","0"
"20609","0","0","0"
"20610","0","0","0"
"20615","0","0","0"
"20617","0","0","0"
"30606","0.015625","0","0.03125"
"30607","0","0","0"
"30616","0.03125","0.03125","0.03125"
"30619","0","0","0"
"30635","0","0","0"
"40601","0","0","0"
"40603","0","0","0"
"40612","0","0","0"
"40615","0","0","0"
"40617","0","0","0"
"50602","0","0","0"
"50603","0","0","0"
"50614","0","0","0"
"50616","0.015625","0","0.03125"
"60604","0","0","0"
"60607","0","0","0"
"60610","0","0","0"
"60611","0","0","0"
"60621","0","0","0"
"70607","0","0","0"
"70610","0","0","0"
"70614","0","0","0"
"70617","0","0","0"
"70622","0","0","0"
"80603","0","0","0"
"80604","0","0","0"
"80608","0","0","0"
"80613","0","0","0"
"80614","0","0","0"
"80620","0.03125","0.03125","0.03125"
"90605","0","0","0"
"90606","0","0","0"
"90611","0","0","0"
"90612","0.03125","0.03125","0.03125"
"90613","0","0","0"
"90619","0","0","0"
"100609","0","0","0"
"100611","0","0","0"
"100612","0.09375","0.09375","0.09375"
"100617","0.015625","0","0.03125"
"110604","0","0","0"
"110605","0","0","0"
"110606","0.03125","0.03125","0.03125"
"110616","0.0625","0.0625","0.0625"
"110618","0.015625","0","0.03125"
"120600","0.1875","0.1875","0.1875"
"120606","0.015625","0","0.03125"
"120610","0","0","0"
"120611","0","0","0"
"120619","0.25","0.25","0.25"
"130604","0","0","0"
"130605","0.0625","0.0625","0.0625"
"130611","0.0625","0.0625","0.0625"
"130613","0","0","0"
"130620","0","0","0"
"130623","0.0625","0.0625","0.0625"
"140601","0","0","0"
"140603","0","0","0"
"140606","0.34375","0.34375","0.34375"
"140608","0","0","0"
"140610","0.125","0.125","0.125"
"140612","0","0","0"
"150603","0.125","0.0625","0.1875"
"150604","0","0","0"
"150605","0.09375","0.09375","0.09375"
"150623","0.1875","0.1875","0.1875"
"150627","0.15625","0.15625","0.15625"
"160600","0.3125","0.3125","0.3125"
"160601","0","0","0"
"160602","0.1875","0.1875","0.1875"
"160609","0.09375","0.09375","0.09375"
"160618","0.1875","0.1875","0.1875"
"160621","0.25","0.25","0.25"
"170603","0.40625","0.40625","0.40625"
"170609","0.28125","0.21875","0.34375"
"170615","0.28125","0.28125","0.28125"
"170616","0.09375","0.09375","0.09375"
"170617","0.0625","0.0625","0.0625"
"180600","0.46875","0.46875","0.46875"
"180610","0.4375","0.4375","0.4375"
"180613","0.21875","0.21875","0.21875"
"180622","0.21875","0.21875","0.21875"
"180626","0.09375","0.09375","0.09375"
"190603","0.53125","0.53125","0.53125"
"190604","0.0625","0.0625","0.0625"
"190609","0.125","0.125","0.125"
"190615","0.1875","0.1875","0.1875"
"190618","0.0625","0.0625","0.0625"
"190621","0.4375","0.4375","0.4375"
"200601","0.3125","0.3125","0.3125"
"200602","0.59375","0.59375","0.59375"
"200603","0.28125","0.28125","0.28125"
"200606","0.21875","0.21875","0.21875"
"200618","0.40625","0.40625","0.40625"
"200621","0.40625","0.40625","0.40625"
"210603","0.21875","0.21875","0.21875"
"210607","0.25","0.03125","0.46875"
"210614","0.15625","0.15625","0.15625"
"210618","0.21875","0.21875","0.21875"
"210666","0.375","0.375","0.375"
"220602","0.375","0.375","0.375"
"220603","0.5","0.5","0.5"
"220607","0.375","0.375","0.375"
"220609","0.125","0.125","0.125"
"220616","0.59375","0.59375","0.59375"
"220629","0","0","0"
"230600","0.4375","0.4375","0.4375"
"230608","0.46875","0.46875","0.46875"
"230610","0.1875","0.0625","0.3125"
"230611","0.25","0.25","0.25"
"230612","0","0","0"
"240604","0.3125","0.3125","0.3125"
"240606","0.625","0.625","0.625"
"240608","0.3125","0.3125","0.3125"
"240610","0.0625","0.0625","0.0625"
"240612","0.3125","0.3125","0.3125"
"240621","0.46875","0.46875","0.46875"
"250602","0.390625","0.3125","0.46875"
"250603","0.5","0.5","0.5"
"250604","0.40625","0.40625","0.40625"
"250611","0.5","0.5","0.5"
"250620","0.5","0.5","0.5"
"260607","0.4375","0.4375","0.4375"
"260608","0.5","0.5","0.5"
"260609","0.59375","0.59375","0.59375"
"260613","0.375","0.375","0.375"
"260620","0.4375","0.4375","0.4375"
"260626","0.40625","0.40625","0.40625"
"270609","0.5","0.5","0.5"
"270617","0.375","0.375","0.375"
"270618","0.53125","0.53125","0.53125"
"270620","0.4375","0.4375","0.4375"
"270621","0.59375","0.59375","0.59375"
"270623","0.5","0.5","0.5"
"280604","0.625","0.625","0.625"
"280607","0.53125","0.53125","0.53125"
"280611","0.375","0.375","0.375"
"280620","0.515625","0.375","0.65625"
"280624","0.4375","0.4375","0.4375"
"290600","0.34375","0.34375","0.34375"
"290602","0.375","0.375","0.375"
"290605","0.65625","0.65625","0.65625"
"290610","0.4375","0.4375","0.4375"
"290618","0.59375","0.59375","0.59375"
"290624","0.3125","0.3125","0.3125"
"300604","0.59375","0.59375","0.59375"
"300605","0.46875","0.46875","0.46875"
"300610","0.8125","0.8125","0.8125"
"300615","0.53125","0.53125","0.53125"
"300616","0.5625","0.5625","0.5625"
"300619","0.40625","0.40625","0.40625"
"310601","0.625","0.625","0.625"
"310602","0.46875","0.46875","0.46875"
"310605","0.65625","0.65625","0.65625"
"310611","0.5","0.5","0.5"
"310615","0.625","0.625","0.625"
"310616","0.40625","0.40625","0.40625"
"320604","0.59375","0.59375","0.59375"
"320609","0.1875","0.1875","0.1875"
"320612","0.5625","0.5625","0.5625"
"320616","0.5625","0.5625","0.5625"
"320617","0.6875","0.6875","0.6875"
"330608","0.78125","0.78125","0.78125"
"330609","0.53125","0.53125","0.53125"
"330612","0.625","0.625","0.625"
"330617","0.6875","0.6875","0.6875"
"330618","0.53125","0.53125","0.53125"
"340601","0.78125","0.78125","0.78125"
"340604","0.4375","0.4375","0.4375"
"340607","0.34375","0.34375","0.34375"
"340609","0.5","0.5","0.5"
"340620","0.5","0.5","0.5"
"350601","0.71875","0.71875","0.71875"
"350609","0.40625","0.40625","0.40625"
"350615","0.5625","0.5625","0.5625"
"350616","0.625","0.625","0.625"
"350625","0.59375","0.59375","0.59375"
"360602","0.46875","0.46875","0.46875"
"360607","0.78125","0.78125","0.78125"
"360614","0.5625","0.5625","0.5625"
"360617","0.625","0.625","0.625"
"360627","0.5","0.5","0.5"
"370605","0.53125","0.53125","0.53125"
"370612","0.625","0.625","0.625"
"370621","0.578125","0.46875","0.6875"
"370626","0.6875","0.6875","0.6875"
"380601","0.5625","0.5625","0.5625"
"380611","0.65625","0.65625","0.65625"
"380612","0.65625","0.65625","0.65625"
"380616","0.53125","0.53125","0.53125"
"380621","0.5625","0.5625","0.5625"
"390604","0.53125","0.53125","0.53125"
"390608","0.5","0.5","0.5"
"390613","0.53125","0.53125","0.53125"
"390615","0.4375","0.4375","0.4375"
"390621","0.75","0.75","0.75"
"400604","0.78125","0.78125","0.78125"
"400613","0.578125","0.5625","0.59375"
"400618","0.53125","0.53125","0.53125"
"400622","0.5625","0.5625","0.5625"
"410600","0.5625","0.5625","0.5625"
"410604","0.46875","0.46875","0.46875"
"410609","0.65625","0.65625","0.65625"
"410610","0.53125","0.53125","0.53125"
"410621","0.65625","0.65625","0.65625"
"420600","0.4375","0.4375","0.4375"
"420606","0.65625","0.65625","0.65625"
"420610","0.625","0.625","0.625"
"420621","0.5","0.5","0.5"
"420622","0.59375","0.59375","0.59375"
"430605","0.46875","0.46875","0.46875"
"430608","0.59375","0.59375","0.59375"
"430612","0.625","0.625","0.625"
"430616","0.46875","0.46875","0.46875"
"430620","0.40625","0.40625","0.40625"
"440606","0.71875","0.71875","0.71875"
"440610","0.53125","0.53125","0.53125"
"440616","0.5625","0.5625","0.5625"
"440617","0.40625","0.40625","0.40625"
"440624","0.6875","0.6875","0.6875"
"450600","0.53125","0.53125","0.53125"
"450602","0.625","0.625","0.625"
"450606","0.71875","0.71875","0.71875"
"450608","0.84375","0.84375","0.84375"
"450617","0.625","0.625","0.625"
"460612","0.6458333333333334","0.59375","0.6875"
"460616","0.6875","0.6875","0.6875"
"460626","0.53125","0.53125","0.53125"
"470608","0.625","0.625","0.625"
"470616","0.65625","0.65625","0.65625"
"470617","0.4375","0.4375","0.4375"
"470619","0.6875","0.6875","0.6875"
"470622","0.53125","0.53125","0.53125"
"480607","0.53125","0.4375","0.625"
"480610","0.75","0.75","0.75"
"480617","0.6875","0.6875","0.6875"
"480619","0.6875","0.6875","0.6875"
"490603","0.59375","0.59375","0.59375"
"490605","0.75","0.75","0.75"
"490612","0.59375","0.59375","0.59375"
"490618","0.6875","0.6875","0.6875"
"490633","0.59375","0.59375","0.59375"
"500600","0.46875","0.46875","0.46875"
"500613","0.671875","0.65625","0.6875"
"500614","0.5625","0.5625","0.5625"
"500625","0.625","0.625","0.625"
"510601","0.4375","0.4375","0.4375"
"510603","0.5625","0.5625","0.5625"
"510608","0.625","0.625","0.625"
"510611","0.6875","0.6875","0.6875"
"510626","0.625","0.625","0.625"
"520606","0.78125","0.78125","0.78125"
"520608","0.625","0.625","0.625"
"520614","0.53125","0.53125","0.53125"
"520622","0.53125","0.46875","0.59375"
"530604","0.34375","0.34375","0.34375"
"530608","0.46875","0.46875","0.46875"
"530621","0.625","0.625","0.625"
"530622","0.78125","0.78125","0.78125"
"530627","0.5625","0.5625","0.5625"
"540609","0.625","0.5625","0.6875"
"540610","0.53125","0.53125","0.53125"
"540612","0.5625","0.5625","0.5625"
"540620","0.46875","0.46875","0.46875"
"550603","0.5","0.5","0.5"
"550605","0.59375","0.59375","0.59375"
"550606","0.5625","0.5625","0.5625"
"550611","0.71875","0.71875","0.71875"
"550613","0.75","0.75","0.75"
"560605","0.34375","0.34375","0.34375"
