"Step","Group: 5m_vs_6m_ACORM - win_rate","Group: 5m_vs_6m_ACORM - win_rate__MIN","Group: 5m_vs_6m_ACORM - win_rate__MAX"
"0","0","0","0"
"10601","0","0","0"
"10607","0","0","0"
"10609","0","0","0"
"10614","0","0","0"
"20603","0","0","0"
"20604","0","0","0"
"20606","0","0","0"
"20608","0","0","0"
"20612","0.03125","0.03125","0.03125"
"30600","0","0","0"
"30602","0","0","0"
"30605","0","0","0"
"30612","0","0","0"
"30613","0","0","0"
"30619","0","0","0"
"40604","0","0","0"
"40608","0","0","0"
"40610","0","0","0"
"40615","0","0","0"
"50600","0.015625","0","0.03125"
"50608","0","0","0"
"50609","0","0","0"
"50623","0","0","0"
"60605","0","0","0"
"60606","0","0","0"
"60607","0","0","0"
"60610","0","0","0"
"60611","0","0","0"
"60616","0","0","0"
"70603","0","0","0"
"70614","0","0","0"
"70615","0","0","0"
"70616","0","0","0"
"70619","0","0","0"
"80605","0","0","0"
"80613","0","0","0"
"80614","0","0","0"
"80621","0","0","0"
"80625","0.03125","0.03125","0.03125"
"80650","0","0","0"
"90604","0","0","0"
"90610","0.015625","0","0.03125"
"90612","0","0","0"
"90613","0.03125","0.03125","0.03125"
"90621","0","0","0"
"100603","0","0","0"
"100604","0.03125","0.03125","0.03125"
"100609","0","0","0"
"100616","0","0","0"
"100619","0","0","0"
"100658","0","0","0"
"110608","0","0","0"
"110614","0.03125","0.03125","0.03125"
"110616","0.0625","0.0625","0.0625"
"110618","0","0","0"
"110622","0","0","0"
"120603","0","0","0"
"120604","0.03125","0.03125","0.03125"
"120605","0","0","0"
"120610","0","0","0"
"120617","0.03125","0.03125","0.03125"
"120619","0.03125","0.03125","0.03125"
"130604","0","0","0"
"130606","0.03125","0.03125","0.03125"
"130609","0","0","0"
"130614","0.03125","0.03125","0.03125"
"130619","0","0","0"
"130649","0.0625","0.0625","0.0625"
"140603","0.0625","0.0625","0.0625"
"140614","0.03125","0.03125","0.03125"
"140617","0.0625","0.0625","0.0625"
"140620","0.109375","0.09375","0.125"
"140668","0","0","0"
"150606","0","0","0"
"150608","0.09375","0.09375","0.09375"
"150609","0.09375","0.09375","0.09375"
"150620","0.03125","0.03125","0.03125"
"150625","0","0","0"
"150642","0.03125","0.03125","0.03125"
"160601","0.0625","0.0625","0.0625"
"160602","0.25","0.25","0.25"
"160616","0","0","0"
"160618","0.0625","0.0625","0.0625"
"160619","0.09375","0.09375","0.09375"
"160631","0.1875","0.1875","0.1875"
"170601","0","0","0"
"170602","0.03125","0.03125","0.03125"
"170610","0.03125","0.03125","0.03125"
"170613","0.21875","0.21875","0.21875"
"170620","0.140625","0","0.28125"
"180601","0","0","0"
"180609","0.25","0.25","0.25"
"180610","0.28125","0.28125","0.28125"
"180613","0","0","0"
"180619","0.078125","0.03125","0.125"
"190607","0.25","0.25","0.25"
"190609","0.078125","0","0.15625"
"190610","0","0","0"
"190618","0.0625","0.0625","0.0625"
"200607","0.109375","0","0.21875"
"200613","0.25","0.25","0.25"
"200619","0.0625","0.0625","0.0625"
"200621","0.34375","0.34375","0.34375"
"200627","0.03125","0.03125","0.03125"
"210608","0.28125","0.28125","0.28125"
"210614","0.16666666666666666","0","0.375"
"210625","0.09375","0.09375","0.09375"
"210654","0.03125","0.03125","0.03125"
"220605","0.09375","0.09375","0.09375"
"220606","0.25","0.25","0.25"
"220613","0.03125","0.03125","0.03125"
"220615","0.1875","0.1875","0.1875"
"220620","0.34375","0.1875","0.5"
"230601","0.28125","0.28125","0.28125"
"230605","0.25","0.25","0.25"
"230612","0.3125","0.3125","0.3125"
"230613","0","0","0"
"230614","0.28125","0.28125","0.28125"
"230624","0.28125","0.28125","0.28125"
"240603","0","0","0"
"240606","0.125","0.125","0.125"
"240610","0.03125","0.03125","0.03125"
"240617","0.09375","0.09375","0.09375"
"240618","0.4375","0.4375","0.4375"
"240623","0.40625","0.40625","0.40625"
"250608","0","0","0"
"250610","0.0625","0.0625","0.0625"
"250611","0.3125","0.3125","0.3125"
"250612","0.28125","0.28125","0.28125"
"250619","0.03125","0.03125","0.03125"
"250623","0.3125","0.3125","0.3125"
"260601","0.296875","0.25","0.34375"
"260607","0.09375","0.09375","0.09375"
"260608","0.34375","0.34375","0.34375"
"260619","0.4375","0.4375","0.4375"
"260621","0.03125","0.03125","0.03125"
"270606","0.1875","0.1875","0.1875"
"270609","0.625","0.625","0.625"
"270611","0.375","0.375","0.375"
"270614","0","0","0"
"270617","0.21875","0.21875","0.21875"
"270619","0.375","0.375","0.375"
"280600","0.0625","0.0625","0.0625"
"280602","0.09375","0.09375","0.09375"
"280606","0.40625","0.40625","0.40625"
"280607","0.40625","0.40625","0.40625"
"280609","0.3125","0.3125","0.3125"
"280621","0.46875","0.46875","0.46875"
"290604","0.25","0.25","0.25"
"290613","0.65625","0.65625","0.65625"
"290615","0.0625","0.0625","0.0625"
"290620","0.375","0.375","0.375"
"290622","0.40625","0.40625","0.40625"
"290629","0.5625","0.5625","0.5625"
"300603","0.40625","0.40625","0.40625"
"300605","0.4375","0.375","0.5"
"300612","0.609375","0.53125","0.6875"
"300618","0.4375","0.4375","0.4375"
"310600","0.59375","0.59375","0.59375"
"310602","0.34375","0.34375","0.34375"
"310603","0.25","0.25","0.25"
"310608","0.40625","0.40625","0.40625"
"310614","0.59375","0.59375","0.59375"
"310618","0.4375","0.4375","0.4375"
"320602","0.4375","0.4375","0.4375"
"320604","0.5625","0.5625","0.5625"
"320607","0.4375","0.4375","0.4375"
"320612","0.4375","0.4375","0.4375"
"320616","0.375","0.375","0.375"
"320618","0.0625","0.0625","0.0625"
"330605","0.59375","0.59375","0.59375"
"330606","0.15625","0.15625","0.15625"
"330607","0.265625","0.03125","0.5"
"330609","0.4375","0.4375","0.4375"
"330614","0.53125","0.53125","0.53125"
"340605","0.625","0.625","0.625"
"340607","0.125","0.125","0.125"
"340609","0.53125","0.53125","0.53125"
"340611","0.5","0.5","0.5"
"340612","0.359375","0.34375","0.375"
"350600","0.25","0.25","0.25"
"350601","0.03125","0.03125","0.03125"
"350602","0.59375","0.59375","0.59375"
"350604","0.5625","0.5625","0.5625"
"350612","0.46875","0.46875","0.46875"
"350613","0.4375","0.4375","0.4375"
"360602","0.625","0.625","0.625"
"360609","0.03125","0.03125","0.03125"
"360611","0.53125","0.53125","0.53125"
"360615","0.71875","0.71875","0.71875"
"360619","0.46875","0.46875","0.46875"
"360632","0.4375","0.4375","0.4375"
"370604","0.421875","0.21875","0.625"
"370605","0.46875","0.46875","0.46875"
"370618","0.6875","0.6875","0.6875"
"370619","0.5","0.5","0.5"
"370623","0.71875","0.71875","0.71875"
"380600","0.71875","0.71875","0.71875"
"380601","0.75","0.75","0.75"
"380604","0.46875","0.46875","0.46875"
"380611","0.15625","0.15625","0.15625"
"380612","0.40625","0.40625","0.40625"
"380626","0.59375","0.59375","0.59375"
"390600","0.4375","0.4375","0.4375"
"390601","0.5625","0.5625","0.5625"
"390603","0","0","0"
"390608","0.1875","0.1875","0.1875"
"390613","0.75","0.75","0.75"
"390621","0.65625","0.65625","0.65625"
"400603","0.40625","0.40625","0.40625"
"400605","0.4270833333333333","0.375","0.5"
"400611","0.375","0.375","0.375"
"400623","0.625","0.625","0.625"
"410604","0.53125","0.53125","0.53125"
"410606","0.5","0.5","0.5"
"410609","0.5625","0.5625","0.5625"
"410613","0.75","0.75","0.75"
"410620","0.5625","0.5625","0.5625"
"410627","0.09375","0.09375","0.09375"
"420602","0.5","0.5","0.5"
"420607","0.46875","0.46875","0.46875"
"420609","0.625","0.625","0.625"
"420613","0.6875","0.6875","0.6875"
"420614","0.625","0.625","0.625"
"420644","0.1875","0.1875","0.1875"
"430603","0.5625","0.5625","0.5625"
"430610","0.71875","0.71875","0.71875"
"430613","0.5","0.5","0.5"
"430620","0.65625","0.65625","0.65625"
"430621","0.625","0.625","0.625"
"430646","0.5","0.5","0.5"
"440604","0.53125","0.53125","0.53125"
"440609","0.625","0.625","0.625"
"440613","0.578125","0.5","0.65625"
"440620","0.71875","0.71875","0.71875"
"440664","0.46875","0.46875","0.46875"
"450602","0.5625","0.5625","0.5625"
"450603","0.59375","0.59375","0.59375"
"450612","0.65625","0.65625","0.65625"
"450620","0.390625","0.375","0.40625"
"450624","0.75","0.75","0.75"
"460602","0.6875","0.6875","0.6875"
"460604","0.5625","0.5625","0.5625"
"460607","0.53125","0.53125","0.53125"
"460620","0.625","0.625","0.625"
"460621","0.625","0.625","0.625"
"460636","0.375","0.375","0.375"
"470601","0.46875","0.46875","0.46875"
"470602","0.71875","0.71875","0.71875"
"470607","0.53125","0.53125","0.53125"
"470611","0.71875","0.71875","0.71875"
"470621","0.59375","0.59375","0.59375"
"470645","0.4375","0.4375","0.4375"
"480600","0.71875","0.71875","0.71875"
"480603","0.71875","0.71875","0.71875"
"480605","0.6875","0.6875","0.6875"
"480617","0.53125","0.53125","0.53125"
"480622","0.46875","0.46875","0.46875"
"480631","0.6875","0.6875","0.6875"
"490601","0.6875","0.6875","0.6875"
"490612","0.40625","0.40625","0.40625"
"490613","0.28125","0.28125","0.28125"
