"Step","Group: 6h_vs_8z_ACORM_WM - win_rate","Group: 6h_vs_8z_ACORM_WM - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM - win_rate__MAX","Group: 6h_vs_8z_ACORM_WM_ - win_rate","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MAX"
"0","0","0","0","0","0","0"
"10220","0","0","0","","",""
"10224","0","0","0","","",""
"10225","0","0","0","","",""
"10243","","","","0","0","0"
"20227","0","0","0","","",""
"20232","0","0","0","","",""
"20233","0","0","0","","",""
"20238","","","","0","0","0"
"20239","0","0","0","","",""
"30225","","","","0","0","0"
"30226","0","0","0","","",""
"30227","0","0","0","","",""
"30229","0","0","0","","",""
"30231","0","0","0","","",""
"40223","0","0","0","","",""
"40227","0","0","0","","",""
"40233","0","0","0","","",""
"40241","","","","0","0","0"
"50222","0","0","0","","",""
"50231","0","0","0","","",""
"50232","0","0","0","","",""
"50233","0","0","0","","",""
"50234","","","","0","0","0"
"60222","0","0","0","","",""
"60226","0","0","0","0","0","0"
"60227","0","0","0","","",""
"60233","0","0","0","","",""
"70220","0","0","0","","",""
"70221","0","0","0","","",""
"70234","0","0","0","","",""
"70237","","","","0","0","0"
"70241","0","0","0","","",""
"80229","0","0","0","","",""
"80230","0","0","0","","",""
"80238","0","0","0","0","0","0"
"80242","0","0","0","","",""
"90233","0","0","0","","",""
"90235","","","","0","0","0"
"90240","0","0","0","","",""
"90241","0","0","0","","",""
"100222","0","0","0","","",""
"100223","","","","0","0","0"
"100230","0","0","0","","",""
"100239","0","0","0","","",""
"100245","0","0","0","","",""
"110224","0","0","0","","",""
"110225","0","0","0","","",""
"110233","0","0","0","","",""
"110237","","","","0","0","0"
"110244","0","0","0","","",""
"120222","0","0","0","","",""
"120231","0","0","0","","",""
"120239","0","0","0","0","0","0"
"130226","","","","0","0","0"
"130230","0","0","0","","",""
"130236","0","0","0","","",""
"130238","0","0","0","","",""
"130241","0","0","0","","",""
"140225","0","0","0","","",""
"140231","0","0","0","","",""
"140232","0","0","0","","",""
"140235","0","0","0","","",""
"140243","","","","0","0","0"
"150230","","","","0","0","0"
"150237","0","0","0","","",""
"150239","0","0","0","","",""
"150241","0","0","0","","",""
"150248","0","0","0","","",""
"160224","0","0","0","","",""
"160226","0","0","0","","",""
"160241","","","","0","0","0"
"160242","0","0","0","","",""
"160246","0","0","0","","",""
"170228","0","0","0","","",""
"170233","","","","0","0","0"
"170238","0","0","0","","",""
"170239","0","0","0","","",""
"170246","0","0","0","","",""
"180224","0","0","0","","",""
"180227","0","0","0","","",""
"180233","0","0","0","","",""
"180235","","","","0","0","0"
"180251","0","0","0","","",""
"190224","0","0","0","0","0","0"
"190243","0","0","0","","",""
"190245","0","0","0","","",""
"190271","0","0","0","","",""
"200226","0","0","0","","",""
"200227","","","","0","0","0"
"200238","0","0","0","","",""
"200240","0","0","0","","",""
"210220","0","0","0","0","0","0"
"210226","0","0","0","","",""
"210234","0","0","0","","",""
"210249","0","0","0","","",""
"220224","0","0","0","","",""
"220226","0","0","0","","",""
"220230","0","0","0","","",""
"220231","","","","0","0","0"
"230223","0","0","0","","",""
"230224","0","0","0","0","0","0"
"230239","0","0","0","","",""
"230249","0","0","0","","",""
"240223","0","0","0","","",""
"240232","","","","0","0","0"
"240233","0","0","0","","",""
"240234","0","0","0","","",""
"240240","0","0","0","","",""
"250224","0","0","0","","",""
"250226","0","0","0","","",""
"250227","0","0","0","","",""
"250228","","","","0","0","0"
"250242","0","0","0","","",""
"260233","0","0","0","","",""
"260235","0","0","0","","",""
"260241","0","0","0","","",""
"260243","","","","0","0","0"
"260244","0","0","0","","",""
"270220","0","0","0","","",""
"270222","0","0","0","","",""
"270233","","","","0","0","0"
"270238","0","0","0","","",""
"270243","0","0","0","","",""
"280220","0","0","0","","",""
"280226","0","0","0","","",""
"280229","0","0","0","","",""
"280230","0","0","0","","",""
"280234","","","","0","0","0"
"290226","0","0","0","","",""
"290232","0","0","0","","",""
"290233","0","0","0","0","0","0"
"290245","0","0","0","","",""
"300225","","","","0","0","0"
"300229","0","0","0","","",""
"300239","0","0","0","","",""
"300240","0","0","0","","",""
"300255","0","0","0","","",""
"310220","0","0","0","0","0","0"
"310232","0","0","0","","",""
"310242","0","0","0","","",""
"310244","0","0","0","","",""
"320236","0","0","0","","",""
"320237","0","0","0","","",""
"320239","","","","0","0","0"
"320240","0","0","0","","",""
"330221","0","0","0","","",""
"330223","0","0","0","","",""
"330239","0","0","0","","",""
"330240","","","","0","0","0"
"330250","0","0","0","","",""
"340221","","","","0","0","0"
"340225","0","0","0","","",""
"340237","0","0","0","","",""
"340250","0","0","0","","",""
"350222","0","0","0","","",""
"350226","0","0","0","","",""
"350233","0","0","0","","",""
"350246","0","0","0","","",""
"350251","","","","0","0","0"
"360224","0","0","0","","",""
"360226","0","0","0","","",""
"360230","0","0","0","","",""
"360234","","","","0","0","0"
"370225","0","0","0","","",""
"370232","0","0","0","","",""
"370238","0","0","0","","",""
"370242","","","","0","0","0"
"370246","0","0","0","","",""
"380222","0","0","0","","",""
"380229","","","","0","0","0"
"380239","0","0","0","","",""
"380246","0","0","0","","",""
"380258","0","0","0","","",""
"390223","0","0","0","","",""
"390224","0","0","0","","",""
"390231","0","0","0","0","0","0"
"390246","0","0","0","","",""
"400239","0","0","0","","",""
"400244","0","0","0","0","0","0"
"410221","0","0","0","","",""
"410224","0","0","0","","",""
"410236","0","0","0","","",""
"410238","","","","0","0","0"
"410243","0","0","0","","",""
"420225","0","0","0","","",""
"420240","0","0","0","","",""
"420241","","","","0","0","0"
"420245","0","0","0","","",""
"420257","0","0","0","","",""
"430220","0","0","0","","",""
"430222","0","0","0","","",""
"430223","","","","0","0","0"
"430235","0","0","0","","",""
"440222","0","0","0","","",""
"440236","0","0","0","","",""
"440239","0","0","0","","",""
"440247","0","0","0","","",""
"440249","","","","0","0","0"
"450230","","","","0","0","0"
"450231","0","0","0","","",""
"450237","0","0","0","","",""
"450239","0","0","0","","",""
"450248","0","0","0","","",""
"460232","0","0","0","","",""
"460235","0","0","0","","",""
"460243","0","0","0","0","0","0"
"460248","0","0","0","","",""
"470225","0","0","0","","",""
"470228","0","0","0","","",""
"470234","","","","0","0","0"
"470244","0","0","0","","",""
"480222","0","0","0","","",""
"480228","0","0","0","","",""
"480236","","","","0","0","0"
"480242","0","0","0","","",""
"480254","0","0","0","","",""
"490228","0","0","0","","",""
"490233","0","0","0","","",""
"490234","0","0","0","","",""
"490239","","","","0","0","0"
"490241","0","0","0","","",""
"500224","0","0","0","","",""
"500234","","","","0","0","0"
"500243","0","0","0","","",""
"500245","0","0","0","","",""
"510223","","","","0","0","0"
"510224","0","0","0","","",""
"510241","0","0","0","","",""
"510245","0","0","0","","",""
"510250","0","0","0","","",""
"520224","","","","0","0","0"
"520232","0","0","0","","",""
"520234","0.03125","0.03125","0.03125","","",""
"520236","0","0","0","","",""
"520257","0","0","0","","",""
"530225","0.03125","0.03125","0.03125","","",""
"530233","","","","0","0","0"
"530234","0","0","0","","",""
"530240","0","0","0","","",""
"530251","0","0","0","","",""
"540223","0","0","0","","",""
"540225","","","","0","0","0"
"540228","0","0","0","","",""
"540235","0","0","0","","",""
"540241","0","0","0","","",""
"550224","0","0","0","","",""
"550226","0","0","0","","",""
"550237","0","0","0","","",""
"550244","","","","0","0","0"
