"Step","seed0_date2024-12-09_02-36-28 - win_rate","seed0_date2024-12-09_02-36-28 - win_rate__MIN","seed0_date2024-12-09_02-36-28 - win_rate__MAX","seed3_date2024-12-09_02-37-26 - win_rate","seed3_date2024-12-09_02-37-26 - win_rate__MIN","seed3_date2024-12-09_02-37-26 - win_rate__MAX","seed4_date2024-12-09_02-37-42 - win_rate","seed4_date2024-12-09_02-37-42 - win_rate__MIN","seed4_date2024-12-09_02-37-42 - win_rate__MAX","seed1_date2024-12-09_02-36-50 - win_rate","seed1_date2024-12-09_02-36-50 - win_rate__MIN","seed1_date2024-12-09_02-36-50 - win_rate__MAX","seed2_date2024-12-09_02-37-07 - win_rate","seed2_date2024-12-09_02-37-07 - win_rate__MIN","seed2_date2024-12-09_02-37-07 - win_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10222","","","","","","","","","","","","","0","0","0"
"10227","","","","","","","0","0","0","","","","","",""
"10239","","","","","","","","","","0","0","0","","",""
"10240","0","0","0","","","","","","","","","","","",""
"10241","","","","0","0","0","","","","","","","","",""
"20225","0","0","0","","","","","","","","","","","",""
"20229","","","","","","","0","0","0","","","","","",""
"20230","","","","","","","","","","","","","0","0","0"
"20231","","","","0","0","0","","","","","","","","",""
"20234","","","","","","","","","","0","0","0","","",""
"30220","0","0","0","","","","","","","","","","","",""
"30225","","","","","","","0","0","0","","","","0","0","0"
"30227","","","","","","","","","","0","0","0","","",""
"30228","","","","0","0","0","","","","","","","","",""
"40222","","","","","","","","","","0","0","0","","",""
"40223","0","0","0","","","","","","","","","","","",""
"40226","","","","0","0","0","","","","","","","","",""
"40229","","","","","","","","","","","","","0","0","0"
"40233","","","","","","","0","0","0","","","","","",""
"50222","0","0","0","","","","","","","","","","","",""
"50224","","","","","","","","","","","","","0","0","0"
"50233","","","","0","0","0","","","","0","0","0","","",""
"50239","","","","","","","0","0","0","","","","","",""
"60225","","","","","","","","","","","","","0","0","0"
"60232","","","","","","","","","","0","0","0","","",""
"60235","","","","","","","0","0","0","","","","","",""
"60237","","","","0","0","0","","","","","","","","",""
"60241","0","0","0","","","","","","","","","","","",""
"70222","","","","","","","","","","","","","0","0","0"
"70223","","","","","","","","","","0","0","0","","",""
"70226","","","","","","","0","0","0","","","","","",""
"70228","","","","0","0","0","","","","","","","","",""
"70232","0","0","0","","","","","","","","","","","",""
"80227","","","","0","0","0","","","","","","","","",""
"80228","","","","","","","","","","","","","0","0","0"
"80239","","","","","","","0","0","0","","","","","",""
"80241","","","","","","","","","","0","0","0","","",""
"80244","0","0","0","","","","","","","","","","","",""
"90220","","","","","","","","","","","","","0","0","0"
"90221","","","","","","","","","","0","0","0","","",""
"90226","0","0","0","","","","","","","","","","","",""
"90231","","","","0","0","0","0","0","0","","","","","",""
"100230","","","","","","","0","0","0","","","","","",""
"100233","","","","","","","","","","0","0","0","","",""
"100236","0","0","0","","","","","","","","","","","",""
"100237","","","","","","","","","","","","","0","0","0"
"100246","","","","0","0","0","","","","","","","","",""
"110224","","","","","","","","","","0","0","0","","",""
"110230","0","0","0","","","","","","","","","","","",""
"110239","","","","","","","0","0","0","","","","","",""
"110243","","","","","","","","","","","","","0","0","0"
"110245","","","","0","0","0","","","","","","","","",""
"120222","","","","0","0","0","","","","","","","","",""
"120225","0","0","0","","","","","","","","","","","",""
"120230","","","","","","","","","","","","","0","0","0"
"120232","","","","","","","","","","0","0","0","","",""
"120242","","","","","","","0","0","0","","","","","",""
"130220","","","","","","","0","0","0","","","","","",""
"130226","","","","","","","","","","","","","0","0","0"
"130235","","","","0","0","0","","","","","","","","",""
"130238","0","0","0","","","","","","","","","","","",""
"130335","","","","","","","","","","0","0","0","","",""
"140221","","","","","","","","","","","","","0","0","0"
"140239","","","","","","","0","0","0","","","","","",""
"140240","0","0","0","0","0","0","","","","","","","","",""
"140333","","","","","","","","","","0","0","0","","",""
"150224","","","","0","0","0","0","0","0","","","","","",""
"150230","0","0","0","","","","","","","","","","","",""
"150234","","","","","","","","","","","","","0","0","0"
"150326","","","","","","","","","","0","0","0","","",""
"160220","0","0","0","","","","","","","","","","","",""
"160229","","","","","","","0","0","0","","","","","",""
"160232","","","","","","","","","","0","0","0","","",""
"160233","","","","0","0","0","","","","","","","","",""
