"Step","Group: 6h_vs_8z_QMIX - win_rate","Group: 6h_vs_8z_QMIX - win_rate__MIN","Group: 6h_vs_8z_QMIX - win_rate__MAX"
"0","0","0","0"
"10005","0","0","0"
"10007","0","0","0"
"10017","0","0","0"
"10018","0","0","0"
"10019","0","0","0"
"10022","0","0","0"
"20006","0","0","0"
"20007","0","0","0"
"20012","0","0","0"
"20014","0","0","0"
"20017","0","0","0"
"20020","0","0","0"
"30003","0","0","0"
"30004","0","0","0"
"30005","0","0","0"
"30009","0","0","0"
"30014","0","0","0"
"40003","0","0","0"
"40005","0","0","0"
"40006","0","0","0"
"40012","0","0","0"
"40018","0","0","0"
"50006","0","0","0"
"50010","0","0","0"
"50011","0","0","0"
"50016","0","0","0"
"50021","0","0","0"
"60008","0","0","0"
"60010","0","0","0"
"60012","0","0","0"
"60016","0","0","0"
"60020","0","0","0"
"60023","0","0","0"
"70001","0","0","0"
"70002","0","0","0"
"70009","0","0","0"
"70018","0","0","0"
"70019","0","0","0"
"70020","0","0","0"
"80000","0","0","0"
"80006","0","0","0"
"80009","0","0","0"
"80010","0","0","0"
"80017","0","0","0"
"90000","0","0","0"
"90002","0","0","0"
"90004","0","0","0"
"90006","0","0","0"
"90013","0","0","0"
"100000","0","0","0"
"100002","0","0","0"
"100012","0","0","0"
"100014","0","0","0"
"100015","0","0","0"
"100018","0","0","0"
"110003","0","0","0"
"110008","0","0","0"
"110010","0","0","0"
"110012","0","0","0"
"110018","0","0","0"
"110019","0","0","0"
"120003","0","0","0"
"120006","0","0","0"
"120008","0","0","0"
"120018","0","0","0"
"120019","0","0","0"
"120020","0","0","0"
"130004","0","0","0"
"130006","0","0","0"
"130007","0","0","0"
"130009","0","0","0"
"130022","0","0","0"
"140003","0","0","0"
"140008","0","0","0"
"140009","0","0","0"
"140011","0","0","0"
"140017","0","0","0"
"140020","0","0","0"
"150000","0","0","0"
"150003","0","0","0"
"150006","0","0","0"
"150012","0","0","0"
"150014","0","0","0"
"160001","0","0","0"
"160004","0","0","0"
"160005","0","0","0"
"160006","0","0","0"
"170002","0","0","0"
"170011","0","0","0"
"170012","0","0","0"
"170017","0","0","0"
"170019","0","0","0"
"170022","0","0","0"
"180001","0","0","0"
"180012","0","0","0"
"180013","0","0","0"
"180015","0","0","0"
"180018","0","0","0"
"190005","0","0","0"
"190006","0","0","0"
"190012","0","0","0"
"190014","0","0","0"
"190015","0","0","0"
"190020","0","0","0"
"200000","0","0","0"
"200005","0","0","0"
"200010","0","0","0"
"200011","0","0","0"
"200020","0","0","0"
"200021","0","0","0"
"210005","0","0","0"
"210008","0","0","0"
"210011","0","0","0"
"210014","0","0","0"
"210020","0","0","0"
"220006","0","0","0"
"220008","0","0","0"
"220014","0","0","0"
"220015","0","0","0"
"220021","0","0","0"
"230001","0","0","0"
"230002","0","0","0"
"230006","0","0","0"
"230011","0","0","0"
"230016","0","0","0"
"240000","0","0","0"
"240006","0","0","0"
"240007","0","0","0"
"240009","0","0","0"
"240014","0","0","0"
"240015","0","0","0"
"250006","0","0","0"
"250011","0","0","0"
"250014","0","0","0"
"250016","0","0","0"
"250018","0","0","0"
"250023","0","0","0"
"260000","0","0","0"
"260007","0","0","0"
"260008","0","0","0"
"260011","0","0","0"
"260025","0","0","0"
"260027","0","0","0"
"270011","0","0","0"
"270012","0","0","0"
"270014","0","0","0"
"270018","0","0","0"
"270022","0","0","0"
"280013","0","0","0"
"280015","0","0","0"
"280018","0","0","0"
"280021","0","0","0"
"280025","0","0","0"
"290002","0","0","0"
"290007","0","0","0"
"290014","0","0","0"
"290018","0","0","0"
"290022","0","0","0"
"300005","0","0","0"
"300006","0","0","0"
"300019","0","0","0"
"300020","0","0","0"
"300021","0","0","0"
"310002","0","0","0"
"310003","0","0","0"
"310014","0","0","0"
"310016","0","0","0"
"320001","0","0","0"
"320006","0","0","0"
"320011","0","0","0"
"320013","0","0","0"
"320016","0","0","0"
"320018","0","0","0"
"330002","0","0","0"
"330004","0","0","0"
"330011","0","0","0"
"330018","0","0","0"
"330021","0","0","0"
"340001","0","0","0"
"340005","0","0","0"
"340007","0","0","0"
"340008","0","0","0"
"340014","0","0","0"
"350002","0","0","0"
"350005","0","0","0"
"350009","0","0","0"
"350012","0","0","0"
"350022","0","0","0"
"360003","0","0","0"
"360009","0","0","0"
"360012","0","0","0"
"360015","0","0","0"
"360019","0","0","0"
"360021","0","0","0"
"370002","0","0","0"
"370004","0","0","0"
"370005","0","0","0"
"370015","0","0","0"
"370019","0","0","0"
"380004","0","0","0"
"380006","0","0","0"
"380007","0","0","0"
"380019","0","0","0"
"380026","0","0","0"
"390001","0","0","0"
"390003","0","0","0"
"390004","0","0","0"
"390009","0","0","0"
"400001","0","0","0"
"400008","0","0","0"
"400009","0","0","0"
"400022","0","0","0"
"400023","0","0","0"
"410002","0","0","0"
"410010","0","0","0"
"410011","0","0","0"
"410014","0","0","0"
"410019","0","0","0"
"410022","0","0","0"
"420000","0","0","0"
"420002","0","0","0"
"420013","0","0","0"
"420016","0","0","0"
"420018","0","0","0"
"420020","0","0","0"
"430005","0","0","0"
"430014","0","0","0"
"430018","0","0","0"
"430020","0","0","0"
"440000","0","0","0"
"440002","0","0","0"
"440009","0","0","0"
"440018","0","0","0"
"440019","0","0","0"
"450004","0","0","0"
"450005","0","0","0"
"450008","0","0","0"
"450014","0","0","0"
"450021","0","0","0"
"460001","0","0","0"
"460013","0","0","0"
"460020","0","0","0"
"460021","0","0","0"
"460025","0","0","0"
"470001","0","0","0"
"470006","0","0","0"
"470019","0","0","0"
"470022","0","0","0"
"470023","0","0","0"
"480001","0","0","0"
"480003","0","0","0"
"480007","0","0","0"
"480012","0","0","0"
"480013","0","0","0"
"490000","0","0","0"
"490004","0","0","0"
"490011","0","0","0"
"490019","0","0","0"
"490021","0","0","0"
"500003","0","0","0"
"500013","0","0","0"
"500017","0","0","0"
"500019","0","0","0"
"500021","0","0","0"
"500023","0","0","0"
"510001","0","0","0"
"510004","0","0","0"
"510005","0","0","0"
"510007","0","0","0"
"510015","0","0","0"
"510022","0","0","0"
"520007","0","0","0"
"520010","0","0","0"
"520017","0","0","0"
"520021","0","0","0"
"520022","0","0","0"
"530002","0","0","0"
"530007","0","0","0"
"530012","0","0","0"
"530013","0","0","0"
"530016","0","0","0"
"530024","0","0","0"
"540000","0","0","0"
"540008","0","0","0"
"540011","0","0","0"
"540012","0","0","0"
"540020","0","0","0"
"540025","0","0","0"
"550007","0","0","0"
"550009","0","0","0"
"550015","0","0","0"
"550016","0","0","0"
"550017","0","0","0"
"560004","0","0","0"
"560018","0","0","0"
"560019","0","0","0"
"560020","0","0","0"
"560021","0","0","0"
"570000","0","0","0"
"570012","0","0","0"
"570014","0","0","0"
"570015","0","0","0"
"570018","0","0","0"
"570020","0","0","0"
"580000","0","0","0"
"580004","0","0","0"
"580005","0","0","0"
"580011","0","0","0"
