"Step","seed0_date2024-12-14_11-54-03 - win_rate","seed0_date2024-12-14_11-54-03 - win_rate__MIN","seed0_date2024-12-14_11-54-03 - win_rate__MAX","seed2_date2024-12-14_11-54-48 - win_rate","seed2_date2024-12-14_11-54-48 - win_rate__MIN","seed2_date2024-12-14_11-54-48 - win_rate__MAX","seed4_date2024-12-14_22-39-52 - win_rate","seed4_date2024-12-14_22-39-52 - win_rate__MIN","seed4_date2024-12-14_22-39-52 - win_rate__MAX","seed1_date2024-12-13_02-24-37 - win_rate","seed1_date2024-12-13_02-24-37 - win_rate__MIN","seed1_date2024-12-13_02-24-37 - win_rate__MAX","seed3_date2024-12-14_22-27-12 - win_rate","seed3_date2024-12-14_22-27-12 - win_rate__MIN","seed3_date2024-12-14_22-27-12 - win_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10229","","","","","","","0","0","0","","","","","",""
"10232","0","0","0","","","","","","","","","","","",""
"10239","","","","","","","","","","0","0","0","","",""
"10245","","","","0","0","0","","","","","","","","",""
"10253","","","","","","","","","","","","","0","0","0"
"20227","","","","","","","","","","0","0","0","","",""
"20229","0","0","0","","","","","","","","","","","",""
"20231","","","","","","","0","0","0","","","","","",""
"20241","","","","","","","","","","","","","0","0","0"
"20249","","","","0","0","0","","","","","","","","",""
"30226","","","","","","","","","","","","","0","0","0"
"30228","0","0","0","","","","","","","","","","","",""
"30234","","","","","","","0","0","0","","","","","",""
"30236","","","","0","0","0","","","","","","","","",""
"30239","","","","","","","","","","0","0","0","","",""
"40240","","","","","","","","","","0","0","0","","",""
"40242","","","","","","","0","0","0","","","","","",""
"40248","","","","0","0","0","","","","","","","","",""
"40254","0","0","0","","","","","","","","","","","",""
"40255","","","","","","","","","","","","","0","0","0"
"50225","","","","","","","","","","0","0","0","","",""
"50232","","","","","","","0","0","0","","","","","",""
"50235","","","","0","0","0","","","","","","","","",""
"50241","","","","","","","","","","","","","0","0","0"
"50311","0","0","0","","","","","","","","","","","",""
"60221","0","0","0","","","","","","","","","","","",""
"60226","","","","0","0","0","","","","","","","","",""
"60228","","","","","","","","","","0","0","0","","",""
"60380","","","","","","","","","","","","","0","0","0"
"60460","","","","","","","0","0","0","","","","","",""
"70237","","","","","","","0","0","0","","","","","",""
"70240","","","","","","","","","","","","","0","0","0"
"70244","0","0","0","","","","","","","","","","","",""
"70319","","","","0","0","0","","","","","","","","",""
"70422","","","","","","","","","","0","0","0","","",""
"80227","0","0","0","0","0","0","","","","","","","","",""
"80247","","","","","","","0","0","0","","","","","",""
"80288","","","","","","","","","","","","","0","0","0"
"80341","","","","","","","","","","0","0","0","","",""
"90222","","","","","","","","","","","","","0","0","0"
"90234","0","0","0","","","","","","","","","","","",""
"90239","","","","","","","0","0","0","","","","","",""
"90241","","","","0","0","0","","","","","","","","",""
"90371","","","","","","","","","","0","0","0","","",""
"100227","","","","","","","","","","","","","0","0","0"
"100252","","","","","","","","","","0","0","0","","",""
"100320","","","","0","0","0","","","","","","","","",""
"100352","0","0","0","","","","","","","","","","","",""
"100535","","","","","","","0","0","0","","","","","",""
"110256","","","","","","","","","","","","","0","0","0"
"110414","0","0","0","","","","","","","","","","","",""
"110468","","","","","","","","","","0","0","0","","",""
"110508","","","","","","","0","0","0","","","","","",""
"110561","","","","0","0","0","","","","","","","","",""
"120246","0","0","0","","","","","","","","","","0","0","0"
"120317","","","","","","","0","0","0","","","","","",""
"120323","","","","0","0","0","","","","","","","","",""
"120512","","","","","","","","","","0","0","0","","",""
"130230","","","","0","0","0","","","","","","","","",""
"130236","","","","","","","","","","0","0","0","","",""
"130242","","","","","","","","","","","","","0","0","0"
"130474","","","","","","","0","0","0","","","","","",""
"130589","0","0","0","","","","","","","","","","","",""
"140238","","","","","","","","","","","","","0","0","0"
"140254","","","","0","0","0","","","","","","","","",""
"140305","","","","","","","0","0","0","","","","","",""
"140532","0","0","0","","","","","","","","","","","",""
"140603","","","","","","","","","","0","0","0","","",""
"150220","","","","","","","0","0","0","","","","","",""
"150224","","","","","","","","","","0","0","0","","",""
"150240","","","","","","","","","","","","","0","0","0"
"150522","0","0","0","","","","","","","","","","","",""
"150584","","","","0","0","0","","","","","","","","",""
"160241","","","","0","0","0","","","","","","","","",""
"160253","0","0","0","","","","","","","","","","","",""
"160255","","","","","","","","","","0","0","0","","",""
"160315","","","","","","","0","0","0","","","","","",""
"160529","","","","","","","","","","","","","0","0","0"
"170239","","","","0","0","0","","","","","","","","",""
"170274","","","","","","","","","","","","","0.03125","0.03125","0.03125"
"170406","","","","","","","0","0","0","","","","","",""
"170428","0","0","0","","","","","","","","","","","",""
"170498","","","","","","","","","","0","0","0","","",""
"180230","","","","","","","","","","0","0","0","","",""
"180248","","","","0","0","0","","","","","","","","",""
"180253","","","","","","","","","","","","","0","0","0"
"180516","0","0","0","","","","","","","","","","","",""
"180563","","","","","","","0","0","0","","","","","",""
"190241","","","","0","0","0","","","","","","","","",""
"190244","0","0","0","","","","","","","","","","0","0","0"
"190245","","","","","","","","","","0","0","0","","",""
"190433","","","","","","","0","0","0","","","","","",""
"200225","","","","","","","","","","0","0","0","","",""
"200227","0","0","0","","","","","","","","","","","",""
"200242","","","","","","","","","","","","","0","0","0"
"200317","","","","0","0","0","","","","","","","","",""
"200545","","","","","","","0","0","0","","","","","",""
"210240","","","","","","","","","","0","0","0","","",""
"210313","","","","","","","","","","","","","0","0","0"
"210384","","","","","","","0","0","0","","","","","",""
"210401","0","0","0","","","","","","","","","","","",""
"210514","","","","0","0","0","","","","","","","","",""
"220221","","","","","","","","","","0","0","0","","",""
"220238","0","0","0","","","","","","","","","","","",""
"220241","","","","0","0","0","","","","","","","","",""
"220256","","","","","","","","","","","","","0","0","0"
"220354","","","","","","","0","0","0","","","","","",""
"230230","","","","","","","","","","","","","0","0","0"
"230244","0","0","0","","","","","","","","","","","",""
"230250","","","","","","","0","0","0","","","","","",""
"230266","","","","","","","","","","0","0","0","","",""
"230399","","","","0","0","0","","","","","","","","",""
"240227","","","","","","","0","0","0","","","","","",""
"240228","0","0","0","","","","","","","","","","","",""
"240229","","","","0","0","0","","","","","","","","",""
"240234","","","","","","","","","","","","","0","0","0"
"240269","","","","","","","","","","0","0","0","","",""
"250223","","","","","","","","","","","","","0","0","0"
"250228","0","0","0","","","","","","","","","","","",""
"250238","","","","","","","","","","0","0","0","","",""
"250243","","","","","","","0","0","0","","","","","",""
"250329","","","","0","0","0","","","","","","","","",""
"260240","","","","0","0","0","","","","","","","","",""
"260299","","","","","","","","","","","","","0","0","0"
"260304","","","","","","","0","0","0","","","","","",""
"260368","0","0","0","","","","","","","","","","","",""
"260398","","","","","","","","","","0","0","0","","",""
"270242","","","","","","","0","0","0","","","","","",""
"270256","","","","","","","","","","","","","0","0","0"
"270298","0","0","0","","","","","","","","","","","",""
"270538","","","","","","","","","","0","0","0","","",""
"270548","","","","0","0","0","","","","","","","","",""
"280240","","","","","","","","","","","","","0","0","0"
"280243","","","","","","","","","","0","0","0","","",""
"280367","0","0","0","","","","","","","","","","","",""
"280492","","","","0","0","0","","","","","","","","",""
"280565","","","","","","","0","0","0","","","","","",""
"290230","","","","","","","","","","0","0","0","","",""
"290237","","","","","","","0","0","0","","","","","",""
"290238","","","","","","","","","","","","","0","0","0"
"290241","","","","0","0","0","","","","","","","","",""
"290433","0","0","0","","","","","","","","","","","",""
"300238","","","","","","","","","","","","","0","0","0"
"300243","0","0","0","","","","","","","","","","","",""
"300250","","","","0","0","0","","","","","","","","",""
"300251","","","","","","","","","","0","0","0","","",""
"300312","","","","","","","0","0","0","","","","","",""
"310228","","","","","","","","","","0","0","0","","",""
"310234","","","","0","0","0","","","","","","","","",""
"310503","0","0","0","","","","","","","","","","","",""
"310532","","","","","","","0","0","0","","","","","",""
"310581","","","","","","","","","","","","","0","0","0"
"320265","","","","0","0","0","","","","","","","","",""
"320277","","","","","","","","","","","","","0","0","0"
"320331","","","","","","","0","0","0","","","","","",""
"320339","","","","","","","","","","0","0","0","","",""
"320345","0","0","0","","","","","","","","","","","",""
"330240","0","0","0","","","","","","","","","","","",""
"330242","","","","","","","0","0","0","0","0","0","","",""
"330478","","","","","","","","","","","","","0","0","0"
"330499","","","","0","0","0","","","","","","","","",""
"340245","","","","0","0","0","","","","","","","0","0","0"
"340263","","","","","","","","","","0","0","0","","",""
"340279","0","0","0","","","","","","","","","","","",""
"340289","","","","","","","0","0","0","","","","","",""
"350226","","","","","","","","","","","","","0","0","0"
"350227","","","","","","","","","","0","0","0","","",""
"350231","0","0","0","","","","","","","","","","","",""
"350241","","","","","","","0","0","0","","","","","",""
"350300","","","","0","0","0","","","","","","","","",""
"360221","","","","0","0","0","","","","","","","","",""
"360241","","","","","","","","","","0","0","0","","",""
"360248","0","0","0","","","","","","","","","","","",""
"360283","","","","","","","","","","","","","0","0","0"
"360362","","","","","","","0","0","0","","","","","",""
"370246","","","","","","","","","","","","","0","0","0"
"370249","","","","","","","","","","0","0","0","","",""
"370253","","","","0","0","0","","","","","","","","",""
"370256","","","","","","","0","0","0","","","","","",""
"370435","0","0","0","","","","","","","","","","","",""
"380234","","","","0","0","0","","","","","","","","",""
"380243","0","0","0","","","","","","","","","","","",""
"380279","","","","","","","","","","0","0","0","","",""
"380281","","","","","","","0","0","0","","","","","",""
"380328","","","","","","","","","","","","","0","0","0"
"390232","","","","","","","","","","","","","0","0","0"
"390238","","","","","","","","","","0","0","0","","",""
"390364","0","0","0","","","","","","","","","","","",""
"390526","","","","0","0","0","","","","","","","","",""
"390558","","","","","","","0","0","0","","","","","",""
"400249","0","0","0","","","","","","","","","","","",""
"400271","","","","","","","0","0","0","","","","","",""
"400278","","","","","","","","","","0","0","0","","",""
"400309","","","","0","0","0","","","","","","","","",""
"400470","","","","","","","","","","","","","0","0","0"
"410222","","","","","","","","","","","","","0","0","0"
"410223","","","","0","0","0","","","","","","","","",""
"410242","0","0","0","","","","","","","","","","","",""
"410272","","","","","","","0","0","0","","","","","",""
"410314","","","","","","","","","","0","0","0","","",""
"420236","0","0","0","","","","","","","","","","","",""
"420237","","","","0","0","0","","","","","","","","",""
"420282","","","","","","","","","","0","0","0","","",""
"420436","","","","","","","","","","","","","0","0","0"
"420618","","","","","","","0","0","0","","","","","",""
"430241","0","0","0","","","","","","","","","","","",""
"430247","","","","","","","","","","0","0","0","","",""
"430259","","","","","","","0","0","0","","","","","",""
"430409","","","","0","0","0","","","","","","","","",""
"430551","","","","","","","","","","","","","0","0","0"
"440264","","","","","","","","","","0","0","0","","",""
"440267","","","","","","","","","","","","","0","0","0"
"440469","","","","","","","0","0","0","","","","","",""
"440497","0","0","0","","","","","","","","","","","",""
"440589","","","","0","0","0","","","","","","","","",""
"450250","","","","","","","","","","","","","0","0","0"
