Wall time,Step,Value
1726779815.9629405,33,0.0
1726780017.9468546,10047,0.0
1726780225.271383,20061,0.0
1726780431.6497948,30081,0.0
1726780634.8776853,40099,0.0
1726780839.6388605,50123,0.0
1726781051.852461,60151,0.0
1726781268.4002833,70171,0.0
1726781482.158495,80176,0.0
1726781735.0769083,90209,0.0
1726782012.846464,100215,0.0
1726782282.994612,110225,0.0
1726782536.715834,120236,0.0
1726782807.7471337,130257,0.0
1726783039.6832333,140274,0.0
1726783282.6315417,150492,0.0
1726783532.703588,160523,0.0
1726783782.2304778,170531,0.0
1726784009.4443383,180547,0.0
1726784193.4740999,190571,0.0
1726784424.634732,200925,0.0
1726784661.7488022,210947,0.0
1726784932.9446917,220953,0.0
1726785179.6524615,230985,0.0
1726785411.8812475,241140,0.0
1726785677.9777243,251160,0.0
1726785929.7243004,261167,0.0
1726786175.3551183,271543,0.0
1726786393.6285794,281548,0.0
1726786629.2569277,291551,0.0
1726786880.52808,301580,0.0
1726787164.716917,311901,0.0
1726787382.444622,321909,0.0
1726787653.117729,332095,0.0
1726787916.714631,342103,0.0
1726788199.4177449,352150,0.0
1726788447.4780078,362163,0.0
1726788687.5742793,372204,0.0
1726788946.1500757,382238,0.0
1726789190.6592271,392272,0.0
1726789429.13571,402291,0.0
1726789625.2586405,412329,0.0
1726789837.6046717,422468,0.0
1726790034.1810079,432519,0.0
1726790211.0470562,442568,0.0
1726790403.165162,452666,0.0
1726790599.6761444,462762,0.0
1726790803.0376236,472813,0.0
1726790997.1624465,483158,0.0
1726791207.683279,493497,0.0
1726791407.9789321,503767,0.0
1726791575.6779761,513799,0.0
1726791758.078606,523872,0.0
1726791973.2764332,534221,0.0
1726792176.2385874,544569,0.0
1726792368.1657922,554662,0.0
1726792541.4770887,564693,0.0
1726792739.906982,574790,0.0
1726792960.0507598,584866,0.0
1726793139.0715714,595038,0.0
1726793326.2648392,605184,0.0
1726793505.8116472,615317,0.0
1726793697.198966,625390,0.0
1726793883.3631473,635565,0.0
1726794092.639946,645853,0.0
1726794306.88099,656119,0.0
1726794525.93095,666439,0.0
1726794740.3713565,676642,0.0
1726794972.2168646,686655,0.0
1726795201.721737,696831,0.0
1726795418.610518,706945,0.0
1726795633.4521,717040,0.0
1726795838.135675,727094,0.0
