"Step","Group: corridor_QMIX - win_rate","Group: corridor_QMIX - win_rate__MIN","Group: corridor_QMIX - win_rate__MAX"
"0","0","0","0"
"10003","0","0","0"
"10006","0","0","0"
"10010","0","0","0"
"10018","0","0","0"
"10024","0","0","0"
"10033","0","0","0"
"20002","0","0","0"
"20009","0","0","0"
"20010","0","0","0"
"20022","0","0","0"
"20028","0","0","0"
"30004","0","0","0"
"30008","0","0","0"
"30012","0","0","0"
"30015","0","0","0"
"30022","0","0","0"
"30026","0","0","0"
"40000","0","0","0"
"40002","0","0","0"
"40010","0","0","0"
"40018","0","0","0"
"40021","0","0","0"
"40028","0","0","0"
"50000","0","0","0"
"50021","0","0","0"
"50024","0","0","0"
"50030","0","0","0"
"50031","0","0","0"
"50036","0","0","0"
"60001","0","0","0"
"60005","0","0","0"
"60013","0","0","0"
"60017","0","0","0"
"60022","0","0","0"
"60025","0","0","0"
"70005","0","0","0"
"70009","0","0","0"
"70028","0","0","0"
"70030","0","0","0"
"70031","0","0","0"
"70104","0","0","0"
"80006","0","0","0"
"80009","0","0","0"
"80010","0","0","0"
"80018","0","0","0"
"80026","0","0","0"
"80029","0","0","0"
"90000","0","0","0"
"90015","0","0","0"
"90018","0","0","0"
"90029","0","0","0"
"90030","0","0","0"
"100003","0","0","0"
"100004","0","0","0"
"100020","0","0","0"
"100029","0","0","0"
"100030","0","0","0"
"110001","0","0","0"
"110002","0","0","0"
"110003","0","0","0"
"110020","0","0","0"
"110023","0","0","0"
"110029","0","0","0"
"120002","0","0","0"
"120003","0","0","0"
"120023","0","0","0"
"120032","0","0","0"
"120039","0","0","0"
"130006","0","0","0"
"130008","0","0","0"
"130017","0","0","0"
"130027","0","0","0"
"130028","0","0","0"
"130029","0","0","0"
"140018","0","0","0"
"140024","0","0","0"
"140025","0","0","0"
"140027","0","0","0"
"150002","0","0","0"
"150004","0","0","0"
"150009","0","0","0"
"150025","0","0","0"
"150026","0","0","0"
"150028","0","0","0"
"160001","0","0","0"
"160002","0","0","0"
"160008","0","0","0"
"160012","0","0","0"
"160017","0","0","0"
"170003","0","0","0"
"170004","0","0","0"
"170008","0","0","0"
"170028","0","0","0"
"170031","0","0","0"
"180002","0","0","0"
"180017","0","0","0"
"180026","0","0","0"
"180028","0","0","0"
"180030","0","0","0"
"190008","0","0","0"
"190011","0","0","0"
"190018","0","0","0"
"190021","0","0","0"
"190027","0","0","0"
"190032","0","0","0"
"200001","0","0","0"
"200006","0","0","0"
"200010","0","0","0"
"200013","0","0","0"
"200039","0","0","0"
"210004","0","0","0"
"210007","0","0","0"
"210012","0","0","0"
"210016","0","0","0"
"210021","0","0","0"
"210023","0","0","0"
"220009","0","0","0"
"220011","0","0","0"
"220012","0","0","0"
"220022","0","0","0"
"220028","0","0","0"
"220032","0","0","0"
"230006","0","0","0"
"230012","0","0","0"
"230023","0","0","0"
"230028","0","0","0"
"240002","0","0","0"
"240011","0","0","0"
"240015","0","0","0"
"240019","0","0","0"
"240031","0","0","0"
"250001","0","0","0"
"250002","0","0","0"
"250005","0","0","0"
"250014","0","0","0"
"250016","0","0","0"
"260000","0","0","0"
"260003","0","0","0"
"260014","0","0","0"
"260026","0","0","0"
"260028","0","0","0"
"260032","0","0","0"
"270001","0","0","0"
"270002","0","0","0"
"270007","0","0","0"
"270019","0","0","0"
"270020","0","0","0"
"270024","0","0","0"
"280002","0","0","0"
"280006","0","0","0"
"280014","0","0","0"
"280020","0","0","0"
"280026","0","0","0"
"280032","0","0","0"
"290000","0","0","0"
"290003","0","0","0"
"290004","0","0","0"
"290023","0","0","0"
"300002","0","0","0"
"300004","0","0","0"
"300005","0","0","0"
"300007","0","0","0"
"300013","0","0","0"
"300015","0","0","0"
"310002","0","0","0"
"310004","0","0","0"
"310006","0","0","0"
"310008","0","0","0"
"310014","0","0","0"
"310030","0","0","0"
"320006","0","0","0"
"320007","0","0","0"
"320010","0","0","0"
"320033","0","0","0"
"320036","0","0","0"
"330019","0","0","0"
"330026","0","0","0"
"330031","0","0","0"
"330033","0","0","0"
"340004","0","0","0"
"340010","0","0","0"
"340019","0","0","0"
"340024","0","0","0"
"340025","0","0","0"
"340027","0","0","0"
"350010","0","0","0"
"350014","0","0","0"
"350019","0","0","0"
"350027","0","0","0"
"350030","0","0","0"
"350243","0","0","0"
"360004","0","0","0"
"360016","0","0","0"
"360019","0","0","0"
"360021","0","0","0"
"360023","0","0","0"
"360037","0","0","0"
"370002","0","0","0"
"370007","0","0","0"
"370011","0","0","0"
