"Step","Group: MMM2_ACORM_WM - win_rate","Group: MMM2_ACORM_WM - win_rate__MIN","Group: MMM2_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10228","0","0","0"
"10231","0","0","0"
"10232","0","0","0"
"10233","0","0","0"
"10242","0","0","0"
"20223","0","0","0"
"20228","0","0","0"
"20235","0","0","0"
"20243","0","0","0"
"20249","0","0","0"
"30222","0","0","0"
"30227","0","0","0"
"30235","0","0","0"
"30237","0","0","0"
"30242","0","0","0"
"40221","0","0","0"
"40223","0","0","0"
"40235","0","0","0"
"40246","0","0","0"
"50225","0","0","0"
"50235","0","0","0"
"50242","0","0","0"
"50243","0","0","0"
"60221","0","0","0"
"60229","0","0","0"
"60239","0","0","0"
"60240","0","0","0"
"70225","0","0","0"
"70226","0","0","0"
"70231","0","0","0"
"70237","0","0","0"
"70238","0","0","0"
"80225","0","0","0"
"80234","0","0","0"
"80236","0","0","0"
"80241","0","0","0"
"80249","0","0","0"
"90222","0","0","0"
"90236","0","0","0"
"90237","0","0","0"
"90238","0","0","0"
"90248","0","0","0"
"100221","0","0","0"
"100225","0","0","0"
"100231","0","0","0"
"100235","0","0","0"
"100240","0","0","0"
"110228","0","0","0"
"110237","0","0","0"
"110240","0","0","0"
"110243","0","0","0"
"110248","0","0","0"
"120227","0","0","0"
"120230","0","0","0"
"120231","0","0","0"
"120239","0","0","0"
"120245","0","0","0"
"130225","0","0","0"
"130226","0","0","0"
"130228","0","0","0"
"130236","0","0","0"
"130238","0","0","0"
"140223","0","0","0"
"140224","0","0","0"
"140228","0","0","0"
"140232","0","0","0"
"140248","0.03125","0.03125","0.03125"
"150220","0","0","0"
"150223","0","0","0"
"150230","0","0","0"
"150231","0","0","0"
"150237","0","0","0"
"160220","0","0","0"
"160232","0","0","0"
"160237","0","0","0"
"160240","0","0","0"
"170220","0","0","0"
"170223","0","0","0"
"170227","0","0","0"
"170236","0","0","0"
"170245","0","0","0"
"180234","0","0","0"
"180236","0","0","0"
"180240","0","0","0"
"190221","0","0","0"
"190229","0","0","0"
"190234","0","0","0"
"190235","0","0","0"
"190238","0","0","0"
"200222","0","0","0"
"200230","0.03125","0.03125","0.03125"
"200234","0","0","0"
"200240","0","0","0"
"200251","0.0625","0.0625","0.0625"
"210223","0","0","0"
