"Step","Group: MMM2_ACORM - win_rate","Group: MMM2_ACORM - win_rate__MIN","Group: MMM2_ACORM - win_rate__MAX"
"0","0","0","0"
"10228","0","0","0"
"10233","0","0","0"
"10237","0","0","0"
"10243","0","0","0"
"10246","0","0","0"
"20222","0","0","0"
"20225","0","0","0"
"20228","0","0","0"
"20231","0","0","0"
"30221","0","0","0"
"30222","0","0","0"
"30225","0","0","0"
"30233","0","0","0"
"30248","0","0","0"
"40221","0","0","0"
"40222","0","0","0"
"40234","0","0","0"
"40242","0","0","0"
"40381","0","0","0"
"50223","0","0","0"
"50226","0","0","0"
"50238","0","0","0"
"50249","0","0","0"
"50250","0","0","0"
"60226","0","0","0"
"60238","0","0","0"
"60242","0","0","0"
"60244","0","0","0"
"60249","0","0","0"
"70221","0","0","0"
"70228","0","0","0"
"70230","0","0","0"
"70246","0","0","0"
"70327","0","0","0"
"80238","0","0","0"
"80239","0","0","0"
"80241","0.03125","0.03125","0.03125"
"80264","0","0","0"
"80397","0","0","0"
"90244","0.03125","0.03125","0.03125"
"90247","0.03125","0.03125","0.03125"
"90269","0","0","0"
"90376","0.0625","0.0625","0.0625"
"90379","0.03125","0.03125","0.03125"
"100228","0.03125","0.03125","0.03125"
"100253","0.09375","0.09375","0.09375"
"100279","0.03125","0.03125","0.03125"
"100380","0","0","0"
"100396","0","0","0"
"110222","0","0","0"
"110225","0.09375","0.09375","0.09375"
"110228","0","0","0"
"110260","0","0","0"
"110355","0.03125","0.03125","0.03125"
"120233","0.0625","0.0625","0.0625"
"120237","0","0","0"
"120252","0.0625","0.0625","0.0625"
"120264","0","0","0"
"120316","0.03125","0.03125","0.03125"
"130228","0","0","0"
"130230","0.0625","0.0625","0.0625"
"130258","0.21875","0.21875","0.21875"
"130261","0.0625","0.0625","0.0625"
"130396","0","0","0"
"140237","0.09375","0.09375","0.09375"
"140240","0.125","0.125","0.125"
"140250","0.1875","0.1875","0.1875"
"140257","0.0625","0.0625","0.0625"
"140262","0","0","0"
"150242","0.03125","0.03125","0.03125"
"150244","0","0","0"
"150248","0.03125","0.03125","0.03125"
"150293","0","0","0"
"150355","0.0625","0.0625","0.0625"
"160231","0.09375","0.09375","0.09375"
"160236","0.03125","0.03125","0.03125"
"160295","0","0","0"
"160383","0","0","0"
