"Step","Group: MMM2_QMIX - win_rate","Group: MMM2_QMIX - win_rate__MIN","Group: MMM2_QMIX - win_rate__MAX"
"0","0","0","0"
"10000","0","0","0"
"10005","0","0","0"
"10014","0","0","0"
"10020","0","0","0"
"10027","0","0","0"
"20001","0","0","0"
"20003","0","0","0"
"20018","0","0","0"
"20019","0","0","0"
"20020","0","0","0"
"20026","0","0","0"
"30002","0","0","0"
"30007","0","0","0"
"30011","0","0","0"
"30012","0","0","0"
"30019","0","0","0"
"30032","0","0","0"
"40018","0","0","0"
"40021","0","0","0"
"40023","0","0","0"
"40028","0","0","0"
"40036","0","0","0"
"50000","0","0","0"
"50004","0","0","0"
"50005","0","0","0"
"50014","0","0","0"
"60005","0","0","0"
"60013","0","0","0"
"60016","0","0","0"
"60020","0","0","0"
"60024","0","0","0"
"70000","0","0","0"
"70011","0","0","0"
"70012","0","0","0"
"70017","0","0","0"
"70031","0","0","0"
"70042","0","0","0"
"80003","0","0","0"
"80016","0","0","0"
"80028","0","0","0"
"80029","0","0","0"
"80079","0","0","0"
"80113","0","0","0"
"90006","0","0","0"
"90009","0","0","0"
"90012","0","0","0"
"90029","0","0","0"
"90148","0","0","0"
"90165","0","0","0"
"100006","0","0","0"
"100013","0","0","0"
"100017","0","0","0"
"100019","0","0","0"
"100133","0","0","0"
"100157","0","0","0"
"110002","0","0","0"
"110006","0","0","0"
"110037","0","0","0"
"110115","0","0","0"
"110125","0","0","0"
"110177","0","0","0"
"120001","0","0","0"
"120008","0","0","0"
"120016","0","0","0"
"120020","0","0","0"
"120032","0","0","0"
"120145","0","0","0"
"130006","0","0","0"
"130012","0","0","0"
"130033","0","0","0"
"130085","0","0","0"
"130102","0","0","0"
"140020","0","0","0"
"140030","0","0","0"
"140037","0","0","0"
"140129","0","0","0"
"140133","0","0","0"
"140140","0","0","0"
"150008","0","0","0"
"150011","0","0","0"
"150024","0","0","0"
"150028","0","0","0"
"150039","0","0","0"
"150050","0","0","0"
"160011","0","0","0"
"160012","0","0","0"
"160022","0.03125","0.03125","0.03125"
"160025","0","0","0"
"160088","0","0","0"
"160090","0","0","0"
"170016","0","0","0"
"170037","0.03125","0.03125","0.03125"
"170044","0","0","0"
"170116","0","0","0"
"170152","0","0","0"
"170175","0","0","0"
"180002","0","0","0"
"180010","0","0","0"
"180019","0","0","0"
"180024","0","0","0"
"180033","0","0","0"
"180155","0","0","0"
"190004","0","0","0"
"190007","0","0","0"
"190009","0","0","0"
"190010","0","0","0"
"190020","0","0","0"
"190168","0","0","0"
"200001","0","0","0"
"200011","0","0","0"
"200013","0","0","0"
"200025","0","0","0"
"200030","0","0","0"
"200099","0","0","0"
"210008","0","0","0"
"210009","0","0","0"
"210012","0","0","0"
"210021","0","0","0"
"210022","0","0","0"
"210028","0","0","0"
"220005","0","0","0"
"220016","0","0","0"
"220024","0","0","0"
"220033","0","0","0"
"220040","0","0","0"
"220065","0","0","0"
"230010","0","0","0"
"230024","0","0","0"
"230025","0","0","0"
