"Step","Group: protoss_10_vs_11_ACORM_WM - win_rate","Group: protoss_10_vs_11_ACORM_WM - win_rate__MIN","Group: protoss_10_vs_11_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10238","0","0","0"
"10261","0.03125","0.03125","0.03125"
"10262","0","0","0"
"10268","0","0","0"
"10283","0","0","0"
"20230","0","0","0"
"20231","0","0","0"
"20238","0","0","0"
"20244","0","0","0"
"20265","0","0","0"
"30229","0","0","0"
"30245","0","0","0"
"30253","0.0625","0.0625","0.0625"
"30257","0","0","0"
"30258","0","0","0"
"40221","0","0","0"
"40236","0","0","0"
"40256","0","0","0"
"40261","0","0","0"
"40262","0","0","0"
"50241","0","0","0"
"50246","0","0","0"
"50255","0","0","0"
"50257","0","0","0"
"50259","0","0","0"
"60233","0","0","0"
"60237","0","0","0"
"60239","0","0","0"
"60251","0.03125","0.03125","0.03125"
"60259","0","0","0"
"70231","0","0","0"
"70233","0","0","0"
"70240","0","0","0"
"70244","0","0","0"
"70249","0","0","0"
"80220","0","0","0"
"80238","0","0","0"
"80245","0","0","0"
"80259","0","0","0"
"80261","0","0","0"
"90225","0","0","0"
"90235","0","0","0"
"90260","0","0","0"
"90265","0","0","0"
"90278","0","0","0"
"100225","0","0","0"
"100233","0","0","0"
"100262","0","0","0"
"100267","0","0","0"
"100269","0","0","0"
"110224","0.03125","0.03125","0.03125"
"110233","0","0","0"
"110243","0","0","0"
"110255","0","0","0"
"110267","0","0","0"
"120234","0","0","0"
"120241","0","0","0"
"120243","0","0","0"
"120257","0","0","0"
"120265","0","0","0"
"130233","0","0","0"
"130260","0","0","0"
"130265","0","0","0"
"130282","0","0","0"
"140229","0","0","0"
"140230","0","0","0"
"140242","0","0","0"
"140275","0","0","0"
"150230","0","0","0"
"150240","0","0","0"
"150254","0","0","0"
"150270","0","0","0"
"150290","0","0","0"
"160240","0","0","0"
"160243","0","0","0"
"160248","0","0","0"
"160269","0","0","0"
"160271","0","0","0"
"170239","0","0","0"
"170248","0","0","0"
"170259","0","0","0"
"170263","0","0","0"
"170281","0","0","0"
"180233","0","0","0"
"180250","0","0","0"
"180254","0","0","0"
"180262","0.03125","0.03125","0.03125"
"180269","0","0","0"
"190224","0","0","0"
"190237","0","0","0"
"190243","0","0","0"
"190264","0","0","0"
"200222","0.03125","0.03125","0.03125"
"200259","0","0","0"
"200260","0","0","0"
"200261","0","0","0"
"200262","0","0","0"
"210232","0.03125","0.03125","0.03125"
"210240","0","0","0"
"210253","0","0","0"
"210257","0","0","0"
"210259","0","0","0"
"220223","0","0","0"
