"Step","Group: protoss_10_vs_11_ACORM - win_rate","Group: protoss_10_vs_11_ACORM - win_rate__MIN","Group: protoss_10_vs_11_ACORM - win_rate__MAX"
"0","0","0","0"
"10229","0.03125","0.03125","0.03125"
"10233","0","0","0"
"10244","0.0625","0.0625","0.0625"
"10253","0","0","0"
"10261","0","0","0"
"20224","0","0","0"
"20236","0","0","0"
"20255","0","0","0"
"20258","0","0","0"
"20262","0","0","0"
"20281","0","0","0"
"30232","0","0","0"
"30233","0","0","0"
"30237","0","0","0"
"30250","0","0","0"
"30257","0","0","0"
"30265","0","0","0"
"40221","0","0","0"
"40240","0","0","0"
"40243","0","0","0"
"40267","0","0","0"
"40272","0","0","0"
"40273","0","0","0"
"50228","0","0","0"
"50231","0","0","0"
"50233","0","0","0"
"50235","0","0","0"
"50258","0","0","0"
"50259","0","0","0"
"60225","0","0","0"
"60234","0","0","0"
"60240","0","0","0"
"60241","0","0","0"
"60270","0","0","0"
"60284","0","0","0"
"70222","0","0","0"
"70242","0","0","0"
"70243","0","0","0"
"70254","0","0","0"
"70257","0","0","0"
"70259","0","0","0"
"80235","0","0","0"
"80237","0","0","0"
"80252","0","0","0"
"80259","0","0","0"
"80266","0","0","0"
"90221","0.03125","0.03125","0.03125"
"90225","0","0","0"
"90228","0","0","0"
"90240","0","0","0"
"90264","0","0","0"
"90279","0","0","0"
"100224","0","0","0"
"100237","0","0","0"
"100240","0","0","0"
"100242","0","0","0"
"100247","0","0","0"
"100269","0","0","0"
"110224","0","0","0"
"110245","0","0","0"
"110252","0.03125","0.03125","0.03125"
"110256","0","0","0"
"110262","0","0","0"
"110269","0.03125","0.03125","0.03125"
"120220","0","0","0"
"120234","0","0","0"
"120242","0","0","0"
"120248","0","0","0"
"120267","0","0","0"
"120316","0","0","0"
"130223","0","0","0"
"130228","0","0","0"
"130233","0","0","0"
"130243","0","0","0"
"130255","0","0","0"
"130259","0","0","0"
"140230","0","0","0"
"140245","0","0","0"
"140246","0","0","0"
"140253","0","0","0"
"140257","0","0","0"
"140258","0","0","0"
"150235","0","0","0"
"150247","0","0","0"
"150251","0","0","0"
"150265","0","0","0"
"150282","0","0","0"
