"Step","Group: protoss_10_vs_11_QMIX - win_rate","Group: protoss_10_vs_11_QMIX - win_rate__MIN","Group: protoss_10_vs_11_QMIX - win_rate__MAX"
"0","0","0","0"
"10004","0","0","0"
"10023","0","0","0"
"10034","0","0","0"
"10053","0","0","0"
"10065","0","0","0"
"20005","0","0","0"
"20006","0","0","0"
"20012","0","0","0"
"20022","0","0","0"
"20030","0","0","0"
"20040","0","0","0"
"30001","0","0","0"
"30007","0","0","0"
"30028","0","0","0"
"30041","0","0","0"
"30048","0","0","0"
"30065","0","0","0"
"40009","0","0","0"
"40011","0","0","0"
"40029","0","0","0"
"40040","0","0","0"
"40041","0","0","0"
"40054","0","0","0"
"50009","0","0","0"
"50021","0","0","0"
"50032","0","0","0"
"50034","0","0","0"
"50058","0","0","0"
"60002","0","0","0"
"60004","0","0","0"
"60015","0","0","0"
"60026","0","0","0"
"60034","0","0","0"
"60061","0","0","0"
"70026","0","0","0"
"70028","0","0","0"
"70035","0","0","0"
"70038","0","0","0"
"70039","0","0","0"
"70051","0","0","0"
"80012","0","0","0"
"80014","0","0","0"
"80024","0","0","0"
"80041","0","0","0"
"80050","0","0","0"
"80055","0","0","0"
"90001","0","0","0"
"90003","0","0","0"
"90004","0","0","0"
"90018","0","0","0"
"90040","0","0","0"
"90057","0.03125","0.03125","0.03125"
"100001","0","0","0"
"100003","0","0","0"
"100021","0","0","0"
"100027","0","0","0"
"100034","0","0","0"
"100056","0","0","0"
"110001","0","0","0"
"110010","0","0","0"
"110016","0","0","0"
"110038","0","0","0"
"110045","0","0","0"
"110049","0","0","0"
"120002","0","0","0"
"120017","0","0","0"
"120026","0","0","0"
"120027","0","0","0"
"120041","0","0","0"
"130004","0","0","0"
"130023","0","0","0"
"130025","0","0","0"
"130043","0","0","0"
"130058","0","0","0"
"130061","0","0","0"
"140009","0","0","0"
"140016","0","0","0"
"140032","0","0","0"
"140041","0","0","0"
"140054","0","0","0"
"150001","0","0","0"
"150012","0","0","0"
"150028","0","0","0"
"150038","0","0","0"
"150039","0","0","0"
"150048","0","0","0"
"160004","0","0","0"
"160007","0","0","0"
"160016","0","0","0"
"160030","0","0","0"
"160043","0","0","0"
"170001","0","0","0"
"170003","0","0","0"
"170007","0","0","0"
"170011","0","0","0"
"170018","0","0","0"
"170038","0","0","0"
"180025","0","0","0"
"180028","0","0","0"
"180036","0","0","0"
"180040","0","0","0"
"180053","0","0","0"
"180054","0.03125","0.03125","0.03125"
"190009","0","0","0"
"190022","0","0","0"
"190026","0","0","0"
"190033","0","0","0"
"190050","0","0","0"
"190051","0","0","0"
"200008","0.03125","0.03125","0.03125"
"200009","0","0","0"
"200012","0","0","0"
"200014","0","0","0"
"200022","0","0","0"
"200050","0","0","0"
"210001","0","0","0"
"210014","0","0","0"
"210022","0","0","0"
"210028","0","0","0"
"210029","0","0","0"
"210032","0","0","0"
"220002","0","0","0"
"220021","0","0","0"
