"Step","Group: protoss_5_vs_5_ACORM_WM - win_rate","Group: protoss_5_vs_5_ACORM_WM - win_rate__MIN","Group: protoss_5_vs_5_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10604","0.0625","0.0625","0.0625"
"10610","0.03125","0.03125","0.03125"
"10616","0.046875","0.03125","0.0625"
"10652","0.03125","0.03125","0.03125"
"20602","0.09375","0.09375","0.09375"
"20608","0","0","0"
"20609","0.125","0.125","0.125"
"20649","0.0625","0.0625","0.0625"
"20665","0.0625","0.0625","0.0625"
"30600","0.0625","0.0625","0.0625"
"30605","0.03125","0.03125","0.03125"
"30640","0.125","0.125","0.125"
"30642","0.09375","0.09375","0.09375"
"30647","0.0625","0.0625","0.0625"
"40607","0","0","0"
"40621","0.0625","0.0625","0.0625"
"40639","0.03125","0.03125","0.03125"
"40642","0.1875","0.1875","0.1875"
"40647","0.125","0.125","0.125"
"50616","0.09375","0.09375","0.09375"
"50647","0","0","0"
"50660","0.0625","0.0625","0.0625"
"50664","0.125","0.125","0.125"
"50667","0","0","0"
"60614","0.0625","0.0625","0.0625"
"60623","0.15625","0.15625","0.15625"
"60655","0","0","0"
"60659","0","0","0"
"60670","0.03125","0.03125","0.03125"
"70602","0.0625","0.0625","0.0625"
"70617","0","0","0"
"70623","0.125","0.125","0.125"
"70638","0.0625","0.0625","0.0625"
"70661","0.0625","0.0625","0.0625"
"80623","0.03125","0.03125","0.03125"
"80630","0.0625","0.0625","0.0625"
"80640","0.03125","0.03125","0.03125"
"80666","0.125","0.125","0.125"
"80677","0.15625","0.15625","0.15625"
"90603","0.125","0.125","0.125"
"90604","0.0625","0.0625","0.0625"
"90618","0.03125","0.03125","0.03125"
"90638","0.09375","0.09375","0.09375"
"90644","0.09375","0.09375","0.09375"
"100610","0.125","0.125","0.125"
"100613","0.1875","0.1875","0.1875"
"100644","0.0625","0.0625","0.0625"
"100649","0.09375","0.09375","0.09375"
"100656","0.0625","0.0625","0.0625"
"110613","0.1875","0.1875","0.1875"
"110633","0.15625","0.15625","0.15625"
"110641","0","0","0"
"110644","0.03125","0.03125","0.03125"
"110645","0.15625","0.15625","0.15625"
"120623","0.09375","0.03125","0.15625"
"120632","0.09375","0.09375","0.09375"
"120652","0.125","0.125","0.125"
"120663","0.125","0.125","0.125"
"130610","0.03125","0.03125","0.03125"
"130611","0.125","0.125","0.125"
"130614","0.15625","0.15625","0.15625"
"130619","0.125","0.125","0.125"
"130640","0","0","0"
"140619","0.125","0.125","0.125"
"140634","0.125","0.125","0.125"
"140636","0.15625","0.15625","0.15625"
"140642","0.09375","0.09375","0.09375"
"140651","0.125","0.125","0.125"
"150601","0.15625","0.15625","0.15625"
"150612","0.0625","0.0625","0.0625"
"150614","0.1875","0.1875","0.1875"
"150618","0.03125","0.03125","0.03125"
"150644","0.125","0.125","0.125"
"160600","0.1875","0.1875","0.1875"
"160615","0.15625","0.15625","0.15625"
"160634","0.0625","0.0625","0.0625"
"160636","0.15625","0.15625","0.15625"
"160654","0.21875","0.21875","0.21875"
"170603","0.15625","0.15625","0.15625"
"170615","0.125","0.125","0.125"
"170619","0.1875","0.1875","0.1875"
"170629","0.0625","0.0625","0.0625"
"170656","0.1875","0.1875","0.1875"
"180622","0.09375","0.09375","0.09375"
"180627","0.21875","0.21875","0.21875"
"180632","0.1875","0.1875","0.1875"
"180641","0.125","0.125","0.125"
"180651","0.0625","0.0625","0.0625"
"190605","0.28125","0.28125","0.28125"
"190612","0.09375","0.09375","0.09375"
"190627","0.21875","0.21875","0.21875"
"190634","0.15625","0.15625","0.15625"
"190635","0.09375","0.09375","0.09375"
"200604","0.25","0.25","0.25"
"200614","0.09375","0.09375","0.09375"
"200625","0.1875","0.1875","0.1875"
"200629","0.15625","0.15625","0.15625"
"200666","0.21875","0.21875","0.21875"
"210618","0","0","0"
"210620","0.125","0.125","0.125"
"210635","0.1875","0.1875","0.1875"
"210637","0.21875","0.21875","0.21875"
"210654","0.1875","0.1875","0.1875"
"220609","0.15625","0.15625","0.15625"
"220629","0.28125","0.28125","0.28125"
"220640","0.125","0.125","0.125"
"220651","0.125","0.125","0.125"
"220670","0.1875","0.1875","0.1875"
"230605","0.25","0.25","0.25"
"230622","0.375","0.375","0.375"
"230627","0.3125","0.3125","0.3125"
"230653","0.25","0.25","0.25"
"230681","0.125","0.125","0.125"
"240601","0.09375","0.09375","0.09375"
"240610","0.25","0.25","0.25"
"240620","0.4375","0.4375","0.4375"
"240634","0.28125","0.28125","0.28125"
"240673","0.21875","0.21875","0.21875"
"250604","0.15625","0.15625","0.15625"
"250620","0.21875","0.21875","0.21875"
"250622","0.25","0.25","0.25"
"250625","0.25","0.25","0.25"
"250640","0.21875","0.21875","0.21875"
"260600","0.1875","0.1875","0.1875"
"260612","0.15625","0.15625","0.15625"
"260616","0.21875","0.21875","0.21875"
"260641","0.15625","0.15625","0.15625"
"260654","0.1875","0.1875","0.1875"
"270611","0.375","0.375","0.375"
"270616","0.03125","0.03125","0.03125"
"270622","0.375","0.375","0.375"
"270642","0.15625","0.15625","0.15625"
"270665","0.15625","0.15625","0.15625"
"280612","0.125","0.125","0.125"
"280616","0.28125","0.28125","0.28125"
"280621","0.25","0.25","0.25"
"280643","0.25","0.25","0.25"
"280656","0.46875","0.46875","0.46875"
"290600","0.40625","0.40625","0.40625"
"290603","0.21875","0.21875","0.21875"
"290605","0.21875","0.21875","0.21875"
"290641","0.25","0.25","0.25"
"290655","0.125","0.125","0.125"
"300602","0.28125","0.28125","0.28125"
"300629","0.21875","0.21875","0.21875"
"300641","0.25","0.25","0.25"
"300657","0.40625","0.40625","0.40625"
"300670","0.28125","0.28125","0.28125"
"310604","0.5625","0.5625","0.5625"
"310640","0.21875","0.21875","0.21875"
"310645","0.40625","0.40625","0.40625"
"310648","0.28125","0.28125","0.28125"
"310649","0.21875","0.21875","0.21875"
"320603","0.15625","0.15625","0.15625"
"320612","0.40625","0.40625","0.40625"
"320638","0.28125","0.28125","0.28125"
"320639","0.03125","0.03125","0.03125"
"320658","0.28125","0.28125","0.28125"
"330615","0.09375","0.09375","0.09375"
"330633","0.375","0.375","0.375"
"330637","0.25","0.25","0.25"
"330649","0.25","0.25","0.25"
"330674","0.25","0.25","0.25"
"340615","0.4375","0.4375","0.4375"
"340622","0.1875","0.1875","0.1875"
"340623","0.21875","0.21875","0.21875"
"340624","0.125","0.125","0.125"
"340626","0.46875","0.46875","0.46875"
"350602","0.21875","0.21875","0.21875"
"350619","0.25","0.25","0.25"
"350624","0.4375","0.4375","0.4375"
"350643","0.40625","0.40625","0.40625"
"350665","0.53125","0.53125","0.53125"
"360616","0.34375","0.34375","0.34375"
"360618","0.34375","0.34375","0.34375"
"360654","0.46875","0.46875","0.46875"
"360655","0.09375","0.09375","0.09375"
"360662","0.34375","0.34375","0.34375"
