"Step","Group: protoss_5_vs_5_QMIX - win_rate","Group: protoss_5_vs_5_QMIX - win_rate__MIN","Group: protoss_5_vs_5_QMIX - win_rate__MAX"
"0","0","0","0"
"10003","0","0","0"
"10009","0","0","0"
"10015","0.03125","0","0.0625"
"10020","0","0","0"
"10034","0","0","0"
"20010","0.0625","0.0625","0.0625"
"20016","0.0625","0.0625","0.0625"
"20018","0.0625","0.0625","0.0625"
"20040","0.03125","0.03125","0.03125"
"20041","0.03125","0.03125","0.03125"
"20048","0.03125","0.03125","0.03125"
"30002","0","0","0"
"30004","0.03125","0.03125","0.03125"
"30007","0.0625","0.0625","0.0625"
"30037","0.03125","0.03125","0.03125"
"30038","0","0","0"
"30046","0.03125","0.03125","0.03125"
"40009","0.09375","0.09375","0.09375"
"40013","0","0","0"
"40022","0.0625","0.0625","0.0625"
"40032","0.03125","0.03125","0.03125"
"40036","0","0","0"
"40042","0","0","0"
"50001","0.15625","0.15625","0.15625"
"50004","0.0625","0.03125","0.09375"
"50017","0.03125","0.03125","0.03125"
"50020","0.09375","0.09375","0.09375"
"50025","0.0625","0.0625","0.0625"
"60001","0.09375","0.09375","0.09375"
"60014","0.03125","0.03125","0.03125"
"60015","0.03125","0.03125","0.03125"
"60020","0","0","0"
"60033","0.0625","0.0625","0.0625"
"60036","0.0625","0.0625","0.0625"
"70000","0.09375","0.09375","0.09375"
"70012","0.03125","0.03125","0.03125"
"70014","0.09375","0.09375","0.09375"
"70031","0.125","0.125","0.125"
"70038","0.03125","0.03125","0.03125"
"70083","0.03125","0.03125","0.03125"
"80000","0.0625","0.0625","0.0625"
"80016","0","0","0"
"80024","0.03125","0.03125","0.03125"
"80031","0.15625","0.15625","0.15625"
"80035","0.03125","0.03125","0.03125"
"80045","0.03125","0.03125","0.03125"
"90003","0.15625","0.15625","0.15625"
"90009","0.03125","0.03125","0.03125"
"90013","0.0625","0.0625","0.0625"
"90015","0.09375","0.09375","0.09375"
"90034","0.03125","0.03125","0.03125"
"90073","0.0625","0.0625","0.0625"
"100004","0","0","0"
"100015","0","0","0"
"100039","0.125","0.125","0.125"
"100046","0.125","0.125","0.125"
"100051","0.03125","0.03125","0.03125"
"100075","0.15625","0.15625","0.15625"
"110009","0.0625","0","0.125"
"110019","0.03125","0.03125","0.03125"
"110022","0.0625","0.0625","0.0625"
"110031","0.03125","0.03125","0.03125"
"110044","0.09375","0.09375","0.09375"
"120003","0.0625","0.0625","0.0625"
"120012","0.03125","0.03125","0.03125"
"120016","0.0625","0.0625","0.0625"
"120022","0.03125","0.03125","0.03125"
"120027","0.0625","0.0625","0.0625"
"120036","0.125","0.125","0.125"
"130002","0.03125","0.03125","0.03125"
"130003","0.09375","0.09375","0.09375"
"130036","0.09375","0.09375","0.09375"
"130046","0","0","0"
"130070","0.0625","0.0625","0.0625"
"130075","0","0","0"
"140007","0.09375","0.09375","0.09375"
"140012","0.03125","0.03125","0.03125"
"140024","0.03125","0.03125","0.03125"
"140037","0.1875","0.1875","0.1875"
"140057","0.0625","0.0625","0.0625"
"140062","0.0625","0.0625","0.0625"
"150002","0.0625","0.0625","0.0625"
"150011","0.09375","0.09375","0.09375"
"150021","0.03125","0.03125","0.03125"
"150034","0","0","0"
"150035","0.0625","0.0625","0.0625"
"150053","0.125","0.125","0.125"
"160002","0.03125","0.03125","0.03125"
"160005","0.15625","0.15625","0.15625"
"160022","0.15625","0.15625","0.15625"
"160037","0.0625","0.0625","0.0625"
"160039","0.0625","0.0625","0.0625"
"160044","0.0625","0.0625","0.0625"
"170004","0","0","0"
"170007","0.15625","0.15625","0.15625"
"170011","0.09375","0.09375","0.09375"
"170019","0.0625","0.0625","0.0625"
"170020","0.03125","0.03125","0.03125"
"170040","0.03125","0.03125","0.03125"
"180019","0.09375","0.09375","0.09375"
"180022","0.09375","0.09375","0.09375"
"180028","0.0625","0.0625","0.0625"
"180039","0.125","0.125","0.125"
"180041","0.125","0.125","0.125"
"180042","0.03125","0.03125","0.03125"
"190009","0","0","0"
"190025","0.125","0.125","0.125"
"190027","0.125","0.125","0.125"
"190028","0.03125","0.03125","0.03125"
"190036","0.125","0.125","0.125"
"190054","0.125","0.125","0.125"
"200012","0.0625","0.0625","0.0625"
"200040","0.09375","0.09375","0.09375"
"200044","0.09375","0.09375","0.09375"
"200051","0.0625","0.0625","0.0625"
"200055","0.09375","0.09375","0.09375"
"200065","0","0","0"
"210026","0.03125","0.03125","0.03125"
"210034","0.109375","0.09375","0.125"
"210035","0.125","0.125","0.125"
