"Step","Group: terran_10_vs_11_ACORM - win_rate","Group: terran_10_vs_11_ACORM - win_rate__MIN","Group: terran_10_vs_11_ACORM - win_rate__MAX"
"0","0","0","0"
"10603","0","0","0"
"10604","0","0","0"
"10615","0.03125","0.03125","0.03125"
"10619","0","0","0"
"10638","0.015625","0","0.03125"
"20602","0","0","0"
"20604","0","0","0"
"20606","0","0","0"
"20613","0","0","0"
"20626","0","0","0"
"30618","0","0","0"
"30620","0","0","0"
"30621","0","0","0"
"30624","0","0","0"
"30645","0","0","0"
"40603","0","0","0"
"40607","0.03125","0.03125","0.03125"
"40628","0","0","0"
"40634","0","0","0"
"40647","0","0","0"
"40662","0","0","0"
"50602","0","0","0"
"50618","0.03125","0.03125","0.03125"
"50620","0","0","0"
"50628","0","0","0"
"50633","0","0","0"
"50668","0","0","0"
"60608","0","0","0"
"60609","0","0","0"
"60615","0","0","0"
"60621","0","0","0"
"60623","0","0","0"
"70605","0","0","0"
"70607","0","0","0"
"70613","0","0","0"
"70627","0","0","0"
"70633","0","0","0"
"70660","0","0","0"
"80600","0","0","0"
"80613","0.03125","0.03125","0.03125"
"80614","0.03125","0.03125","0.03125"
"80615","0","0","0"
"80618","0","0","0"
"80638","0","0","0"
"90608","0","0","0"
"90613","0","0","0"
"90617","0.03125","0.03125","0.03125"
"90621","0","0","0"
"90631","0","0","0"
"100606","0","0","0"
"100617","0.03125","0.03125","0.03125"
"100620","0","0","0"
"100627","0","0","0"
"100629","0","0","0"
"100676","0","0","0"
"110600","0","0","0"
"110602","0","0","0"
"110609","0","0","0"
"110616","0","0","0"
"110624","0","0","0"
"110629","0","0","0"
"120608","0","0","0"
"120609","0","0","0"
"120612","0.03125","0.03125","0.03125"
"120613","0","0","0"
"120615","0","0","0"
"120622","0.03125","0.03125","0.03125"
"130614","0","0","0"
"130618","0","0","0"
"130624","0","0","0"
"130625","0","0","0"
"130627","0","0","0"
"130654","0","0","0"
"140603","0","0","0"
"140604","0","0","0"
"140606","0","0","0"
"140630","0","0","0"
"140635","0","0","0"
"140638","0","0","0"
"150602","0.03125","0.03125","0.03125"
"150604","0","0","0"
"150609","0","0","0"
"150611","0","0","0"
"150626","0","0","0"
"150647","0","0","0"
"160603","0","0","0"
"160609","0","0","0"
"160614","0","0","0"
"160616","0","0","0"
"160624","0","0","0"
"160644","0","0","0"
