"Step","Group: terran_10_vs_11_QMIX - win_rate","Group: terran_10_vs_11_QMIX - win_rate__MIN","Group: terran_10_vs_11_QMIX - win_rate__MAX"
"0","0","0","0"
"10002","0","0","0"
"10010","0","0","0"
"10017","0","0","0"
"10020","0","0","0"
"10024","0.03125","0.03125","0.03125"
"10039","0.03125","0.03125","0.03125"
"20004","0","0","0"
"20006","0","0","0"
"20022","0","0","0"
"20023","0.03125","0.03125","0.03125"
"20030","0.03125","0.03125","0.03125"
"20045","0","0","0"
"30005","0","0","0"
"30025","0","0","0"
"30026","0","0","0"
"30027","0","0","0"
"30038","0","0","0"
"30040","0","0","0"
"40001","0","0","0"
"40017","0","0","0"
"40023","0","0","0"
"40027","0.015625","0","0.03125"
"40029","0","0","0"
"50011","0","0","0"
"50015","0","0","0"
"50018","0","0","0"
"50024","0","0","0"
"60011","0","0","0"
"60015","0","0","0"
"60019","0","0","0"
"60022","0","0","0"
"60028","0","0","0"
"60060","0","0","0"
"70005","0","0","0"
"70012","0","0","0"
"70014","0","0","0"
"70017","0","0","0"
"70019","0","0","0"
"70048","0","0","0"
"80014","0","0","0"
"80016","0","0","0"
"80025","0","0","0"
"80041","0","0","0"
"80069","0","0","0"
"90005","0","0","0"
"90021","0","0","0"
"90027","0","0","0"
"90028","0","0","0"
"90049","0","0","0"
"90055","0","0","0"
"100006","0","0","0"
"100010","0","0","0"
"100026","0","0","0"
"100034","0","0","0"
"100038","0","0","0"
"100060","0","0","0"
"110005","0","0","0"
"110009","0","0","0"
"110015","0","0","0"
"110020","0","0","0"
"110031","0","0","0"
"110067","0","0","0"
"120000","0","0","0"
"120008","0","0","0"
"120011","0","0","0"
"120029","0","0","0"
"120039","0","0","0"
"130002","0","0","0"
"130008","0","0","0"
"130010","0.03125","0.03125","0.03125"
"130016","0","0","0"
"130017","0","0","0"
"130020","0","0","0"
"140000","0","0","0"
"140010","0","0","0"
"140017","0","0","0"
"140020","0","0","0"
"140024","0","0","0"
"140038","0","0","0"
"150000","0","0","0"
"150001","0","0","0"
