"Step","Group: terran_5_vs_5_ACORM_WM - win_rate","Group: terran_5_vs_5_ACORM_WM - win_rate__MIN","Group: terran_5_vs_5_ACORM_WM - win_rate__MAX"
"0","0","0","0"
"10603","0.03125","0.03125","0.03125"
"10623","0","0","0"
"10627","0.09375","0.09375","0.09375"
"10631","0.09375","0.09375","0.09375"
"10643","0.0625","0.0625","0.0625"
"20603","0.09375","0.09375","0.09375"
"20610","0","0","0"
"20625","0.0625","0.0625","0.0625"
"20628","0.1875","0.1875","0.1875"
"20629","0.09375","0.09375","0.09375"
"30610","0.0625","0.0625","0.0625"
"30623","0.03125","0.03125","0.03125"
"30626","0.03125","0.03125","0.03125"
"30637","0.125","0.125","0.125"
"30647","0.09375","0.09375","0.09375"
"40604","0.125","0.125","0.125"
"40616","0.0625","0.0625","0.0625"
"40623","0.0625","0.0625","0.0625"
"40631","0.03125","0.03125","0.03125"
"40689","0.09375","0.09375","0.09375"
"50602","0.125","0.125","0.125"
"50608","0.125","0.125","0.125"
"50627","0.09375","0.09375","0.09375"
"50644","0.3125","0.3125","0.3125"
"50665","0.09375","0.09375","0.09375"
"60609","0.09375","0.09375","0.09375"
"60612","0.25","0.25","0.25"
"60617","0.125","0.125","0.125"
"60642","0.1875","0.1875","0.1875"
"60661","0.09375","0.09375","0.09375"
"70603","0.09375","0.09375","0.09375"
"70611","0.09375","0.09375","0.09375"
"70612","0.125","0.125","0.125"
"70657","0.03125","0.03125","0.03125"
"70658","0.125","0.125","0.125"
"80604","0.28125","0.28125","0.28125"
"80618","0.25","0.25","0.25"
"80633","0","0","0"
"80638","0.15625","0.15625","0.15625"
"80645","0.21875","0.21875","0.21875"
"90616","0.1875","0.1875","0.1875"
"90622","0.09375","0.09375","0.09375"
"90629","0.125","0.125","0.125"
"90642","0.25","0.25","0.25"
"90665","0.15625","0.15625","0.15625"
"100601","0.15625","0.15625","0.15625"
"100610","0.21875","0.21875","0.21875"
"100619","0.28125","0.28125","0.28125"
"100628","0.21875","0.21875","0.21875"
"100653","0.125","0.125","0.125"
"110618","0.15625","0.15625","0.15625"
"110620","0.25","0.25","0.25"
"110621","0.15625","0.15625","0.15625"
"110655","0.375","0.375","0.375"
"110708","0.09375","0.09375","0.09375"
"120601","0.125","0.125","0.125"
"120619","0.03125","0.03125","0.03125"
"120620","0.34375","0.34375","0.34375"
"120629","0.125","0.125","0.125"
"120652","0.15625","0.15625","0.15625"
"130600","0.125","0.125","0.125"
"130608","0.3125","0.3125","0.3125"
"130611","0.21875","0.21875","0.21875"
"130612","0.3125","0.3125","0.3125"
"130618","0.1875","0.1875","0.1875"
"140607","0.21875","0.21875","0.21875"
"140609","0.25","0.25","0.25"
"140623","0.21875","0.21875","0.21875"
"140635","0.28125","0.28125","0.28125"
"140732","0.15625","0.15625","0.15625"
"150604","0.15625","0.15625","0.15625"
"150605","0.21875","0.21875","0.21875"
"150617","0.125","0.125","0.125"
"150623","0.1875","0.1875","0.1875"
"150636","0.15625","0.15625","0.15625"
"160616","0.21875","0.21875","0.21875"
"160618","0.1875","0.1875","0.1875"
"160619","0.1875","0.1875","0.1875"
"160623","0.15625","0.15625","0.15625"
"160624","0.21875","0.21875","0.21875"
"170610","0.125","0.125","0.125"
"170616","0.25","0.25","0.25"
"170623","0.3125","0.3125","0.3125"
"170642","0.28125","0.28125","0.28125"
"170673","0.15625","0.15625","0.15625"
"180601","0.28125","0.28125","0.28125"
