"Step","Group: zerg_10_vs_11_ACORM_WM - win_rate","Group: zerg_10_vs_11_ACORM_WM - win_rate__MIN","Group: zerg_10_vs_11_ACORM_WM - win_rate__MAX"
"0","0.00625","0","0.03125"
"10222","0","0","0"
"10227","0","0","0"
"10228","0","0","0"
"10230","0","0","0"
"10243","0","0","0"
"20220","0","0","0"
"20228","0","0","0"
"20230","0","0","0"
"20234","0","0","0"
"20242","0.03125","0.03125","0.03125"
"30225","0","0","0"
"30229","0","0","0"
"30235","0","0","0"
"30244","0.03125","0.03125","0.03125"
"30249","0","0","0"
"40220","0","0","0"
"40233","0","0","0"
"40240","0","0","0"
"40245","0","0","0"
"40253","0","0","0"
"50225","0","0","0"
"50226","0","0","0"
"50237","0","0","0"
"50245","0","0","0"
"50247","0","0","0"
"60220","0.03125","0","0.0625"
"60237","0","0","0"
"60249","0","0","0"
"60253","0","0","0"
"70220","0","0","0"
"70234","0","0","0"
"70237","0","0","0"
"70240","0","0","0"
"70244","0.03125","0.03125","0.03125"
"80224","0","0","0"
"80227","0","0","0"
"80235","0","0","0"
"80255","0","0","0"
"90222","0","0","0"
"90231","0","0","0"
"90237","0","0","0"
"90241","0","0","0"
"90246","0","0","0"
"100227","0","0","0"
"100234","0","0","0"
"100235","0","0","0"
"100239","0.03125","0.03125","0.03125"
"100240","0.0625","0.0625","0.0625"
"110227","0","0","0"
"110229","0","0","0"
"110230","0","0","0"
"110239","0.0625","0.0625","0.0625"
"110265","0","0","0"
"120232","0","0","0"
"120238","0","0","0"
"120239","0","0","0"
"120248","0","0","0"
"120261","0","0","0"
"130220","0","0","0"
"130225","0","0","0"
"130227","0.03125","0.03125","0.03125"
"130231","0","0","0"
"130236","0","0","0"
"140233","0.03125","0.03125","0.03125"
"140237","0","0","0"
"140239","0","0","0"
"140241","0","0","0"
"140249","0.03125","0.03125","0.03125"
"150220","0","0","0"
"150223","0","0","0"
"150242","0.09375","0.09375","0.09375"
"150243","0.03125","0.03125","0.03125"
"150254","0","0","0"
"160221","0.0625","0.0625","0.0625"
"160228","0.03125","0.03125","0.03125"
"160229","0","0","0"
"160235","0","0","0"
"160238","0","0","0"
"170224","0","0","0"
"170225","0","0","0"
"170238","0.03125","0.03125","0.03125"
"170246","0","0","0"
"170258","0","0","0"
"180220","0","0","0"
"180230","0.03125","0.03125","0.03125"
"180234","0","0","0"
"180235","0","0","0"
"180242","0","0","0"
"190221","0","0","0"
"190234","0","0","0"
"190236","0","0","0"
"190241","0.03125","0.03125","0.03125"
"190244","0","0","0"
"200224","0.03125","0.03125","0.03125"
"200228","0","0","0"
"200231","0","0","0"
"200247","0","0","0"
"200257","0.03125","0.03125","0.03125"
"210220","0.0625","0.0625","0.0625"
"210235","0","0","0"
"210240","0.03125","0.03125","0.03125"
"210243","0","0","0"
"210255","0.03125","0.03125","0.03125"
"220220","0","0","0"
"220229","0","0","0"
"220243","0.03125","0.03125","0.03125"
"220252","0","0","0"
"220259","0","0","0"
"230221","0","0","0"
"230226","0","0","0"
"230227","0","0","0"
"230231","0.03125","0.03125","0.03125"
"230248","0","0","0"
"240226","0.03125","0.03125","0.03125"
"240244","0.0625","0.0625","0.0625"
"240250","0","0","0"
"240251","0","0","0"
"240279","0","0","0"
"250221","0","0","0"
"250230","0","0","0"
"250238","0","0","0"
"250261","0","0","0"
"250270","0.03125","0.03125","0.03125"
"260234","0.03125","0.03125","0.03125"
"260243","0.0625","0.0625","0.0625"
"260252","0.125","0.125","0.125"
"260261","0","0","0"
"260266","0","0","0"
"270222","0.0625","0.0625","0.0625"
"270224","0","0","0"
"270236","0.09375","0.09375","0.09375"
"270245","0.015625","0","0.03125"
"280233","0.0625","0.0625","0.0625"
"280238","0.015625","0","0.03125"
