"Step","Group: zerg_10_vs_11_ACORM - win_rate","Group: zerg_10_vs_11_ACORM - win_rate__MIN","Group: zerg_10_vs_11_ACORM - win_rate__MAX"
"0","0","0","0"
"10220","0","0","0"
"10221","0","0","0"
"10228","0.0625","0.0625","0.0625"
"10229","0","0","0"
"10233","0","0","0"
"10236","0","0","0"
"20221","0.03125","0.03125","0.03125"
"20232","0","0","0"
"20235","0","0","0"
"20238","0.03125","0.03125","0.03125"
"20253","0","0","0"
"20261","0","0","0"
"30222","0","0","0"
"30234","0","0","0"
"30240","0","0","0"
"30247","0","0","0"
"30249","0","0","0"
"30255","0","0","0"
"40231","0","0","0"
"40232","0.03125","0.03125","0.03125"
"40234","0.03125","0.03125","0.03125"
"40236","0","0","0"
"40243","0","0","0"
"40272","0.03125","0.03125","0.03125"
"50222","0","0","0"
"50231","0.03125","0.03125","0.03125"
"50240","0","0","0"
"50242","0","0","0"
"50245","0","0","0"
"50251","0","0","0"
"60220","0","0","0"
"60225","0.015625","0","0.03125"
"60236","0","0","0"
"60240","0","0","0"
"60262","0","0","0"
"70223","0","0","0"
"70237","0.015625","0","0.03125"
"70238","0","0","0"
"70239","0.03125","0.03125","0.03125"
"70254","0","0","0"
"80223","0","0","0"
"80225","0","0","0"
"80239","0","0","0"
"80240","0","0","0"
"80241","0","0","0"
"80276","0.03125","0.03125","0.03125"
"90221","0.03125","0.03125","0.03125"
"90232","0","0","0"
"90233","0","0","0"
"90234","0.03125","0.03125","0.03125"
"90247","0","0","0"
"100226","0","0","0"
"100236","0","0","0"
"100241","0.03125","0.03125","0.03125"
"100242","0","0","0"
"100253","0","0","0"
"110221","0","0","0"
"110222","0","0","0"
"110230","0","0","0"
"110238","0","0","0"
"110243","0","0","0"
"110250","0","0","0"
"120229","0.03125","0.03125","0.03125"
"120231","0","0","0"
"120233","0","0","0"
"120236","0","0","0"
"120247","0.03125","0.03125","0.03125"
"120252","0","0","0"
"130220","0","0","0"
"130230","0","0","0"
"130231","0","0","0"
"130243","0","0","0"
"130256","0","0","0"
"130268","0","0","0"
"140231","0.03125","0.03125","0.03125"
"140233","0.010416666666666666","0","0.03125"
"140249","0.03125","0.03125","0.03125"
"140253","0","0","0"
"150225","0.03125","0.03125","0.03125"
"150226","0.03125","0.03125","0.03125"
"150229","0","0","0"
"150231","0","0","0"
"150233","0","0","0"
"150253","0","0","0"
"160227","0","0","0"
"160231","0","0","0"
"160235","0.03125","0.03125","0.03125"
"160245","0","0","0"
"160259","0","0","0"
"160269","0.03125","0.03125","0.03125"
"170223","0.03125","0.03125","0.03125"
"170227","0","0","0"
"170228","0","0","0"
"170236","0","0","0"
"170245","0","0","0"
"170248","0","0","0"
"180222","0.03125","0.03125","0.03125"
"180232","0.03125","0.03125","0.03125"
"180241","0.03125","0.03125","0.03125"
"180243","0","0","0"
"180253","0","0","0"
"180256","0","0","0"
"190221","0.03125","0.03125","0.03125"
"190224","0","0","0"
"190227","0.03125","0.03125","0.03125"
"190239","0","0","0"
"190248","0.03125","0.03125","0.03125"
"190253","0","0","0"
"200221","0","0","0"
"200226","0.03125","0.03125","0.03125"
"200229","0","0","0"
"200238","0.03125","0.03125","0.03125"
"200239","0","0","0"
"200257","0","0","0"
"210225","0","0","0"
"210227","0","0","0"
"210228","0","0","0"
"210232","0","0","0"
"210234","0","0","0"
"220225","0","0","0"
"220228","0","0","0"
"220233","0","0","0"
"220234","0","0","0"
"220246","0.03125","0.03125","0.03125"
"220265","0","0","0"
"230223","0.03125","0.03125","0.03125"
"230225","0.03125","0.03125","0.03125"
"230233","0","0","0"
"230235","0.0625","0.0625","0.0625"
"230238","0","0","0"
"230249","0","0","0"
"240220","0.03125","0.03125","0.03125"
"240226","0","0","0"
"240235","0","0","0"
"240237","0","0","0"
"240243","0.03125","0.03125","0.03125"
"240252","0.03125","0.03125","0.03125"
"250220","0","0","0"
"250223","0","0","0"
"250229","0","0","0"
"250230","0","0","0"
"250248","0.0625","0.0625","0.0625"
