"Step","Group: zerg_5_vs_5_QMIX - win_rate","Group: zerg_5_vs_5_QMIX - win_rate__MIN","Group: zerg_5_vs_5_QMIX - win_rate__MAX"
"0","0.010416666666666666","0","0.03125"
"10000","0","0","0"
"10010","0","0","0"
"10011","0.0625","0.03125","0.09375"
"10019","0.09375","0.09375","0.09375"
"10023","0.03125","0.03125","0.03125"
"20001","0","0","0"
"20003","0.015625","0","0.03125"
"20020","0.03125","0.03125","0.03125"
"20022","0","0","0"
"20031","0","0","0"
"30003","0.0625","0.0625","0.0625"
"30016","0.09375","0.09375","0.09375"
"30028","0.03125","0.03125","0.03125"
"30032","0","0","0"
"30033","0.046875","0","0.09375"
"40000","0.03125","0.03125","0.03125"
"40001","0","0","0"
"40015","0","0","0"
"40020","0","0","0"
"40024","0.03125","0.03125","0.03125"
"40028","0.03125","0.03125","0.03125"
"50002","0.03125","0.03125","0.03125"
"50003","0.03125","0.03125","0.03125"
"50005","0.09375","0.09375","0.09375"
"50006","0","0","0"
"50027","0.03125","0.03125","0.03125"
"50040","0","0","0"
"60003","0.03125","0.03125","0.03125"
"60007","0","0","0"
"60016","0.0625","0.0625","0.0625"
"60017","0.03125","0.03125","0.03125"
"60032","0","0","0"
"60055","0","0","0"
"70002","0","0","0"
"70003","0","0","0"
"70018","0.046875","0","0.09375"
"70030","0.0625","0.0625","0.0625"
"70039","0.03125","0.03125","0.03125"
"80003","0.09375","0.09375","0.09375"
"80006","0.015625","0","0.03125"
"80021","0.09375","0.09375","0.09375"
"80029","0.09375","0.09375","0.09375"
"80030","0","0","0"
"90002","0.15625","0.15625","0.15625"
"90016","0","0","0"
"90021","0","0","0"
"90026","0.125","0.125","0.125"
"90027","0.03125","0.03125","0.03125"
"90032","0.03125","0.03125","0.03125"
"100000","0.1875","0.1875","0.1875"
"100012","0.03125","0.03125","0.03125"
"100016","0.09375","0.09375","0.09375"
"100018","0","0","0"
"100025","0.0625","0.0625","0.0625"
"100035","0.15625","0.15625","0.15625"
"110000","0.09375","0.09375","0.09375"
"110001","0.09375","0.09375","0.09375"
"110008","0","0","0"
"110009","0.03125","0.03125","0.03125"
"110037","0.09375","0.09375","0.09375"
"110038","0.0625","0.0625","0.0625"
"120010","0.0625","0.0625","0.0625"
"120013","0","0","0"
"120014","0.03125","0.03125","0.03125"
"120016","0.03125","0.03125","0.03125"
"120054","0.03125","0.03125","0.03125"
"130005","0.03125","0.03125","0.03125"
"130009","0.03125","0.03125","0.03125"
"130012","0.15625","0.15625","0.15625"
"130013","0.0625","0.0625","0.0625"
"130015","0","0","0"
"130045","0","0","0"
"140003","0","0","0"
"140013","0","0","0"
"140014","0","0","0"
"140020","0.03125","0.03125","0.03125"
"140024","0.0625","0.0625","0.0625"
"140034","0.09375","0.09375","0.09375"
"150006","0.0625","0.03125","0.09375"
"150011","0","0","0"
"150023","0.15625","0.15625","0.15625"
"150025","0","0","0"
"150027","0","0","0"
"160004","0.0625","0.0625","0.0625"
"160007","0.03125","0.03125","0.03125"
"160010","0.0625","0.0625","0.0625"
"160012","0","0","0"
"160020","0","0","0"
"160021","0.03125","0.03125","0.03125"
"170002","0.125","0.125","0.125"
"170012","0","0","0"
"170016","0","0","0"
"170017","0","0","0"
"170035","0.0625","0.0625","0.0625"
"170042","0.03125","0.03125","0.03125"
"180003","0.03125","0.03125","0.03125"
"180004","0.09375","0.09375","0.09375"
"180023","0.125","0.125","0.125"
"180030","0.046875","0.03125","0.0625"
"180032","0.03125","0.03125","0.03125"
"190001","0.09375","0.09375","0.09375"
"190003","0.0625","0.0625","0.0625"
"190006","0.03125","0.03125","0.03125"
"190013","0.0625","0.0625","0.0625"
"190022","0.03125","0.03125","0.03125"
"190034","0.0625","0.0625","0.0625"
"200009","0.09375","0.09375","0.09375"
"200014","0.03125","0.03125","0.03125"
"200020","0.0625","0.0625","0.0625"
"200022","0.0625","0.0625","0.0625"
"200023","0.125","0.125","0.125"
"200049","0.125","0.125","0.125"
"210007","0.046875","0.03125","0.0625"
"210010","0.125","0.125","0.125"
"210013","0.09375","0.09375","0.09375"
"210024","0.03125","0.03125","0.03125"
"210034","0.1875","0.1875","0.1875"
"220002","0.09375","0.09375","0.09375"
"220011","0.0625","0.0625","0.0625"
"220015","0.03125","0.03125","0.03125"
"220016","0.0625","0.0625","0.0625"
"220020","0.15625","0.15625","0.15625"
"220039","0.0625","0.0625","0.0625"
"230015","0.109375","0.09375","0.125"
"230016","0.0625","0.0625","0.0625"
"230017","0.03125","0.03125","0.03125"
"230018","0.03125","0.03125","0.03125"
"230043","0.0625","0.0625","0.0625"
"240000","0.03125","0.03125","0.03125"
"240006","0.09375","0.09375","0.09375"
"240009","0.09375","0.09375","0.09375"
"240011","0.03125","0.03125","0.03125"
"240015","0.125","0.125","0.125"
"240040","0.03125","0.03125","0.03125"
"250003","0.125","0.125","0.125"
"250016","0.109375","0.09375","0.125"
"250031","0.0625","0.0625","0.0625"
"250033","0.09375","0.09375","0.09375"
"250037","0.09375","0.09375","0.09375"
"260011","0.125","0.125","0.125"
"260018","0.03125","0.03125","0.03125"
"260021","0.03125","0.03125","0.03125"
"260022","0.0625","0.0625","0.0625"
"260035","0.15625","0.15625","0.15625"
"260055","0.21875","0.21875","0.21875"
"270003","0.09375","0.09375","0.09375"
"270006","0.15625","0.15625","0.15625"
"270007","0","0","0"
"270010","0.125","0.09375","0.15625"
"270034","0","0","0"
"280010","0.03125","0.03125","0.03125"
"280014","0.15625","0.15625","0.15625"
"280018","0.03125","0.03125","0.03125"
"280019","0.15625","0.15625","0.15625"
"280026","0.15625","0.15625","0.15625"
"280035","0.03125","0.03125","0.03125"
"290002","0.09375","0.09375","0.09375"
"290004","0.25","0.25","0.25"
"290015","0.09375","0.09375","0.09375"
"290022","0.140625","0.09375","0.1875"
"290029","0.1875","0.1875","0.1875"
"300023","0.1875","0.1875","0.1875"
"300026","0.09375","0.09375","0.09375"
"300027","0.15625","0.15625","0.15625"
"300029","0.0625","0.0625","0.0625"
"300031","0.125","0.125","0.125"
"300034","0.03125","0.03125","0.03125"
"310000","0.125","0.125","0.125"
"310008","0.0625","0.0625","0.0625"
"310009","0.125","0.125","0.125"
"310011","0.09375","0.09375","0.09375"
"310017","0.125","0.125","0.125"
"310037","0.03125","0.03125","0.03125"
"320004","0.0625","0.0625","0.0625"
"320005","0.0625","0.0625","0.0625"
"320009","0.0625","0.0625","0.0625"
"320014","0.09375","0.09375","0.09375"
"320025","0.03125","0.03125","0.03125"
"320039","0.0625","0.0625","0.0625"
"330003","0.03125","0.03125","0.03125"
"330024","0.03125","0.03125","0.03125"
"330025","0.15625","0.15625","0.15625"
"330034","0.09375","0.09375","0.09375"
"330039","0.0625","0.0625","0.0625"
"340000","0.0625","0.0625","0.0625"
"340014","0.0625","0.0625","0.0625"
"340018","0.15625","0.15625","0.15625"
"340022","0.1875","0.1875","0.1875"
"340031","0.0625","0.0625","0.0625"
"340033","0.09375","0.09375","0.09375"
"350003","0.0625","0.0625","0.0625"
"350004","0.0625","0.0625","0.0625"
"350010","0.09375","0.09375","0.09375"
"350015","0.0625","0.0625","0.0625"
"350024","0.09375","0.09375","0.09375"
"350027","0.0625","0.0625","0.0625"
"360002","0.09375","0.09375","0.09375"
"360015","0.03125","0.03125","0.03125"
"360024","0.21875","0.21875","0.21875"
"360025","0.15625","0.09375","0.21875"
"360030","0.03125","0.03125","0.03125"
"370001","0.09375","0.09375","0.09375"
"370009","0.125","0.125","0.125"
"370013","0.046875","0.03125","0.0625"
"370019","0.125","0.125","0.125"
"370028","0.1875","0.1875","0.1875"
"380000","0.09375","0.09375","0.09375"
"380002","0.15625","0.15625","0.15625"
"380006","0.125","0.125","0.125"
"380010","0.0625","0.0625","0.0625"
"380018","0.09375","0.09375","0.09375"
"380021","0.09375","0.09375","0.09375"
"390004","0.0625","0.0625","0.0625"
"390014","0.0625","0.0625","0.0625"
"390015","0.078125","0.0625","0.09375"
"390024","0.1875","0.1875","0.1875"
"390025","0.21875","0.21875","0.21875"
"400000","0.03125","0.03125","0.03125"
"400017","0.25","0.25","0.25"
"400023","0.0625","0.0625","0.0625"
"400030","0.15625","0.15625","0.15625"
"400033","0.15625","0.15625","0.15625"
"400035","0.125","0.125","0.125"
"410001","0.09375","0.09375","0.09375"
"410004","0.1875","0.1875","0.1875"
"410023","0.21875","0.21875","0.21875"
"410036","0.15625","0.15625","0.15625"
"410052","0.0625","0","0.125"
"420004","0.09375","0.09375","0.09375"
"420007","0.09375","0.09375","0.09375"
"420010","0.125","0.125","0.125"
"420022","0.09375","0.09375","0.09375"
"420024","0.125","0.125","0.125"
"420045","0.09375","0.09375","0.09375"
"430001","0.03125","0.03125","0.03125"
"430003","0.03125","0.03125","0.03125"
"430006","0.234375","0.21875","0.25"
"430033","0.03125","0.03125","0.03125"
"430037","0.0625","0.0625","0.0625"
"440000","0.09375","0.09375","0.09375"
"440005","0.0625","0.0625","0.0625"
"440007","0.09375","0.09375","0.09375"
"440041","0.15625","0.15625","0.15625"
"440046","0.15625","0.15625","0.15625"
"440090","0.09375","0.09375","0.09375"
"450008","0.21875","0.21875","0.21875"
"450015","0.125","0.0625","0.1875"
"450018","0.125","0.125","0.125"
"450024","0.15625","0.15625","0.15625"
"450045","0.25","0.25","0.25"
"460009","0.15625","0.15625","0.15625"
"460016","0.0625","0.0625","0.0625"
"460023","0.15625","0.15625","0.15625"
"460034","0.15625","0.15625","0.15625"
"460036","0.09375","0.09375","0.09375"
"460049","0.1875","0.1875","0.1875"
"470001","0.125","0.125","0.125"
"470009","0.1875","0.1875","0.1875"
"470018","0.09375","0.09375","0.09375"
"470022","0.15625","0.15625","0.15625"
"470027","0.1875","0.1875","0.1875"
"470037","0.21875","0.21875","0.21875"
"480012","0.125","0.125","0.125"
"480020","0.0625","0.0625","0.0625"
"480032","0.125","0.125","0.125"
"480035","0.15625","0.15625","0.15625"
"480038","0.125","0.125","0.125"
"480107","0.125","0.125","0.125"
"490001","0.03125","0.03125","0.03125"
"490011","0.125","0.125","0.125"
"490020","0.03125","0.03125","0.03125"
"490024","0.15625","0.15625","0.15625"
"490030","0.125","0.125","0.125"
"490039","0.25","0.25","0.25"
"500008","0.0625","0.0625","0.0625"
"500009","0.09375","0.09375","0.09375"
"500020","0.15625","0.15625","0.15625"
"500027","0.09375","0.09375","0.09375"
"500033","0.03125","0.03125","0.03125"
"510012","0.15625","0.15625","0.15625"
"510013","0","0","0"
"510016","0.21875","0.21875","0.21875"
"510017","0.1875","0.1875","0.1875"
"510038","0.15625","0.15625","0.15625"
"510040","0.21875","0.21875","0.21875"
"520006","0.125","0.125","0.125"
"520014","0.15625","0.15625","0.15625"
"520015","0.15625","0.15625","0.15625"
"520022","0.15625","0.15625","0.15625"
"520033","0.09375","0.09375","0.09375"
"520050","0.09375","0.09375","0.09375"
"530027","0.28125","0.28125","0.28125"
"530031","0.15625","0.15625","0.15625"
"530035","0","0","0"
"530047","0.03125","0.03125","0.03125"
"530050","0.1875","0.1875","0.1875"
"530067","0.03125","0.03125","0.03125"
"540016","0.109375","0.0625","0.15625"
